Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class,Direction,FDR_label
4-Cholestenone,-3.5751732204597295,21.348525023940386,-2.1248564274229165,0.045634370000504784,0.6292487277170264,-3.7346772506293053,C8-Pos-001064,Lipids and lipid-like molecules,Steroids and steroid derivatives,Higher in Females,
Histamine,4.403321624662986,18.280519718653387,2.103712263004608,0.0470603907177187,0.6292487277170264,-3.7645945127271427,Amide-Neg-000145,Organic nitrogen compounds,Organonitrogen compounds,Higher in Males,
Hexanoylcarnitine,2.560976124415218,26.63723187960276,2.102323652357362,0.04719365457877698,0.6292487277170264,-3.7666521805518274,Amide-Pos-001033,Lipids and lipid-like molecules,Fatty Acyls,Higher in Males,
3-Hydroxybutyrylcarnitine,4.480191759569109,20.95675641044423,2.060363983593791,0.05411942685214732,0.665253756555296,-3.82439413585654,C18-Pos-001343,Lipids and lipid-like molecules,Fatty Acyls,Higher in Males,
1-Oleoyl-Sn-Glycero-3-Phosphocholine,-5.919917577584424,17.95259661167648,-2.0608173159739938,0.05133674231697096,0.665253756555296,-3.8277758703971605,C18-Pos-004585,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
L-Valine,6.557619837145962,21.390548488610676,2.0460832557933992,0.0528839915576057,0.665253756555296,-3.8492939156539556,Amide-Neg-000214,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Males,
Pc(17:4cooh_23:5),7.679008564883037,20.429608518456078,2.0279757453026948,0.05543781304627466,0.665253756555296,-3.8685530302238798,C8-Pos-005012,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Dl-Glutamine,4.352471014993374,20.95210476013561,2.022856879236485,0.05540768975820217,0.665253756555296,-3.88301940872406,Amide-Pos-000475,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Males,
3-Ketocarbofuran,-11.464554243350632,17.207697122992784,-2.008224220593338,0.059049986091235414,0.6684904085800235,-3.9097663405719967,Amide-Pos-001016,Organoheterocyclic compounds,Benzofurans,Higher in Females,
"1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine",-1.8497706581762938,19.21434371525549,-2.0007285075277887,0.05791129447403277,0.6684904085800235,-3.914925502491017,Amide-Pos-002176,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
Glycolic Acid,4.428168658303923,18.58864610802909,1.993973726326543,0.0586953035279104,0.6684904085800235,-3.924620699559133,Amide-Neg-000015,Organic acids and derivatives,Hydroxy acids and derivatives,Higher in Males,
9-Methoxy-9-Oxononanoic Acid,-5.04718928022013,19.392302506841254,-1.9524888983960522,0.06372001852258445,0.6726368013824302,-3.983702788568295,C8-Pos-000007,Lipids and lipid-like molecules,Fatty Acyls,Higher in Females,
Uridine 5'-Triphosphate Sodium Salt,2.3923376436806514,21.403754021737416,1.9414830330024409,0.06511529362334853,0.6726368013824302,-3.999242197624901,Amide-Neg-002149,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Higher in Males,
Miltefosine,-8.38711156402526,16.1048130959457,-1.929890241182511,0.07573126696238694,0.6726368013824302,-4.017448695487717,C8-Pos-001413,Organic nitrogen compounds,Organonitrogen compounds,Higher in Females,
Dl-Arginine,2.780831411977117,17.577378766749927,1.9240041772338248,0.06738656144811872,0.6726368013824302,-4.023802816389137,Amide-Neg-000697,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Males,
Pc(19:1_15:0),4.191896022381915,20.949922124943768,1.904682677055297,0.07060952301716632,0.6726368013824302,-4.03952826593269,C8-Pos-004340,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Myristic Acid,2.42322614231345,16.862215407085294,1.9114899427027707,0.06968491707303318,0.6726368013824302,-4.041775839096609,C8-Neg-000086,Lipids and lipid-like molecules,Fatty Acyls,Higher in Males,
L-Ascorbic Acid,-6.813905645262591,17.99479671764897,-1.9058120893810797,0.07045537641096684,0.6726368013824302,-4.046291980303947,Amide-Neg-000729,Organoheterocyclic compounds,Dihydrofurans,Higher in Females,
"Bis(2,2,6,6-Tetramethyl-4-Piperidyl)Sebacate",5.9249826597223665,22.97142323479664,1.8814553487304269,0.07320886673320313,0.6726368013824302,-4.082975337932341,C18-Pos-001292,Lipids and lipid-like molecules,Fatty Acyls,Higher in Males,
