pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis,pathway_source
Metabolic reprogramming in colon cancer (WikiPathways),6.581721170681244e-5,0.013360893976482924,0.5384340963099162,0.7751295702922423,2.122976374801143,14,"L-(+)-Lactic Acid;Inosine-5'-Monophosphate (Imp);Citric Acid;Asparagine;L-Glutathione (Reduced);L-Serine;D,L-Serine",GW (limma t-statistic),WikiPathways
Sensory perception of taste (Reactome),0.008984897725100364,0.5048785154008035,0.2110705378683249,0.694004796997059,1.721759366786618,10,Inosine-5'-Monophosphate (Imp);Guanosine-5'-Monophosphate;Citric Acid;Caprolactam;D-Glucose,GW (limma t-statistic),Reactome
Pyruvate metabolism (Reactome),0.009940737908621678,0.5048785154008035,0.2005131804004132,0.6896936947739194,1.7110639354783865,10,L-(+)-Lactic Acid;L-Glutathione (Reduced);Adenosine 5'-Diphosphate;Nicotinamide;L-Malic Acid;Dl-Alanine,GW (limma t-statistic),Reactome
Glycine metabolism (WikiPathways),0.009948345131050315,0.5048785154008035,0.2005131804004132,0.7881248521497968,1.6809745853507367,6,"L-Glutathione (Reduced);L-Serine;D,L-Serine;Creatine",GW (limma t-statistic),WikiPathways
"Sensory perception of sweet, bitter, and umami (glutamate) taste (Reactome)",0.027572815533980582,0.9111568609682609,0.12042065316743104,0.6605907449936563,1.582425951796057,9,Inosine-5'-Monophosphate (Imp);Guanosine-5'-Monophosphate;Caprolactam;D-Glucose,GW (limma t-statistic),Reactome
Aerobic glycolysis - augmented (WikiPathways),0.029479326186830017,0.9111568609682609,0.11554753392227891,0.59504192126873,1.59411862994692,13,"L-(+)-Lactic Acid;L-Serine;D,L-Serine;Phosphocreatine;Creatine;D-Glucose;Adenosine 5'-Diphosphate",GW (limma t-statistic),WikiPathways
Ferroptosis (WikiPathways),0.039954119671190974,0.9111568609682609,0.09886576461754726,0.6212352309084505,1.5412250497729698,10,Pe(18:0_20:4);L-Glutathione (Reduced),GW (limma t-statistic),WikiPathways
Glycolysis (Reactome),0.04588032880902313,0.9111568609682609,0.09209960257914776,0.6824608071615349,1.5269178807617598,7,Citric Acid;D-Glucose;Adenosine 5'-Diphosphate,GW (limma t-statistic),Reactome
Amino acid metabolism in triple-negative breast cancer cells (WikiPathways),0.05339805825242718,0.9111568609682609,0.08587354529835861,0.6274964187236731,1.5031494539890369,9,"Citric Acid;L-Glutathione (Reduced);L-Serine;D,L-Serine",GW (limma t-statistic),WikiPathways
Amino acid transport defects (IEMs) (WikiPathways),0.058307926829268296,0.9111568609682609,0.08127028472763043,0.5742432091223708,1.5065738198905532,12,"Dl-Valine;L-Serine;D,L-Serine;D-Phenylalanine;Dl-Arginine;D-Tyrosine;Dl-Alanine",GW (limma t-statistic),WikiPathways
Metabolism of folate and pterines (Reactome),0.07029741212823484,0.9111568609682609,0.07428177308004398,0.7230403319307737,1.4495637415849347,5,"L-Serine;D,L-Serine;Adenosine 5'-Diphosphate",GW (limma t-statistic),Reactome
Organic anion transporters (Reactome),0.09030036349722594,0.9111568609682609,0.06485544019626915,0.6712058698698165,1.4316005969254044,6,L-(+)-Lactic Acid;Citric Acid,GW (limma t-statistic),Reactome
Regulation of insulin secretion (Reactome),0.09202219246221542,0.9111568609682609,0.0642148359994021,0.669263319911927,1.4274573738039926,6,Acetylcholine;D-Glucose;Adenosine 5'-Diphosphate,GW (limma t-statistic),Reactome
Glucose metabolism (Reactome),0.0936723379850889,0.9111568609682609,0.0635916868333331,0.5674955378475645,1.407902023338312,10,Citric Acid;D-Glucose;Adenosine 5'-Diphosphate;L-Malic Acid,GW (limma t-statistic),Reactome
Metabolic pathways of fibroblasts (WikiPathways),0.10700612557427258,0.9111568609682609,0.059317662646599184,0.5135235192331005,1.3757306496657584,13,"L-(+)-Lactic Acid;L-Serine;D,L-Serine;D-Glucose",GW (limma t-statistic),WikiPathways
Nucleotide biosynthesis (Reactome),0.11057968241821313,0.9111568609682609,0.05827499240198549,0.5412225480602534,1.3798665827563812,11,Inosine-5'-Monophosphate (Imp);Guanosine-5'-Monophosphate;Adenosine 5'-Diphosphate;5'-Xanthylic Acid,GW (limma t-statistic),Reactome
Methionine metabolism leading to sulfur amino acids and related disorders (WikiPathways),0.11290322580645161,0.9111568609682609,0.060473100247709854,-0.593961212457383,-1.3880364021230744,8,Sarcosine;Adenosine Triphosphate (Atp);Adenosine;S-Adenosyl-L-Homocysteine,GW (limma t-statistic),WikiPathways
Purine ribonucleoside monophosphate biosynthesis (Reactome),0.12636207226151788,0.9111568609682609,0.05425011518247695,0.5448379806438689,1.3516907961065041,10,Inosine-5'-Monophosphate (Imp);Guanosine-5'-Monophosphate;Adenosine 5'-Diphosphate;5'-Xanthylic Acid,GW (limma t-statistic),Reactome
