Group,N_metabolites,Category,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,Group_display,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Significant_nominal,Direction
Sphingolipids,9,Class,81,0.623604884395689,19.64141388853873,19.468513484366017,-0.01275605440840809,Sphingolipids,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Females
Pyrazolopyrimidines,1,Class,50,0.6497226287855105,21.607513981892062,21.521930363097884,-0.005725611648926319,Pyrazolopyrimidines,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Females
Carboxylic acids and derivatives,113,Class,80,0.6650055421020291,20.396736578950957,20.327805686739516,-0.004883853607390566,Carboxylic acids ...,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Females
Lactones,5,Class,80,0.6650055421020291,21.13631458368684,21.02874204131197,-0.0073612949940352265,Lactones,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Females
Cinnamic acids and derivatives,1,Class,80,0.6650055421020291,24.15608648119967,23.84766242755364,-0.01853888438796472,Cinnamic acids an...,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Females
Pteridines and derivatives,1,Class,64,0.6650055421020291,24.593287478438686,24.62789650576521,0.002028812648571533,Pteridines and de...,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Males
Nucleoside and nucleotide analogues,1,Class,67,0.668216305163999,18.196050415302995,18.004304483902104,-0.01528346847505286,Nucleoside and nu...,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Females
Purine nucleotides,12,Class,65,0.7074539677020747,22.717461145924613,22.72411818885751,4.227002245773622e-4,Purine nucleotides,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Males
Quinolines and derivatives,2,Class,79,0.7074539677020747,18.222509200961678,18.199921659053185,-0.0017893884677854576,Quinolines and de...,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Females
Glycerolipids,37,Class,79,0.7074539677020747,19.63160012286058,19.50744427924272,-0.009152988961835149,Glycerolipids,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Females
Benzodiazepines,1,Class,65,0.7074539677020747,17.88477481651199,17.93369179204862,0.0039405551705145375,Benzodiazepines,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Males
Benzotriazoles,1,Class,55,0.7426659029196823,16.131728083781525,15.734307856227288,-0.035987276360517254,Benzotriazoles,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Females
Piperidines,2,Class,78,0.7508318840891169,21.500357974677865,21.37081462157252,-0.00871877817196149,Piperidines,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Females
Prenol lipids,10,Class,78,0.7508318840891169,20.692548317704464,20.599132560323383,-0.006527740066559128,Prenol lipids,0.9630235035056065,1,FALSE,FALSE,FALSE,Higher in Females
Pyridines and derivatives,4,Class,77,0.7950121719642382,19.642505493002698,19.71878890832349,0.005591982908363268,Pyridines and der...,0.9938145700689062,1,FALSE,FALSE,FALSE,Higher in Males
Dioxanes,1,Class,43,0.8242120391033195,16.653347722767617,16.433493653244092,-0.019173002373047157,Dioxanes,0.9938145700689062,1,FALSE,FALSE,FALSE,Higher in Females
Organonitrogen compounds,20,Class,76,0.8398599725400034,19.770515919559372,19.681472555697155,-0.006512352992383251,Organonitrogen co...,0.9938145700689062,1,FALSE,FALSE,FALSE,Higher in Females
Benzofurans,1,Class,58,0.8602588271965479,17.335749199433486,17.066839838908006,-0.022554238685838363,Benzofurans,0.9938145700689062,1,FALSE,FALSE,FALSE,Higher in Females
Fatty acyls,2,Class,70,0.9309874465595671,18.247377475383146,18.217961719175513,-0.002327578777398558,Fatty acyls,0.9938145700689062,1,FALSE,FALSE,FALSE,Higher in Females
Organic sulfonic acids and derivatives,2,Class,71,0.9769702553219757,22.422449853410242,22.398503928508422,-0.0015415410640452817,Organic sulfonic ...,0.9938145700689062,1,FALSE,FALSE,FALSE,Higher in Females
Dihydrofurans,2,Class,71,0.9769702553219757,22.044470459209634,22.13564607189192,0.005954660210725706,Dihydrofurans,0.9938145700689062,1,FALSE,FALSE,FALSE,Higher in Males
Benzene and substituted derivatives,11,Class,71,0.9769702553219757,21.96256173815598,21.940539786839203,-0.001447322012177783,Benzene and subst...,0.9938145700689062,1,FALSE,FALSE,FALSE,Higher in Females
Sulfinic acids and derivatives,1,Class,73,0.9769702553219757,16.818406799055083,16.85100441678458,0.0027935407504255313,Sulfinic acids an...,0.9938145700689062,1,FALSE,FALSE,FALSE,Higher in Males
Indoles and derivatives,6,Class,71,0.9769702553219757,19.60751502009731,19.609590519636868,1.5270443112376126e-4,Indoles and deriv...,0.9938145700689062,1,FALSE,FALSE,FALSE,Higher in Males
Purine nucleosides,9,Class,71,0.9769702553219757,20.78058769861187,20.803190972590386,0.001568382457307886,Purine nucleosides,0.9938145700689062,1,FALSE,FALSE,FALSE,Higher in Males
Cinnamyl alcohols,1,Class,73,0.9769702553219757,17.991622425272027,17.99616141704184,3.6392243436600966e-4,Cinnamyl alcohols,0.9938145700689062,1,FALSE,FALSE,FALSE,Higher in Males
Phenylpropanoic acids,1,Class,45,1,15.336356928476096,15.319779415929847,-0.0015602943047515487,Phenylpropanoic a...,1,1,FALSE,FALSE,FALSE,Higher in Females
