Group,N_metabolites,Category,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,Group_display,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Significant_nominal,Direction
Stigmastanes and derivatives,1,Sub.Class,13,0.0034740985852302914,16.32585261143898,17.207993148149814,0.07592051748520284,Stigmastanes and ...,0.37867674579010174,0.37867674579010174,FALSE,FALSE,TRUE,Higher in Males
Monoterpenoids,1,Sub.Class,27,0.010193104991108254,21.62331638628493,21.921955775079926,0.01978870719297516,Monoterpenoids,0.5555242220153999,1,FALSE,FALSE,TRUE,Higher in Males
Vitamin D and derivatives,1,Sub.Class,30,0.016574926749853273,23.812712492659514,24.099398215408137,0.01726515490808997,Vitamin D and der...,0.6022223385780023,1,FALSE,FALSE,TRUE,Higher in Males
Furoic acid and derivatives,1,Sub.Class,112,0.022576062523133586,23.417263175414433,23.385696450331018,-0.0019460805472396316,Furoic acid and d...,0.6151977037553902,1,FALSE,FALSE,TRUE,Higher in Females
(3'->5')-dinucleotides,1,Sub.Class,107,0.046386593281398644,16.8477530621937,15.690562827671052,-0.10265909265951313,(3'->5')-dinucleo...,0.837495098000202,1,FALSE,FALSE,TRUE,Higher in Females
Ceramides,2,Sub.Class,38,0.05309795728558344,17.617668719741168,18.594312676802794,0.07783839047618503,Ceramides,0.837495098000202,1,FALSE,FALSE,FALSE,Higher in Males
Pyrrole carboxylic acids and derivatives,1,Sub.Class,35,0.0537840888623983,16.498673180179807,15.24421040657172,-0.11408858186188374,Pyrrole carboxyli...,0.837495098000202,1,FALSE,FALSE,FALSE,Higher in Females
Glycerophosphocholines,81,Sub.Class,104,0.06896433333905408,19.693770345273677,19.552446762800585,-0.010390184220557739,Glycerophosphocho...,0.8918412714569984,1,FALSE,FALSE,FALSE,Higher in Females
Phenylcarbamic acid esters,1,Sub.Class,10,0.07363827012030262,23.099142703146715,23.984779802739958,0.054279885891756,Phenylcarbamic ac...,0.8918412714569984,1,FALSE,FALSE,FALSE,Higher in Males
Pyrimidines and pyrimidine derivatives,4,Sub.Class,101,0.09987740276926413,22.96709117022074,22.449400272706516,-0.03289124353841288,Pyrimidines and p...,0.9649049667757899,1,FALSE,FALSE,FALSE,Higher in Females
Bisphosphonates,1,Sub.Class,44,0.11235119769046396,20.102588171137285,20.67687856621423,0.04063715151805638,Bisphosphonates,0.9649049667757899,1,FALSE,FALSE,FALSE,Higher in Males
Quinoline carboxylic acids,1,Sub.Class,84,0.12125097588073802,15.184605269788662,13.913294553324782,-0.1261453269154668,Quinoline carboxy...,0.9649049667757899,1,FALSE,FALSE,FALSE,Higher in Females
Steroidal alkaloids,1,Sub.Class,45,0.12602212177037309,18.20055969408188,18.411740899106867,0.016643229251891736,Steroidal alkaloids,0.9649049667757899,1,FALSE,FALSE,FALSE,Higher in Males
Indoles,2,Sub.Class,98,0.14095521914437142,18.980934073450918,18.772495677859236,-0.015930531192889792,Indoles,0.9649049667757899,1,FALSE,FALSE,FALSE,Higher in Females
Glycerophosphoglycerophosphates,2,Sub.Class,98,0.14095521914437142,20.947270485536503,20.681170550602168,-0.01844442289678569,Glycerophosphogly...,0.9649049667757899,1,FALSE,FALSE,FALSE,Higher in Females
Carbohydrates and carbohydrate conjugates,30,Sub.Class,48,0.17485330689329268,20.636079851174028,20.803300089327625,0.011643471410182914,Carbohydrates and...,0.9649049667757899,1,FALSE,FALSE,FALSE,Higher in Males
Fatty alcohol esters,1,Sub.Class,96,0.17485330689329268,21.679984647780884,21.210162164713424,-0.03160808387831731,Fatty alcohol esters,0.9649049667757899,1,FALSE,FALSE,FALSE,Higher in Females
Pregnane steroids,2,Sub.Class,44,0.18575772936738782,16.027320158454692,16.780421338113776,0.06624572031463778,Pregnane steroids,0.9649049667757899,1,FALSE,FALSE,FALSE,Higher in Males
Quaternary ammonium salts,5,Sub.Class,95,0.1939308522824107,21.086333019112512,20.531774391366497,-0.0384499146243914,Quaternary ammoni...,0.9649049667757899,1,FALSE,FALSE,FALSE,Higher in Females
Beta hydroxy acids and derivatives,2,Sub.Class,94,0.21449380778351745,20.59868530322569,20.359554317064227,-0.016846281044610566,Beta hydroxy acid...,0.9649049667757899,1,FALSE,FALSE,FALSE,Higher in Females
5'-deoxy-5'-thionucleosides,3,Sub.Class,50,0.21449380778351745,22.638964476301016,22.855775893390344,0.013750825775007853,5'-deoxy-5'-thion...,0.9649049667757899,1,FALSE,FALSE,FALSE,Higher in Males
