Name,VIP_comp1,Compound.ID,Super.Class,Class
Pe(21:0_21:5),2.6199549208083472,C8-Pos-004916,Lipids and lipid-like molecules,Glycerophospholipids
D-Panthenol,2.0566903546667468,C18-Pos-001025,Organic oxygen compounds,Organooxygen compounds
2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphoserine,1.9432395205347055,Amide-Pos-002283,Lipids and lipid-like molecules,Glycerophospholipids
Pc(19:2cooh_21:6),1.9431624481732181,C8-Neg-003658,Lipids and lipid-like molecules,Glycerophospholipids
Pc(27:6_8:1cooh),1.9393002077305388,C8-Neg-003407,Lipids and lipid-like molecules,Glycerophospholipids
3-Ketocarbofuran,1.930094279466468,Amide-Pos-001016,Organoheterocyclic compounds,Benzofurans
Glycerol Monopalmitate,1.8721187620392095,C8-Pos-000593,Lipids and lipid-like molecules,Glycerolipids
Pc 16:0_16:1,1.8704170832210754,C8-Pos-003874,Lipids and lipid-like molecules,Glycerophospholipids
Pc(22:3cho_28:6),1.8668317611266965,C8-Pos-005761,Lipids and lipid-like molecules,Glycerophospholipids
Pc(10:0cooh_30:8),1.8575387170225053,C8-Pos-005152,Lipids and lipid-like molecules,Glycerophospholipids
Peg N14,1.8171228702813167,C8-Pos-003314,Organic oxygen compounds,Organooxygen compounds
"1,3-Diphenylacetone",1.8129441272132836,C8-Pos-000033,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids"
Ps(17:1_29:3),1.8090008554346062,C8-Neg-003657,Lipids and lipid-like molecules,Glycerophospholipids
Palmitoyl Sphingomyelin,1.7980783702736813,C8-Pos-003642,Lipids and lipid-like molecules,Sphingolipids
Thiamine,1.7861366105323668,Amide-Pos-001056,Organoheterocyclic compounds,Diazines
Pc(6:0cooh_30:1),1.7327746246918414,C8-Pos-004874,Lipids and lipid-like molecules,Glycerophospholipids
L-Malic Acid,1.7290358464434956,Amide-Neg-000195,Organic acids and derivatives,Hydroxy acids and derivatives
Propionylcarnitine,1.7088157252149117,C18-Pos-001104,Lipids and lipid-like molecules,Fatty Acyls
Pet(20:0_23:6),1.7027541895949327,C8-Pos-004891,Lipids and lipid-like molecules,Glycerophospholipids
Δ2-Cis-Hexadecenoic Acid,1.6974599891127646,C8-Neg-000175,Lipids and lipid-like molecules,Fatty Acyls
Triethyleneglycol Bis(2-Ethylhexanoate),1.6904649854031102,C8-Pos-001521,Lipids and lipid-like molecules,Fatty Acyls
Pc(20:0_18:1),1.6878650010011098,C8-Pos-004510,Lipids and lipid-like molecules,Glycerophospholipids
Leucine,1.6726016990431678,Amide-Pos-000363,Organic acids and derivatives,Carboxylic acids and derivatives
Methyl L-Tryptophanate,1.6643068358466113,C18-Pos-001113,Organic acids and derivatives,Carboxylic acids and derivatives
Dodecyl Sulfate,1.6641846074218276,C8-Neg-000223,Organic acids and derivatives,Organic sulfuric acids and derivatives
1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine,1.6535322552489449,C18-Pos-004537,Lipids and lipid-like molecules,Glycerophospholipids
L-Threonic Acid Calcium Salt,1.6432063088549649,Amide-Neg-000405,Organic oxygen compounds,Organooxygen compounds
Methanesulfonic Acid,1.635021539491627,Amide-Neg-000089,Organic acids and derivatives,Organic sulfonic acids and derivatives
Pe(19:1cooh_28:3),1.62918561242228,C8-Neg-003656,Lipids and lipid-like molecules,Glycerophospholipids
Trometamol,1.6283757825615797,Amide-Pos-000270,Organic nitrogen compounds,Organonitrogen compounds
Opeo,1.6221132902806994,C8-Pos-000208,Benzenoids,Benzene and substituted derivatives
"16-Hydroxycleroda-3,13-Dien-15,16-Olide",1.6180363801787856,C8-Pos-000642,Lipids and lipid-like molecules,Prenol lipids
Pi(22:0_12:1),1.615368282313778,C8-Neg-003398,Lipids and lipid-like molecules,Glycerophospholipids
Taurine,1.6097603196183583,Amide-Pos-000156,Organic acids and derivatives,Organic sulfonic acids and derivatives
Cytarabine,1.6036325046359725,Amide-Pos-000937,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides
1-Hexadecanoyl-2-Octadecadienoyl-Sn-Glycero-3-Phosphocholine,1.5962280170550525,C8-Pos-004099,Lipids and lipid-like molecules,Glycerophospholipids
Geranyllinalool,1.5941341131011444,C8-Pos-000337,Lipids and lipid-like molecules,Prenol lipids
N-Acetyl-L-Aspartic Acid,1.5931017091511006,Amide-Neg-000557,Organic acids and derivatives,Carboxylic acids and derivatives
L-Glutamine,1.5911935659887584,Amide-Neg-000486,Organic acids and derivatives,Carboxylic acids and derivatives
Pg(24:1_22:7),1.58905769044095,C8-Neg-003604,Lipids and lipid-like molecules,Glycerophospholipids
Pe(19:4_19:4),1.5793297670141817,C8-Pos-004114,Lipids and lipid-like molecules,Glycerophospholipids
