Name,Compound.ID_Batch1,Compound.ID_Batch2,Sample10,Sample19,Sample32,Sample35,Sample01,Sample08,Sample09,Sample20,Sample02,Sample03,Sample04,Sample06,Sample07,Sample13,Sample15,Sample17,Sample18,Sample21,Sample23,Sample24,Sample26,Sample31,Sample33,Sample37,Sample40,Sample41,Sample42,Sample43,Sample46,Sample47,Sample49,Sample50,Detected_Batch1,Detected_Batch2,Detected_Both
"(2S)-2-((1S)-1-Hydroxypentyl)-4-methoxy-2,3-dihydropyran-6-one",C18-Pos-000653,NA,27043.0146822678,81213.4730536817,113346.35392054,58699.3517844653,53137.2393858908,75479.6729391939,63131.7651753211,71679.3240638345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"(3.alpha.,5.alpha.,25R)-Spirostan-3-ol",C8-Pos-000289,NA,1476831.05775496,2258565.33960234,1316155.93442475,1549233.91452364,1234119.70413667,3557587.66247283,824122.633887826,1525690.23973555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"(3aS,10aR,10bR)-6,10a-Dimethyl-3-methylene-3,3a,4,5,7,8,10a,10b-octahydrofuro[3',2':6,7]cyclohepta[1,2-b]pyran-2,9-dione",C8-Pos-000556,NA,NA,NA,194282.609880182,16250.4082906226,85402.3369825124,26869.9077409623,59698.0863128251,23346.4790545074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"(6E)-2,6,10-trimethyldodeca-6,11-diene-2,3,10-triol",C8-Pos-000470,NA,724763.969118399,305138.31692161,359709.621350293,435015.817935367,NA,438811.229810292,412281.808777979,435560.202937457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"(9Z,12E)-15,16-Dihydroxyoctadeca-9,12-dienoic acid",C8-Pos-000288,NA,1042204.46719068,2300973.08221948,679141.037807405,2987580.73983012,3147535.28770058,2633853.28803907,3075611.3053727,3670435.38432306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"(9Z,12R)-12-Hydroxyoctadec-9-enoic acid",C8-Neg-000086,C8-Neg-000105,5249954.86141992,5282404.93757209,3074942.13203803,3393186.32425809,2549506.72612941,5211290.45844744,2811477.18556088,3418828.53683712,2119507.93285287,2471903.86876469,1928490.56581769,1956453.32320158,2198342.55368966,2007597.38707674,1857134.54377731,2038362.52705998,1985336.5602246,1644984.56720264,1845287.34944226,2066640.05076635,1883293.98732078,1964059.46711774,1748276.84196356,1847630.90866507,1943465.04959638,1645873.98721886,1574720.27503054,1949497.89754077,1940907.65887282,1698259.61122847,2009324.82997981,1611684.83667418,TRUE,TRUE,TRUE
"(9aR,9bS)-9a-Hydroxy-6,9-dimethyl-3-methylene-3,3a,4,5,9a,9b-hexahydroazuleno[4,5-b]furan-2,7-dione",C8-Pos-000472,NA,86510.8296409422,119848.751463271,NA,92459.7485677615,714479.323768317,619049.329070164,554974.597857577,593034.471338993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"(R)-4-((8S,9S,10R,13R,14S,17R)-10,13-dimethyl-3-oxo-2,3,8,9,10,11,12,13,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid",C8-Pos-000521,NA,278647.926217114,344825.26874239,347803.94606267,389860.174339983,294100.021721814,328952.729782886,267455.925819975,328674.380347766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
(R)-Butyrylcarnitine,C18-Pos-000136,C18-Pos-000134,14997404.3304847,18257872.9789197,12844344.685497,11807915.6941251,12888522.072706,26731771.5827107,15481403.6312768,11908421.8954844,7979220.81258952,8608499.14562454,7023798.95637304,10097396.0474873,5489856.41423941,4468403.20352584,7850827.90088372,9093138.18406634,11901678.8842564,11564633.0772787,9439137.17561167,3785344.09208185,2780134.13008227,9056048.52118421,10712309.6963416,5809973.39468469,6744499.65965177,11754413.6884083,12876378.3246086,13798848.9657056,7245426.1042685,7975255.63924407,8169985.62442842,9504411.73095022,TRUE,TRUE,TRUE
(Z)-2-octylpent-2-enedioic acid,C8-Pos-000570,C8-Pos-000678,119282.02020739,118216.085014953,128457.178379865,115037.957247215,114271.40303355,96791.0385712491,113675.03426741,90008.1995253844,131384.138482018,144901.597765578,202442.748041025,145067.220095411,135846.375252149,151231.821536773,181604.114125687,156940.101817023,183345.430188019,106454.037141388,133663.377034727,108406.843682204,144640.244719493,168831.335247262,169204.462694949,140348.654311337,214520.508851764,144000.953570385,111484.610096914,131786.091675827,123279.92690624,139449.00575402,136602.848765662,142876.731225819,TRUE,TRUE,TRUE
