pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
Tyrosine catabolism (Reactome),0.12638736126387362,0.7858229102462887,0.03793649589498994,0.49146266333205785,1.6103254162259837,5,Ethyl Acetoacetate;L-Glutathione (Reduced);L-Glutamic Acid;L-Ascorbic Acid,IN-CGE-Immature
Cytosolic tRNA aminoacylation (Reactome),0.126987301269873,0.7858229102462887,0.037833743098097034,0.31524055239616344,1.5294643091215614,18,"L-Lysine;Asparagine;Glycine;Tryptophan;L-Glutamic Acid;Leucine;L-Aspartic Acid;L-Threonine;L-Glutamine;L-Valine;L-(-)-Methionine;L-Phenylalanine;D,L-Serine;L-Histidine",IN-CGE-Immature
Mitochondrial tRNA aminoacylation (Reactome),0.126987301269873,0.7858229102462887,0.037833743098097034,0.31524055239616344,1.5294643091215614,18,"L-Lysine;Asparagine;Glycine;Tryptophan;L-Glutamic Acid;Leucine;L-Aspartic Acid;L-Threonine;L-Glutamine;L-Valine;L-(-)-Methionine;L-Phenylalanine;D,L-Serine;L-Histidine",IN-CGE-Immature
tRNA Aminoacylation (Reactome),0.126987301269873,0.7858229102462887,0.037833743098097034,0.31524055239616344,1.5294643091215614,18,"L-Lysine;Asparagine;Glycine;Tryptophan;L-Glutamic Acid;Leucine;L-Aspartic Acid;L-Threonine;L-Glutamine;L-Valine;L-(-)-Methionine;L-Phenylalanine;D,L-Serine;L-Histidine",IN-CGE-Immature
Glycogen synthesis and degradation (WikiPathways),0.1404859514048595,0.7858229102462887,0.035690366102832737,0.4822695035460993,1.5802031303164368,5,Adenosine 3'5'-Cyclic Monophosphate;D-(+)-Glucose;Udp-Β-D-Glucose (Sodium Salt);Glucose 1-Phosphate;D-Glucose,IN-CGE-Immature
Lysine degradation (KEGG),0.1416858314168583,0.7858229102462887,0.03551405283279296,0.4274326660150203,1.5612516919210075,7,L-Lysine;2-Oxoadipic Acid;L-2-Aminoadipic Acid;L-Glutamic Acid,IN-CGE-Immature
"Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases (WikiPathways)",0.14238576142385762,0.7858229102462887,0.03541217818237543,0.4813176440975585,1.5770842698677754,5,Dl-Pyroglutamic Acid;Glycine;L-Glutathione (Reduced),IN-CGE-Immature
Regulation of insulin secretion (Reactome),0.15128487151284872,0.7858229102462887,0.03417579818011894,0.44227353463587926,1.540656152367631,6,Adenosine 3'5'-Cyclic Monophosphate;Palmitic Acid;Acetylcholine;D-Glucose;Adenosine 5'-Diphosphate;Guanosine 5'-Diphosphate (Gdp),IN-CGE-Immature
Glucose homeostasis (WikiPathways),0.15508449155084492,0.7858229102462887,0.0336787638082654,0.3137515090376373,1.4676956959527963,16,L-Lysine;3-Hydroxybutyric Acid;D-(+)-Glucose;Pyruvic Acid,IN-CGE-Immature
Lysine catabolism (Reactome),0.1551844815518448,0.7858229102462887,0.03366591620288568,0.4190179049429641,1.5305157163968601,7,L-Lysine;2-Oxoadipic Acid;L-2-Aminoadipic Acid;L-Glutamic Acid,IN-CGE-Immature
Glutathione conjugation (Reactome),0.1563843615638436,0.7858229102462887,0.0335126487672167,0.4716312056737588,1.5453457083241622,5,Glycine;L-Glutathione (Reduced);L-Glutamic Acid;L-Pyroglutamic Acid;Adenosine 5'-Diphosphate,IN-CGE-Immature
Glutathione synthesis and recycling (Reactome),0.1563843615638436,0.7858229102462887,0.0335126487672167,0.4716312056737588,1.5453457083241622,5,Glycine;L-Glutathione (Reduced);L-Glutamic Acid;L-Pyroglutamic Acid;Adenosine 5'-Diphosphate,IN-CGE-Immature
Synthesis of Leukotrienes (LT) and Eoxins (EX) (Reactome),0.1563843615638436,0.7858229102462887,0.0335126487672167,0.4716312056737588,1.5453457083241622,5,Glycine;L-Glutathione (Reduced);L-Glutamic Acid;Arachidonic Acid;Adenosine 5'-Diphosphate,IN-CGE-Immature
Nitrogen metabolism (KEGG),0.16058394160583941,0.7858229102462887,0.03298897857200287,0.3399125744265825,1.4652320602211903,12,"Asparagine;Pyruvic Acid;Glycine;L-Glutamic Acid;L-Aspartic Acid;L-Glutamine;Biotin;D,L-Serine;L-Histidine;Adenosine 5'-Diphosphate",IN-CGE-Immature
Diseases of nucleotide metabolism (Reactome),0.16448355164483552,0.7858229102462887,0.03251965658044931,0.41356430963058693,1.5105957720746774,7,Inosine;Guanosine;Guanine;Adenosine;Adenine,IN-CGE-Immature
Vitamin B6-dependent and responsive disorders (WikiPathways),0.17118288171182883,0.7858229102462887,0.03174872525030169,0.46150189839989797,1.5121560437395303,5,L-Lysine;L-2-Aminoadipic Acid;L-Glutamic Acid,IN-CGE-Immature
"Cerebral organic acidurias, including diseases (WikiPathways)",0.1733826617338266,0.7858229102462887,0.031504726984671126,0.46014294182301674,1.5077032897897948,5,2-Oxoadipic Acid;Tryptophan;L-2-Aminoadipic Acid;L-Aspartic Acid,IN-CGE-Immature
Organic cation transport (Reactome),0.17918208179182082,0.7858229102462887,0.030881642894319026,0.4556737588652482,1.4930595753357507,5,Choline;Histamine;L-Ergothioneine;Creatinine;Dl-Carnitine,IN-CGE-Immature
Orexin receptor pathway (WikiPathways),0.18068193180681932,0.7858229102462887,0.030725055213410842,0.4047129691607634,1.4782651352679077,7,Adenosine 3'5'-Cyclic Monophosphate;D-(+)-Glucose;L-Glutamic Acid;Progesterone;Arachidonic Acid,IN-CGE-Immature
Nucleotide salvage (Reactome),0.1810818918108189,0.7858229102462887,0.03068360345773801,0.30334450168497074,1.4190128387894685,16,Pseudouridine;Cytidine;Inosine;Guanosine;Guanine,IN-CGE-Immature
Glycosphingolipid metabolism (Reactome),0.19368063193680632,0.7858229102462887,0.029439483401392883,0.41563055062166965,1.4478455407792195,6,N-Acetyl-Neuraminic Acid;D-Glucose;Adenosine 5'-Diphosphate;5'-Cytidylic Acid;Guanosine 5'-Diphosphate (Gdp);Uridine 5'-Diphosphate,IN-CGE-Immature
Peptide hormone metabolism (Reactome),0.19508049195080493,0.7858229102462887,0.029308165741051315,0.3451277698596801,1.4055359516413979,10,"L-Lysine;Palmitic Acid;Myristic Acid;7(Z),10(Z),13(Z),16(Z)-Docosatetraenoic Acid;Palmitoleic Acid;Docosahexaenoic Acid;Acetylcholine;D-Glucose",IN-CGE-Immature
Activation of NMDA receptors and postsynaptic events (Reactome),0.19658034196580343,0.7858229102462887,0.02916890275182249,0.4435116264927301,1.453209160774883,5,Adenosine 3'5'-Cyclic Monophosphate;Glycine;L-Glutamic Acid;Adenosine 5'-Diphosphate;Guanosine 5'-Diphosphate (Gdp),IN-CGE-Immature
Post NMDA receptor activation events (Reactome),0.19658034196580343,0.7858229102462887,0.02916890275182249,0.4435116264927301,1.453209160774883,5,Adenosine 3'5'-Cyclic Monophosphate;Glycine;L-Glutamic Acid;Adenosine 5'-Diphosphate;Guanosine 5'-Diphosphate (Gdp),IN-CGE-Immature
