cell_type,n_associations,n_metabolites,n_genes
EN-L6b,2124,88,1025
IN-MGE-SST,1068,86,358
IN-CGE-Immature,978,88,386
EN-IT-Immature,929,114,611
EN-Newborn,512,112,368
EN-Non-IT-Immature,415,84,257
OPC,392,173,101
EN-L6-IT,363,85,205
Astrocyte-Immature,245,88,165
IN-MGE-Immature,241,129,148
IPC-EN,160,24,130
