Compound.ID,Name,Super.Class,Class,n_genes,n_cell_types
C8-Pos-005561,Pc(22:5cooh_25:8),Lipids and lipid-like molecules,Glycerophospholipids,1244,8
C8-Neg-003398,Pi(22:0_12:1),Lipids and lipid-like molecules,Glycerophospholipids,848,7
Amide-Neg-000118,3-Hydroxybutyric Acid,Organic acids and derivatives,Hydroxy acids and derivatives,317,6
C8-Neg-003656,Pe(19:1cooh_28:3),Lipids and lipid-like molecules,Glycerophospholipids,231,5
Amide-Pos-001387,Asp-Pro-Asn,Organic acids and derivatives,Carboxylic acids and derivatives,165,4
Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,Organoheterocyclic compounds,Pyrroles,156,1
Amide-Neg-000149,2-Furoic Acid,Organoheterocyclic compounds,Furans,133,8
C18-Pos-001811,N-Acetyl-1-Aspartylglutamic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,131,3
C8-Pos-001061,Cholest-4-En-3-One,Lipids and lipid-like molecules,Steroids and steroid derivatives,126,3
C18-Pos-002092,Adenosine 3'5'-Cyclic Monophosphate,"Nucleosides, nucleotides, and analogues",Purine nucleotides,118,4
Amide-Neg-000697,Dl-Arginine,Organic acids and derivatives,Carboxylic acids and derivatives,112,5
C8-Neg-003439,Dgdg(18:0_11:1),Lipids and lipid-like molecules,Glycerolipids,103,4
C8-Neg-002450,Lpc(20:1),Lipids and lipid-like molecules,Glycerophospholipids,87,1
Amide-Pos-000690,Gly-Asp,Organic acids and derivatives,Carboxylic acids and derivatives,84,4
Amide-Neg-000032,Pyruvic Acid,Organic acids and derivatives,Keto acids and derivatives,79,2
Amide-Pos-000658,Trans-3-Indoleacrylic Acid,Organoheterocyclic compounds,Indoles and derivatives,78,3
Amide-Neg-000866,N-Acetyl-L-Methionine,Organic acids and derivatives,Carboxylic acids and derivatives,74,7
C8-Pos-001592,"2-[{[(1s,4s,6s)-4-({5-[4-(Dimethylamino)Phenyl]-1,3,4-Oxadiazol-2-Yl}Methyl)-6-Isopropyl-3-Methyl-2-Cyclohexen-1-Yl]Methyl}(Methyl)Amino]Ethanol",Lipids and lipid-like molecules,Prenol lipids,70,7
C18-Pos-000207,Caprolactam,Organoheterocyclic compounds,Lactams,69,3
C8-Pos-005193,Pc(20:0_22:5),Lipids and lipid-like molecules,Glycerophospholipids,57,3
Amide-Neg-000484,L-Lysine,Organic acids and derivatives,Carboxylic acids and derivatives,56,4
C8-Neg-003596,Ps(23:2_21:0),Lipids and lipid-like molecules,Glycerophospholipids,52,8
Amide-Neg-000158,Maleic Hydrazide,Organoheterocyclic compounds,Diazines,51,3
C8-Pos-004574,1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,Lipids and lipid-like molecules,Glycerophospholipids,43,6
C8-Pos-003614,Tg(36:6_4:0),Lipids and lipid-like molecules,Glycerolipids,38,8
C8-Pos-005214,Pc(14:1_28:3),Lipids and lipid-like molecules,Glycerophospholipids,38,3
Amide-Neg-000078,Isobutyric Acid,Organic acids and derivatives,Carboxylic acids and derivatives,36,2
C8-Pos-000820,Docosanamide,Lipids and lipid-like molecules,Fatty Acyls,35,5
C18-Neg-002092,1-Stearoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine,Lipids and lipid-like molecules,Glycerophospholipids,33,7
Amide-Pos-000349,L-Hydroxyproline,Organic acids and derivatives,Carboxylic acids and derivatives,28,2
Amide-Pos-000996,2'-Deoxyadenosine,"Nucleosides, nucleotides, and analogues",Purine nucleosides,28,1
C8-Neg-003462,Pc(17:3_20:1),Lipids and lipid-like molecules,Glycerophospholipids,28,5
C8-Pos-005110,Pe(O-14:0_32:0),Lipids and lipid-like molecules,Glycerophospholipids,28,7
C8-Neg-002972,Oahfa(15:1_27:4),Lipids and lipid-like molecules,Fatty acyls,26,3
C8-Pos-005464,Pc(26:6_21:6cho),Lipids and lipid-like molecules,Glycerophospholipids,26,6
C8-Pos-000337,Geranyllinalool,Lipids and lipid-like molecules,Prenol lipids,25,1
C8-Pos-002542,Lpc 20:3-Sn1,Lipids and lipid-like molecules,Glycerophospholipids,23,4
Amide-Neg-001331,Pseudouridine,"Nucleosides, nucleotides, and analogues",Nucleoside and nucleotide analogues,22,3
C8-Pos-000342,Palmitic Acid,Lipids and lipid-like molecules,Fatty Acyls,22,5
C8-Neg-003657,Ps(17:1_29:3),Lipids and lipid-like molecules,Glycerophospholipids,21,5
Amide-Pos-000686,"N6,N6,N6-Trimethyl-L-Lysine",Organic acids and derivatives,Carboxylic acids and derivatives,19,1
Amide-Neg-001943,5'-Xanthylic Acid,"Nucleosides, nucleotides, and analogues",Purine nucleotides,18,4
Amide-Pos-001317,N-Acetyl-Neuraminic Acid,Organic oxygen compounds,Organooxygen compounds,18,2
C8-Pos-004759,Pe(O-20:1_22:6),Lipids and lipid-like molecules,Glycerophospholipids,18,6
Amide-Pos-000319,L-Glutamic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,17,6
C8-Neg-002843,Pc(18:1_5:1cho),Lipids and lipid-like molecules,Glycerophospholipids,17,2
C8-Pos-000806,Glycerol Monooleate,Lipids and lipid-like molecules,Glycerolipids,17,3
C8-Pos-003714,Pc(O-10:0_23:2),Lipids and lipid-like molecules,Glycerophospholipids,17,5
Amide-Neg-000344,L-Ornithine,Organic acids and derivatives,Carboxylic acids and derivatives,16,3
C8-Neg-003418,Ps(15:0_25:3),Lipids and lipid-like molecules,Glycerophospholipids,16,2
Amide-Neg-000171,Glutaric Anhydride,Organoheterocyclic compounds,Lactones,15,6
C8-Pos-003565,Cerp(D18:0_20:3),Lipids and lipid-like molecules,Sphingolipids,15,5
Amide-Neg-000316,Acetyl-D-Alanine,Organic acids and derivatives,Carboxylic acids and derivatives,14,2
Amide-Pos-000461,4-Quinolinol,Organoheterocyclic compounds,Quinolines and derivatives,14,3
Amide-Pos-001105,Υ-L-Glutamyl-L-Glutamic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,14,5
Amide-Pos-002120,Dihydronicotinamide-Adenine Dinucleotide,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,14,5
Amide-Neg-001321,Cytidine,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,13,6
C18-Pos-001025,D-Panthenol,Organic oxygen compounds,Organooxygen compounds,13,5
C8-Neg-003628,Pc(30:8_11:3cooh),Lipids and lipid-like molecules,Glycerophospholipids,13,4
C8-Pos-003179,Nervonic Ceramide,Lipids and lipid-like molecules,Sphingolipids,13,3
C8-Pos-003685,Pe(O-26:3_7:0),Lipids and lipid-like molecules,Glycerophospholipids,13,4
C8-Pos-005188,Pe(22:2_21:4cooh),Lipids and lipid-like molecules,Glycerophospholipids,13,2
Amide-Neg-000015,Glycolic Acid,Organic acids and derivatives,Hydroxy acids and derivatives,12,3
Amide-Pos-000913,Anserine,Organic acids and derivatives,Peptidomimetics,12,5
C8-Pos-001241,Dg(3:0_15:0),Lipids and lipid-like molecules,Glycerolipids,12,4
Amide-Neg-000219,N-Acetylglycine,Organic acids and derivatives,Carboxylic acids and derivatives,11,3
Amide-Pos-000167,Amifampridine,Organoheterocyclic compounds,Pyridines and derivatives,11,5
C18-Pos-001575,Asp-Phe,Organic acids and derivatives,Carboxylic acids and derivatives,11,6
C8-Pos-000022,Chalcone,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",11,3
C8-Pos-003535,Pe 16:1_16:1,Lipids and lipid-like molecules,Glycerophospholipids,11,4
C8-Pos-003901,Dl-Dipalmitoylphosphatidylcholine,Lipids and lipid-like molecules,Glycerophospholipids,11,5
C8-Pos-004921,Tg(49:11_2:0),Lipids and lipid-like molecules,Glycerolipids,11,2
Amide-Neg-000332,Dl-Xylose,Organic oxygen compounds,Organooxygen compounds,10,3
Amide-Pos-000085,Cyclohexylamine,Organic nitrogen compounds,Organonitrogen compounds,10,4
Amide-Pos-000296,5-Methylcytosine,Organoheterocyclic compounds,Diazines,10,2
Amide-Pos-000336,N-Acetylputrescine,Organic acids and derivatives,Carboximidic acids and derivatives,10,6
Amide-Pos-001139,N-Acetyl-D-Glucosamine 6-Phosphate,Organic oxygen compounds,Organooxygen compounds,10,2
C18-Pos-001951,Gln-Gly-Ile,Organic acids and derivatives,Carboxylic acids and derivatives,10,4
C8-Neg-002453,Pc(14:0_4:1cho),Lipids and lipid-like molecules,Glycerophospholipids,10,3
C8-Neg-003377,Pi(16:1_18:3),Lipids and lipid-like molecules,Glycerophospholipids,10,4
C8-Pos-001073,Cer(D15:2_7:0),Lipids and lipid-like molecules,Sphingolipids,10,4
C8-Pos-001076,Bis(Methylbenzylidene)Sorbitol,Phenylpropanoids and polyketides,Cinnamyl alcohols,10,6
C8-Pos-002397,Tg(18:1_3:0_4:0cooh),Lipids and lipid-like molecules,Glycerolipids,10,3
Amide-Neg-000851,Α-Cyano-3-Hydroxycinnamic Acid,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,9,4
Amide-Pos-000025,Putrescine,Organic nitrogen compounds,Organonitrogen compounds,9,4
Amide-Pos-000230,Prolinamide,Organic acids and derivatives,Carboxylic acids and derivatives,9,3
Amide-Pos-000561,Acetyl-Β-Methylcholine,Organic nitrogen compounds,Organonitrogen compounds,9,3
Amide-Pos-001779,Cytidine 5'-Diphosphocholine,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,9,4
C18-Neg-001236,"5,5-Dimethyl-2-{[(2-Phenylacetyl)Amino]Methyl}-1,3-Thiazolane-4-Carboxylic Acid",Organic acids and derivatives,Carboxylic acids and derivatives,9,5
C8-Neg-003343,Pg(20:3_20:4),Lipids and lipid-like molecules,Glycerophospholipids,9,3
C8-Neg-003529,Ps 22:6_22:6,Lipids and lipid-like molecules,Glycerophospholipids,9,5
C8-Pos-000350,Citroflex 2,Organic acids and derivatives,Carboxylic acids and derivatives,9,2
C8-Pos-003290,Tg(2:0_11:0_23:4),Lipids and lipid-like molecules,Glycerolipids,9,4
Amide-Pos-000193,Creatinine,Organic acids and derivatives,Carboxylic acids and derivatives,8,3
Amide-Pos-000715,N-Methyl-D-Glucamine,Organic oxygen compounds,Organooxygen compounds,8,2
Amide-Pos-001163,Ophthalmate,Organic acids and derivatives,Carboxylic acids and derivatives,8,6
C18-Pos-000820,Propham,Benzenoids,Benzene and substituted derivatives,8,4
C18-Pos-002636,S-4-(2-Oxo-Butyl)Glutathione,Organic acids and derivatives,Carboxylic acids and derivatives,8,5
C8-Neg-000383,(Rac)-Idroxioleic Acid,Lipids and lipid-like molecules,Fatty Acyls,8,4
C8-Neg-002832,Oahfa(15:1_25:3),Lipids and lipid-like molecules,Fatty acyls,8,3
