gene,n_metabolites,n_cell_types,n_tests
LINC02672,1,1,1
LINC02789,1,1,1
LINC02981,1,1,1
LINC02997,1,1,1
LINC03003,1,1,1
LNCBRM,1,1,1
LRBA,1,1,1
LRRC4B,1,1,1
LRRC63,1,1,1
LRRC7,1,1,1
LRRTM2,1,1,1
LTBP1,1,1,1
LY6H,1,1,1
LYPLAL1-DT,1,1,1
MACROD2-AS1,1,1,1
MAGI1,1,1,1
MAGI3,1,1,1
MAML2,1,1,1
MAN1C1,1,1,1
MAP3K8,1,1,1
MAP4K2,1,1,1
MARCHF6,1,1,1
MASP1,1,1,1
MAST4,1,1,1
MB21D2,1,1,1
MBNL2,1,1,1
MCF2L2,1,1,1
MCTP1,1,1,1
MEGF10,1,1,1
MEGF11,1,1,1
MEIOSIN,1,1,1
MFSD6,1,1,1
MGC32805,1,1,1
MGST3,1,1,1
MID1,1,1,1
MID2,1,1,1
MINDY1,1,1,1
MIR17HG,1,1,1
MIR181A1HG,1,1,1
MIR217HG,1,1,1
MIR34AHG,1,1,1
MIR3976HG,1,1,1
MIR646HG,1,1,1
MLLT11,1,1,1
MLLT3,1,1,1
MME-AS1,1,1,1
MPC1-DT,1,1,1
MPPED2-AS1,1,1,1
MRFAP1L1,1,1,1
MROH9,1,1,1
MSRA,1,1,1
MSRB3,1,1,1
MT-CO3,1,1,1
MT-ND3,1,1,1
MUC4,1,1,1
MYL6,1,1,1
MYO1B-AS1,1,1,1
MZT2B,1,1,1
NAALADL2,1,1,1
NAV3,1,1,1
NCAM2,1,1,1
NCAPG,1,1,1
NCEH1,1,1,1
NCKAP5-AS2,1,1,1
NDUFA11,1,1,1
NDUFB11,1,1,1
NDUFC2,1,1,1
NDUFS5,1,1,1
NDUFS6,1,1,1
NECAB1,1,1,1
NECTIN3,1,1,1
NECTIN3-AS1,1,1,1
NEFL,1,1,1
NEK7,1,1,1
NEO1,1,1,1
NETO2,1,1,1
NEUROD2,1,1,1
NFIA-AS2,1,1,1
NIPAL2,1,1,1
NIPAL3,1,1,1
NKAIN3,1,1,1
NLGN4Y,1,1,1
NLK,1,1,1
NMD3,1,1,1
NOX4,1,1,1
NPB,1,1,1
NPFFR1,1,1,1
NPIPA8,1,1,1
NREP,1,1,1
NRG2,1,1,1
NRIR,1,1,1
NRN1,1,1,1
NT5DC1,1,1,1
NTN4,1,1,1
NUDT4,1,1,1
NUMB,1,1,1
NUP62CL,1,1,1
NXNL2,1,1,1
OAZ1,1,1,1
OCA2,1,1,1
OLIG1,1,1,1
OPRK1,1,1,1
OSTN,1,1,1
P2RY14,1,1,1
PAG1,1,1,1
PANTR1,1,1,1
PAQR5,1,1,1
PARP11-AS1,1,1,1
PART1,1,1,1
PAUPAR,1,1,1
PAX2,1,1,1
PCAT1,1,1,1
PCDH17,1,1,1
PDCD1LG2,1,1,1
PDCD4,1,1,1
PDE4D,1,1,1
PDK1,1,1,1
PDZD2,1,1,1
PEBP1,1,1,1
PEG3,1,1,1
PFN1,1,1,1
PHLPP1,1,1,1
PI15,1,1,1
PIPOX,1,1,1
PKP2,1,1,1
PLCE1,1,1,1
PLCZ1,1,1,1
PLEKHA5,1,1,1
PLEKHH2,1,1,1
PLK2,1,1,1
PLPPR4,1,1,1
PLS3-AS1,1,1,1
PLXNA2,1,1,1
PNRC1,1,1,1
POLG2,1,1,1
POLR2I,1,1,1
POLR3G,1,1,1
POP7,1,1,1
PPEF1,1,1,1
PPM1H,1,1,1
PPP1R14B,1,1,1
PPP1R17,1,1,1
PRANCR,1,2,2
PRDM6,1,1,1
PRDX1,1,1,1
PRDX2,1,1,1
PREX2,1,1,1
PRKAR2A,1,1,1
PRKCE,1,1,1
PRKG2,1,1,1
PRKN,1,1,1
PROK2,1,1,1
PRRX1,1,1,1
PRUNE2,1,1,1
PTCH1,1,1,1
PTCH2,1,1,1
PTCHD4,1,1,1
PTGES2-AS1,1,1,1
PTGFR,1,1,1
PTPN13,1,1,1
PTPN4,1,1,1
PTPRE,1,1,1
PTPRK-AS1,1,1,1
PTPRO,1,1,1
PTX3,1,1,1
RAC3,1,1,1
RACGAP1,1,1,1
RAD51B,1,1,1
RALGPS2,1,1,1
RANBP17,1,1,1
RANBP3L,1,1,1
RAPGEF2,1,1,1
RAPGEF4-AS1,1,1,1
RASGEF1C,1,1,1
RASL10A,1,1,1
RASSF7,1,1,1
RBM20,1,1,1
RBMS3-AS3,1,2,2
RBP1,1,1,1
RBPJ,1,1,1
RETREG1,1,1,1
RGL1,1,1,1
RIPK1,1,1,1
RIPK2-DT,1,1,1
RIPOR2,1,1,1
RNF2,1,1,1
RNF213-AS1,1,1,1
RNF44,1,1,1
RPL36AL,1,1,1
RTN1,1,1,1
RUNDC3B,1,1,1
RYBP,1,1,1
SATB1,1,1,1
SCN1A,1,1,1
SCN1A-AS1,1,1,1
SCN2A,1,1,1
SCN9A,1,1,1
SDC2,1,1,1
SDCBP,1,1,1
SDK1,1,1,1
SDK2,1,1,1
SDR16C5,1,1,1
SERPINB9,1,1,1
SERPINE2,1,1,1
SESTD1,1,1,1
SEZ6L2,1,1,1
SFRP1,1,1,1
SFTA1P,1,1,1
SGMS2,1,1,1
SHISA2,1,1,1
SHTN1,1,1,1
SIDT1,1,1,1
SIK3,1,1,1
SIPA1L2,1,1,1
SKAP1,1,1,1
SLAIN1,1,1,1
SLC10A1,1,1,1
SLC16A12,1,1,1
SLC25A43,1,1,1
SLC25A6,1,1,1
SLC28A2,1,1,1
SLC2A13,1,1,1
SLC34A1,1,1,1
SLC35F1,1,1,1
SLC44A5,1,1,1
SLC6A16,1,1,1
SLC8A3,1,1,1
SLC9A9,1,2,2
SLF1,1,1,1
SLIT2,1,1,1
SLIT3,1,1,1
SLITRK1,1,1,1
SLITRK4,1,1,1
SMOC1,1,1,1
SMPDL3B,1,1,1
SMYD3,1,1,1
SNAP25,1,1,1
SNAP25-AS1,1,1,1
SNED1,1,1,1
SNHG25,1,1,1
SNU13,1,1,1
SNX16,1,1,1
SNX18,1,1,1
SOCS2,1,1,1
SOX11,1,1,1
SOX9-AS1,1,1,1
SPATA16,1,1,1
SPG11,1,1,1
SPI1,1,1,1
SPIRE1,1,1,1
SPOCK1,1,1,1
SPOPL,1,1,1
SPP1,1,1,1
SPRY1,1,1,1
SRGAP2,1,1,1
ST6GAL1,1,1,1
STAMBPL1,1,2,2
STAT3,1,1,1
STK31,1,1,1
STMN2,1,1,1
STMN4,1,1,1
STON2,1,1,1
STX3,1,1,1
STXBP5L,1,1,1
SULF2,1,1,1
SUSD1,1,1,1
SYBU,1,1,1
SYN2,1,1,1
TANGO6,1,1,1
TARBP1,1,1,1
TBC1D1,1,1,1
TBC1D3D,1,1,1
TCERG1L,1,1,1
TCF20,1,1,1
TCF7L1,1,1,1
TCTN2,1,1,1
TDRD12,1,1,1
TEAD2,1,1,1
THSD7A,1,1,1
THSD7B,1,1,1
TJP1,1,1,1
TMEM117,1,1,1
TMEM163,1,1,1
TMEM221,1,1,1
TMEM71,1,1,1
TMEM98,1,1,1
TMPRSS11D,1,1,1
TNRC6A,1,1,1
TNXB,1,1,1
TOX3,1,1,1
TPTE2,1,1,1
TRAF3IP2-AS1,1,1,1
TRBC2,1,1,1
TRHDE-AS1,1,1,1
TRIM5,1,1,1
TRIM54,1,1,1
TRIM67,1,1,1
TRIM9,1,1,1
TRPC4,1,1,1
TRPC5OS,1,1,1
TRPC6,1,1,1
TSHZ3-AS1,1,1,1
TSPAN18,1,1,1
TUSC7,1,1,1
UBA6-DT,1,1,1
UBC,1,1,1
UBE2E2,1,1,1
UBE2G1,1,1,1
UBE2Q2P2,1,1,1
UBE3A,1,1,1
UQCR10,1,1,1
UQCR11,1,1,1
URI1,1,1,1
UST,1,1,1
UST-AS1,1,1,1
VCAN,1,1,1
VEGFC,1,1,1
VEPH1,1,1,1
VIM,1,1,1
VLDLR-AS1,1,1,1
VSTM2L,1,1,1
VWA5A,1,1,1
WDFY3,1,1,1
WDR93,1,1,1
WIPF1,1,1,1
WNT5A,1,1,1
WWC1,1,1,1
WWOX,1,1,1
XYLT1,1,1,1
ZBTB1,1,1,1
ZBTB16,1,1,1
ZBTB20-AS2,1,1,1
ZBTB46,1,1,1
ZC3H12B,1,1,1
ZDHHC11B,1,1,1
ZDHHC14,1,1,1
ZDHHC23,1,2,2
ZFPM2-AS1,1,1,1
ZHX2,1,1,1
ZIM2,1,1,1
ZNF217,1,1,1
ZNF385C,1,1,1
ZNF428,1,1,1
ZNF462,1,1,1
ZNF704,1,1,1
ZNF730,1,1,1
ZNRF2,1,2,2
