gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,dropped_covariates,Compound.ID,Name,cell_type,n_samples,FDR_global,Super.Class,Class,Sub.Class,Pathways,KEGG,Exogenous_Flag,Annotation_Confidence,n_nonzero,max_cooks,loo_unstable
ENSG00000287949,-0.8259275397719374,0.008686366546708367,-6.105034951795074,4.4301608611774845e-6,0.01773393392729347,2.7933599877470217,,Amide-Pos-000167,Amifampridine,EN-Newborn,20,0.07652758691148913,Organoheterocyclic compounds,Pyridines and derivatives,Aminopyridines and derivatives,NA,NA,NA,high,7,6.693248593687008,TRUE
SHISA2,-0.5609151996973037,0.7729435431969682,-5.959344767827615,6.173470791285487e-6,0.021182060209299265,2.96347929237273,,Amide-Pos-000167,Amifampridine,EN-Newborn,20,0.09345049014393038,Organoheterocyclic compounds,Pyridines and derivatives,Aminopyridines and derivatives,NA,NA,NA,high,12,0.7279241977326483,TRUE
HTR7,1.2743861562283685,2.2028959128313517,7.521004353415601,2.7896909886136816e-7,0.006694979403573975,2.2834432719076103,,Amide-Pos-000171,Cytosine,EN-Newborn,19,0.012906560792680842,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,R-HSA-425397;R-HSA-83936;WP3585;WP4584,C00380,NA,high,17,0.4720915772338713,FALSE
EPB41L3,-0.9468176507047793,6.95975397855739,-8.091476768199657,3.5083778542026434e-7,0.007901919441020614,6.894189216804161,,Amide-Pos-000296,5-Methylcytosine,EN-Newborn,15,0.014918516718689896,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,R-HSA-212300;R-HSA-427413;R-HSA-5221030;R-HSA-5250941;R-HSA-5334118;R-HSA-73728;R-HSA-73854;R-HSA-73864;R-HSA-9816359;R-HSA-9821002;R-HSA-9842860;R-HSA-9845323;WP3585,C02376,NA,high,15,0.48806944278067893,FALSE
C8orf34,1.1490935272584168,7.411614585198431,6.886718329880855,2.8795340217301426e-6,0.02405185340770544,4.863769001678804,,Amide-Pos-000296,5-Methylcytosine,EN-Newborn,15,0.05908519056973953,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,R-HSA-212300;R-HSA-427413;R-HSA-5221030;R-HSA-5250941;R-HSA-5334118;R-HSA-73728;R-HSA-73854;R-HSA-73864;R-HSA-9816359;R-HSA-9821002;R-HSA-9842860;R-HSA-9845323;WP3585,C02376,NA,high,15,1.1403689547791294,FALSE
UBE2E2,0.9932600390521381,7.55862813012478,6.71943721918671,3.9170747823712464e-6,0.02405185340770544,4.562219806784205,,Amide-Pos-000296,5-Methylcytosine,EN-Newborn,15,0.07100862878565645,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,R-HSA-212300;R-HSA-427413;R-HSA-5221030;R-HSA-5250941;R-HSA-5334118;R-HSA-73728;R-HSA-73854;R-HSA-73864;R-HSA-9816359;R-HSA-9821002;R-HSA-9842860;R-HSA-9845323;WP3585,C02376,NA,high,15,0.38208253484691046,FALSE
LINC00951,1.9146927056707388,2.4785943608042516,6.672717557965515,4.271518609013975e-6,0.02405185340770544,3.448517309453294,,Amide-Pos-000296,5-Methylcytosine,EN-Newborn,15,0.07484487344496184,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,R-HSA-212300;R-HSA-427413;R-HSA-5221030;R-HSA-5250941;R-HSA-5334118;R-HSA-73728;R-HSA-73854;R-HSA-73864;R-HSA-9816359;R-HSA-9821002;R-HSA-9842860;R-HSA-9845323;WP3585,C02376,NA,high,13,0.6511344077450772,FALSE
KCNQ5,1.7768670543747482,8.186874676966221,6.534159234305464,5.532434650621251e-6,0.024122798944590552,4.175626333598533,,Amide-Pos-000296,5-Methylcytosine,EN-Newborn,15,0.0873500912013694,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,R-HSA-212300;R-HSA-427413;R-HSA-5221030;R-HSA-5250941;R-HSA-5334118;R-HSA-73728;R-HSA-73854;R-HSA-73864;R-HSA-9816359;R-HSA-9821002;R-HSA-9842860;R-HSA-9845323;WP3585,C02376,NA,high,15,0.5997772713889424,FALSE
KCND2,-0.726393070167606,10.536905672654028,-6.419139600214883,6.871180251029388e-6,0.024122798944590552,3.787009145145536,,Amide-Pos-000296,5-Methylcytosine,EN-Newborn,15,0.09928928106730717,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,R-HSA-212300;R-HSA-427413;R-HSA-5221030;R-HSA-5250941;R-HSA-5334118;R-HSA-73728;R-HSA-73854;R-HSA-73864;R-HSA-9816359;R-HSA-9821002;R-HSA-9842860;R-HSA-9845323;WP3585,C02376,NA,high,15,0.3950609351183685,FALSE
IL1RAPL1,0.7026405749689976,9.546342655682915,6.6464245059972935,4.311976193418139e-6,0.10288806395115023,2.4987528969568684,,Amide-Pos-000303,1h-Imidazole-1-Acetic Acid,EN-Newborn,16,0.07534718314326694,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,16,0.6263041897684208,FALSE
PLPP4,-0.7362248547848993,4.733873104381922,-6.208476902406295,3.4533311488788034e-6,0.05312989638786005,3.9834946317613724,,Amide-Pos-000319,L-Glutamic Acid,EN-Newborn,20,0.06615548449967619,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",map00250;map00270;map00280;map00310;map00330;map00340;map00350;map00360;map00380;map00410;map00480;map00520;map00590;map00640;map00670;map00760;map00910;R-HSA-112310;R-HSA-112313;R-HSA-156590;R-HSA-1614558;R-HSA-1614635;R-HSA-174403;R-HSA-196757;R-HSA-196807;R-HSA-210455;R-HSA-210500;R-HSA-2142691;R-HSA-2682334;R-HSA-352230;R-HSA-379716;R-HSA-379724;R-HSA-379726;R-HSA-3928662;R-HSA-399710;R-HSA-399721;R-HSA-420499;R-HSA-428643;R-HSA-438064;R-HSA-438066;R-HSA-442742;R-HSA-442755;R-HSA-442982;R-HSA-446210;R-HSA-446219;R-HSA-451306;R-HSA-451307;R-HSA-451308;R-HSA-451326;R-HSA-499943;R-HSA-500657;R-HSA-500753;R-HSA-5423646;R-HSA-5578999;R-HSA-5579029;R-HSA-5619062;R-HSA-5619067;R-HSA-5619076;R-HSA-5628897;R-HSA-6794362;R-HSA-70263;R-HSA-70268;R-HSA-70326;R-HSA-70635;R-HSA-70688;R-HSA-70895;R-HSA-70921;R-HSA-71064;R-HSA-71240;R-HSA-73817;R-HSA-8849932;R-HSA-888568;R-HSA-888590;R-HSA-8955332;R-HSA-8956320;R-HSA-8963684;R-HSA-8963691;R-HSA-8963693;R-HSA-8964539;R-HSA-8964540;R-HSA-9018677;R-HSA-9026395;R-HSA-9026762;R-HSA-9026766;R-HSA-916853;R-HSA-9617324;R-HSA-9620244;R-HSA-9659379;R-HSA-9662360;R-HSA-9664535;R-HSA-9717189;R-HSA-9717207;R-HSA-9748787;R-HSA-9753281;R-HSA-977347;R-HSA-9856872;WP100;WP2333;WP2447;WP2485;WP3580;WP3602;WP3853;WP3869;WP4008;WP4157;WP4159;WP4222;WP4224;WP4225;WP4228;WP4259;WP4315;WP4504;WP4571;WP4583;WP4595;WP4661;WP4688;WP497;WP5026;WP5029;WP5094;WP5213;WP5312;WP5402;WP550,C00025,NA,high,20,0.46873156769655716,FALSE
