set_id,set_label,condition,source,level,set_type,gene_symbol
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,BCAR1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,BCAS3
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,BMP1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,C1S
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,C5
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,CABIN1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,CAMK1D
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,CCDC30
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,CCM2
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,CDH13
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,CDK8
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,CEL
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,CELSR2
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,CENPW
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,CETP
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,CFTR
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,CMIP
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,CNNM2
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,CNPY2
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,COL4A1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,CRYAB
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,CTAGE1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,CXCL12
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,CXCR4
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,CYP17A1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,DAB2IP
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,DAGLB
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,DMXL1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,DNAH10
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,DOCK5
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,DOCK8
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,DOCK9
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,DYNLRB2
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,EDNRA
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,EIF2B2
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,F10
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,FAM46A
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,FBN2
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,FDX1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,FER
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,FES
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,FGD5
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,FGD6
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,FGF1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,FHL3
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,FHL5
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,FIGN
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,FLT1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,FN1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,FNDC3B
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,FOXC1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,GATA6
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,GEM
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,GGCX
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,GIGYF2
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,GNPDA2
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,GPSM1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,GUCY1A3
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,HBS1L
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,HDAC9
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,HDGFL1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,HHAT
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,HHIPL1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,HMGCR
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,HNF1A
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,HTRA1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,IL6R
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,IRS1
