Name,GW_corr_pval.correlation.cor,GW_corr_pval.p_value,GW_FDR
7-Oxocholesterol,0.37650912068744147,0.1120910183150758,0.31385485128221224
Progesterone,-0.053964550676714,0.8022468601355544,0.998612073925549
Methasterone,-0.586048244893329,0.04523012438430618,0.23258230819028652
"17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One",-0.12466231348403578,0.5616534011656775,0.8736830684799428
Cholest-4-En-3-One,0.37570735260082677,0.07040902695105501,0.24643159432869255
"Spectral Match To Cholesta-4,6-Dien-3-One From Nist14",-0.6346261150343411,0.0011430120963391442,0.01600216934874802
Norethandrolone,-0.011626617778284781,0.9569992862046763,0.998612073925549
Methyltestosterone,0.06628839826978145,0.7637882087596812,0.998612073925549
7α-Hydroxytestosterone,-0.191917403171044,0.3689722958802796,0.6727201501263516
"Cholestan-3-One, (5α)-",-0.2965529464982378,0.2321038287098813,0.5415756003230564
Cortisone,-0.18591613353181624,0.3844115143579152,0.6727201501263516
Corticosterone,-0.010648731783844529,0.9665495791775673,0.998612073925549
Norgestrel,-0.4046460167956973,0.04983906604077568,0.23258230819028652
Cortisol,-4.1573730581054915e-4,0.998612073925549,0.998612073925549
