gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,dropped_covariates,Compound.ID,Name,cell_type,n_samples,FDR_global,Super.Class,Class,Sub.Class,Pathways,KEGG,Exogenous_Flag,Annotation_Confidence,n_nonzero,max_cooks,loo_unstable
CTNNA2,-2.821576662681942,9.38485366762467,-8.047420432082946,3.7395042865642947e-7,0.00454812786687257,6.845384926262664,,Amide-Neg-000219,N-Acetylglycine,Astrocyte-Immature,10,0.05745811812604916,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,10,0.6647941407344762,FALSE
RALYL,-2.968031021188141,6.588205519599216,-7.7435683440599705,6.259465822835908e-7,0.00454812786687257,6.087779599759886,,Amide-Neg-000219,N-Acetylglycine,Astrocyte-Immature,10,0.07308964232042019,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,10,0.7147468174513685,FALSE
ENSG00000258342,-2.7979477064102443,2.8700998563245066,-8.996652110539719,1.9003833972861494e-7,0.0030265505985179217,6.08269152519873,,Amide-Neg-000557,N-Acetyl-L-Aspartic Acid,Astrocyte-Immature,12,0.0430455870085249,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",map00250;R-HSA-8963693;R-HSA-8964539;WP4519;WP5365,C01042,NA,high,4,0.8394337513090111,FALSE
LINC00609,-3.3212264200170445,4.603978593742223,-8.133381453098085,6.801949457059504e-7,0.005416392352656484,5.552649907746533,,Amide-Neg-000557,N-Acetyl-L-Aspartic Acid,Astrocyte-Immature,12,0.07475425037341667,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",map00250;R-HSA-8963693;R-HSA-8964539;WP4519;WP5365,C01042,NA,high,8,0.9517056774884847,TRUE
CNTN4,1.828830470994967,5.688679657368134,8.469749864488234,1.5874527994153884e-7,0.0026324729772705386,5.4872917062695965,,Amide-Neg-001331,Pseudouridine,Astrocyte-Immature,14,0.03937750777286214,"Nucleosides, nucleotides, and analogues",Nucleoside and nucleotide analogues,NA,R-HSA-73614;R-HSA-8956321;WP4485,C02067,NA,high,14,1.7107492509615576,FALSE
GHR,1.4668498534042638,5.061471561097118,8.79574056807643,2.579732378071499e-7,0.003927642545613857,5.936020447319521,,Amide-Neg-001874,"D-Fructose 1,6-Bisphosphate",Astrocyte-Immature,12,0.049250125178057776,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,WP5220,NA,NA,high,11,1.814134488445383,FALSE
SLC22A3,-1.818320187217736,2.1014806370374672,-7.581114975906381,5.86060007452219e-7,0.009664129522887092,3.6124318981100902,,Amide-Neg-002218,Cytidine-5'-Monophospho-N-Acetylneuraminic Acid,Astrocyte-Immature,14,0.07108304867093199,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars,map00520;WP5151,C00128,NA,high,3,0.8912751472928623,FALSE
KCNQ5,-1.060644843832416,5.561330158768135,-7.157959301590182,8.845256756327289e-7,0.01129538327491373,5.223443519406657,,Amide-Pos-000461,4-Quinolinol,Astrocyte-Immature,14,0.08647494559539881,Organoheterocyclic compounds,Quinolines and derivatives,Quinolones and derivatives,NA,NA,NA,high,14,0.5591181159687538,FALSE
ALK,-1.7213933391802607,3.298097545398066,-7.7290316700667345,3.142320940851318e-7,0.004951983570687592,6.269456806257881,,Amide-Pos-000536,L-Histidine,Astrocyte-Immature,13,0.05433921333385958,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",map00340;map00410;map00910;R-HSA-352230;R-HSA-379716;R-HSA-379724;R-HSA-379726;R-HSA-427975;R-HSA-442660;R-HSA-5223345;R-HSA-5619094;R-HSA-70921;R-HSA-71240;WP4486;WP4661;WP5313;WP550;WP661,C00135,NA,high,6,1.1267019126440005,FALSE
PLXDC2,-1.3431019520263836,7.358391842952521,-7.684499101903496,1.0600750224144643e-6,0.01703116531011078,5.735333742526296,,Amide-Pos-000781,Phosphoserine,Astrocyte-Immature,12,0.09436356191678492,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",R-HSA-977347;WP2525;WP4688;WP5213,NA,NA,high,12,0.5072488068278537,FALSE
TUBB2A,1.8998727529854038,5.512967317848883,8.583985341423968,5.490006660604652e-8,9.139763088574624e-4,8.307694624415532,,Amide-Pos-000996,2'-Deoxyadenosine,Astrocyte-Immature,15,0.02683767630347352,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,R-HSA-1222556;R-HSA-425397;R-HSA-74217;R-HSA-74259;R-HSA-83936;R-HSA-8956319;R-HSA-8956321;R-HSA-9734207;R-HSA-9734735;R-HSA-9735804;WP4224;WP4792;WP5269,C00559,NA,high,15,0.38407252804692826,FALSE
RPL28,1.6184956303685545,5.972479044010136,8.094500095195315,1.3394328662478127e-7,0.0011149439178646794,7.6075917042494545,,Amide-Pos-000996,2'-Deoxyadenosine,Astrocyte-Immature,15,0.03649789387506948,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,R-HSA-1222556;R-HSA-425397;R-HSA-74217;R-HSA-74259;R-HSA-83936;R-HSA-8956319;R-HSA-8956321;R-HSA-9734207;R-HSA-9734735;R-HSA-9735804;WP4224;WP4792;WP5269,C00559,NA,high,14,0.7122214539733074,FALSE
C4orf48,1.7245160453234751,4.490699575201451,7.485718094649695,4.244091128479309e-7,0.001676457940405011,6.2707283050499765,,Amide-Pos-000996,2'-Deoxyadenosine,Astrocyte-Immature,15,0.06092181191933548,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,R-HSA-1222556;R-HSA-425397;R-HSA-74217;R-HSA-74259;R-HSA-83936;R-HSA-8956319;R-HSA-8956321;R-HSA-9734207;R-HSA-9734735;R-HSA-9735804;WP4224;WP4792;WP5269,C00559,NA,high,12,0.6474615755099059,FALSE
TUBB2B,1.4883824717285177,7.313279453962506,7.458760162392534,4.4715913779626993e-7,0.001676457940405011,6.597862180979882,,Amide-Pos-000996,2'-Deoxyadenosine,Astrocyte-Immature,15,0.062336741624360065,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,R-HSA-1222556;R-HSA-425397;R-HSA-74217;R-HSA-74259;R-HSA-83936;R-HSA-8956319;R-HSA-8956321;R-HSA-9734207;R-HSA-9734735;R-HSA-9735804;WP4224;WP4792;WP5269,C00559,NA,high,15,0.3648104518381601,FALSE
CKB,1.3874700253097796,5.753136803353636,7.397680581503507,5.035013035815146e-7,0.001676457940405011,6.367554192684324,,Amide-Pos-000996,2'-Deoxyadenosine,Astrocyte-Immature,15,0.06574355239220275,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,R-HSA-1222556;R-HSA-425397;R-HSA-74217;R-HSA-74259;R-HSA-83936;R-HSA-8956319;R-HSA-8956321;R-HSA-9734207;R-HSA-9734735;R-HSA-9735804;WP4224;WP4792;WP5269,C00559,NA,high,14,0.7553318104517314,FALSE
MT3,1.879822825643884,4.668766785316384,7.1496199232557105,8.195237690039913e-7,0.0022739052843964076,5.742379711832937,,Amide-Pos-000996,2'-Deoxyadenosine,Astrocyte-Immature,15,0.08289153567696507,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,R-HSA-1222556;R-HSA-425397;R-HSA-74217;R-HSA-74259;R-HSA-83936;R-HSA-8956319;R-HSA-8956321;R-HSA-9734207;R-HSA-9734735;R-HSA-9735804;WP4224;WP4792;WP5269,C00559,NA,high,13,0.3753528833176022,FALSE
RPS6,1.4814502875533977,6.197402963566803,7.054582982158286,9.898561887095361e-7,0.002354160832805194,5.794088093535137,,Amide-Pos-000996,2'-Deoxyadenosine,Astrocyte-Immature,15,0.09075163832043337,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,R-HSA-1222556;R-HSA-425397;R-HSA-74217;R-HSA-74259;R-HSA-83936;R-HSA-8956319;R-HSA-8956321;R-HSA-9734207;R-HSA-9734735;R-HSA-9735804;WP4224;WP4792;WP5269,C00559,NA,high,15,0.42840643532620837,FALSE
