cell_type,n_associations,n_metabolites,n_genes
IN-MGE-SST,276,39,166
IN-CGE-Immature,229,40,117
EN-Non-IT-Immature,190,14,129
EN-L6b,143,27,107
OPC,109,76,45
IN-MGE-Immature,51,40,43
Astrocyte-Immature,45,27,42
EN-Newborn,38,33,38
EN-IT-Immature,25,18,25
EN-L6-IT,23,20,20
IPC-EN,5,4,5
