"Column","Mode","BinSize_sec","BinSize_min","RT_threshold","N_compounds","RT_range"
"Amide","Neg",10,0.166666666666667,1.70333333333333,1347,"0.62-21.83"
"Amide","Pos",10,0.166666666666667,2.64333333333333,1256,"0.57-21.97"
"C18","Neg",10,0.166666666666667,2.19666666666667,854,"0.78-21.98"
"C18","Pos",10,0.166666666666667,3.47666666666667,1743,"0.56-21.98"
"C8","Neg",10,0.166666666666667,2.75,2224,"0.51-15.31"
"C8","Pos",10,0.166666666666667,2.01333333333333,2956,"0.43-15.09"
