"Compound.ID","Name","Formula","Sample02","Sample03","Sample04","Sample06","Sample07","Sample13","Sample15","Sample17","Sample18","Sample21","Sample23","Sample24","Sample26","Sample31","Sample33","Sample37","Sample40","Sample41","Sample42","Sample43","Sample46","Sample47","Sample49","Sample50"
"C8-Pos-000300","(5R,8aS)-8-hydroxy-1-(hydroxymethyl)-5,8a-dimethyl-3a,4,5,5a,6,7,8,9-octahydroazuleno[6,5-b]furan-2-one","C15 H22 O4",NA,435495.951450677,626927.00494917,487774.41309628,NA,890903.673110058,744841.559348016,614604.295551141,543048.585028115,496652.7184854,NA,494264.219855362,NA,NA,NA,NA,NA,NA,NA,425361.78307547,NA,NA,NA,NA
"C8-Pos-000303","Adenosine","C10 H13 N5 O4",NA,NA,NA,NA,NA,NA,NA,4274965.58022753,39806.0570511272,6135436.70077126,3604559.31763096,6555660.63375879,10200994.4425976,3935575.60531128,NA,NA,NA,4294292.14152067,NA,4119860.95908062,NA,NA,NA,7668492.6969912
"C8-Pos-000311","7,9-Dihydroxy-3,6-dimethyl-10-methylidene-3,3a,4,5,6,7,8,9,11,11a-decahydrocyclodeca[b]furan-2-one","C15 H24 O4",123864.998453144,142403.268272032,149060.096923972,77741.7292877172,169456.71952853,NA,NA,8801.51030776108,188403.944364313,161334.315450367,150954.204863132,151136.232701562,184265.581516166,172867.818797124,17388.1993389808,148247.982861462,143038.696434249,149170.370633718,188998.606036555,180403.14659165,165242.046991104,187828.984481617,179445.334598593,140477.201840029
"C8-Pos-000312","7,9-Dihydroxy-3,6-dimethyl-10-methylenedecahydrocyclodeca[b]furan-2(3H)-one","C15 H24 O4",NA,NA,NA,NA,556253.518707345,NA,NA,397161.560423955,125723.932767046,NA,686968.958944678,685092.158251539,153376.815487278,NA,NA,625871.580933431,NA,493673.617651303,NA,379296.659938002,NA,447536.929448652,NA,592278.915158089
"C8-Pos-000324","Chloroprocaine","C13 H19 Cl N2 O2",227693.212865902,12220.0396476156,NA,NA,NA,NA,NA,19283742.9881536,NA,10687804.9513746,NA,NA,NA,19462391.5292832,24386814.8996308,NA,NA,339197.316238176,NA,NA,NA,217478.359578424,NA,NA
"C8-Pos-000327","Methyl palmitate","C17 H34 O2",20404663.9940027,21409739.8627152,22051630.2158145,19496635.4726167,20583146.1505194,21036794.7245981,22298873.5113944,20277329.3616283,21369792.1497548,21510380.5727839,19086459.6290998,19621811.0345964,19793248.0848377,19969147.0319171,22071451.4348155,21401871.6671362,21532202.6227613,22008770.7804304,17350451.9508787,22604367.4588165,21848743.9724548,20831169.4290889,22147451.5632052,22595298.7709564
"C8-Pos-000335","Galaxolidone","C18 H24 O2",544382.02795575,498421.74146711,487123.065002101,612341.407278969,644447.758799698,621582.814653739,572968.372075388,480559.917702402,593438.200401057,497996.35348935,546615.78295679,689386.703262518,663564.934720115,674507.423204574,630144.162738955,636319.042413449,1109290.02911232,718104.97764257,680872.531865574,627298.119684008,578842.224659034,609108.912203771,553182.522974367,555786.242919465
"C8-Pos-000337","Geranyllinalool","C20 H34 O",232927.591169844,493051.842449221,341540.600756463,475192.183859288,701489.331705704,537285.603203041,222345.623714807,189181.172572177,418971.427019353,418323.255765747,413344.164445304,604899.87139639,911288.181388791,770563.604686548,481174.806106947,691820.227898022,1683027.50853855,714904.152324497,544900.063852942,910493.366105579,644322.385395031,262379.685795818,680883.530185323,438372.743414654
"C8-Pos-000342","Palmitic acid","C16 H32 O2",12969537.6054646,13412004.2307446,15044303.0735198,13725462.409141,15406997.6978385,12418983.8136976,13171842.140593,11595312.0071961,12926139.0814175,11714114.1973664,12228927.6086259,13293133.1387611,11071472.9024836,12394683.3280036,13705711.1079933,12381844.1272966,9158123.42483632,9420940.91830588,7488822.2631262,8106555.49056202,9917764.11337099,9312572.62436467,9126512.79352961,9531864.20065289
"C8-Pos-000350","Citroflex 2","C12 H20 O7",433799.298754189,185259.051585981,1320811.04075108,742181.635892219,737093.181136132,752479.769108147,925487.296653018,808140.026642049,723619.955671018,736129.488005436,769004.208426663,936441.453850814,848573.924436499,816763.360774494,1077042.9827895,886816.577652782,583094.579301427,892701.053445255,796430.333107362,739662.528638649,691255.488055868,694832.838069112,881999.720554443,947633.294156356
"C8-Pos-000356","Terbucarb","C17 H27 N O2",176000.36747204,122948.249635762,163106.825390236,110154.07814996,153612.61604589,107125.031116637,150316.661961019,120704.482495723,129559.828371868,97187.7975001404,96631.7012498814,119972.555342926,155119.908764628,90109.4333802898,147204.041148949,146442.411627027,167735.530599706,144182.312677086,101316.199782443,153954.230650899,102679.880561617,133575.283074261,157756.951174144,168983.062830455
"C8-Pos-000361","FJGPZLIEQBFBHO-UHFFFAOYSA-N","C15 H18 O5",33572.0936019586,36416.5020335833,37422.6742455483,33262.6540642061,42718.3222332658,36334.8936102162,27550.0483378507,33399.6327541339,36977.3079930742,31272.5375527549,31873.7287880848,45089.0713116066,27373.1783287599,36876.6893190559,44724.3254891996,32179.3115305475,37083.652743216,34847.1291653841,32338.1274113148,40418.4179301789,35732.7742564105,34767.2312111556,33247.7438790693,29765.171261101
"C8-Pos-000362","Mono(2-ethylhexyl) phthalate (MEHP)","C16 H22 O4",17755218.4824989,18408111.3433922,20306571.5513857,18328430.364627,19401513.8493973,17913961.4911854,18784503.4555847,16478069.542019,17601802.0192323,17531939.3373852,17738338.3129509,18971320.5056705,18851490.8845002,18400480.3324034,18778489.5784523,17604889.8644763,19331719.3903417,18282945.5600217,16882403.5237299,18792009.1028567,17496021.3843348,16537287.4858334,17134871.6521824,18033214.3846566
"C8-Pos-000365","Clomazone","C12 H14 Cl N O2",4846.89588449573,8326.19662150815,5719.91704505063,15547.8051743178,97829.8103958946,4672.93577017174,3723.59202273945,NA,20913.7122056428,60706.0000982809,17132.1124543075,NA,27592.7437648904,11976.9610772124,NA,NA,NA,NA,NA,NA,NA,3704.55630514481,NA,NA
"C8-Pos-000382","D-Sphingosine","C18 H37 N O2",841379.800896105,1025693.31697869,1060882.45737917,644444.371506261,798457.823488483,757549.82409793,809086.73841058,798321.249069993,721466.443106415,543622.126107979,691062.966379615,773730.141204458,552517.742831274,658149.940586368,925915.416584169,709124.901203975,538326.880739768,833484.044093352,630219.237004952,383696.566767182,706749.817927723,527587.387156258,543294.622466694,555347.154394077
"C8-Pos-000383","Palmitoyl ethanolamide","C18 H37 N O2",NA,NA,NA,NA,NA,NA,NA,421180.442551952,NA,NA,288261.70087854,355240.246057327,NA,384414.771543745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C8-Pos-000389","PEG n6","C12 H26 O7",1530940.93868394,2484777.53642313,1707925.63086174,1146989.4388895,2700549.24830646,2030779.35747627,1137213.78029912,2422171.98599885,1335605.26534924,2716629.8507513,1815116.36661925,1685952.49708968,1795177.48267742,1259596.75099456,2104227.72411592,1371025.29820684,1450071.52396201,1356538.6634867,1296904.5498651,1651706.38515259,1242120.66003324,1396553.3531598,2346425.38508743,1806478.13247986
"C8-Pos-000390","FDVLITONPQSTKU-UHFFFAOYSA-N","C16 H28 O5",223249.593238358,290704.356509232,461545.598029081,334837.574825108,289409.891133069,245144.079093729,473129.832677832,317554.932223379,590022.713855454,293698.326457286,330261.247131191,319152.009499163,333923.7642557,344012.194047455,539666.357254814,NA,317339.290801034,604565.090322879,NA,514350.008493502,193031.130657232,497016.204981121,530646.117043253,399183.785043927
"C8-Pos-000391","Ethyl palmitoleate","C18 H34 O2",4066126.43582375,3804968.47285242,3127832.50922846,3685519.80980236,2853273.33463878,4089337.11372118,4001080.61835127,4735151.44625309,3851939.07860457,3342636.69951173,3677625.464609,3425460.67487162,2715285.09478283,2802891.9898719,3809855.28937374,4585326.19148278,3129778.69401531,3493391.6551435,2473618.48227285,4228883.05882501,4106360.35835054,3615617.76285479,3996700.41178112,3502013.56834503
"C8-Pos-000401","2-Hexenyl-beta-glucopyranoside","C12 H22 O6",52724.8832037173,79543.9935085955,58428.3289939447,139787.066498565,50253.1956852212,94581.8370403011,102168.803322514,62771.3499043921,72046.0679494832,75359.1662099547,12245.7420795675,46013.8224470271,76242.9746894629,32130.5305555459,26529.7875971429,65783.9364635324,74942.3417510654,35648.8052380909,68658.8227941142,69279.5567217118,58976.0228883382,86960.8116615341,104408.139531429,45673.6535151585
"C8-Pos-000407","Glycerol monomyristate","C17 H34 O4",193178139.086393,198136310.965196,195860563.262861,204550025.783309,189624213.913375,197843919.577235,197290369.905748,190461966.057287,195626902.15806,203426613.270954,153606397.451585,153760448.846805,191725444.592867,159958429.394115,179337383.138438,193519819.252075,193611269.458098,183654128.654567,144620192.569005,202497816.654375,193244627.547038,195428421.293975,193808646.568206,194941577.794631
"C8-Pos-000411","Stearic acid","C18 H36 O2",1473984.81644747,3782220.75829151,3400794.81616868,2804481.35779449,3488012.16295573,3447737.82184519,3394109.88864595,2992397.9593402,3737054.22563348,4112401.34196259,4223247.02246161,4536566.91306863,3218187.03983282,4337214.05028869,3385202.78795276,3610389.60211545,3640982.66247498,4485821.40580321,3792080.97235297,4072036.89656195,4874168.46161426,3597677.98944322,4514190.06469921,4061326.1650675
"C8-Pos-000412","Stearic acid","C18 H36 O2",460076.771279669,460928.483380972,459887.067829794,341880.298316765,430366.650759317,411575.600450929,421881.387654332,345841.071899294,327801.591942731,441369.667931098,395903.287623917,464562.182379446,392396.472126456,398735.472642056,409667.4701326,432164.60915831,385658.967615515,469593.206799981,303528.431262958,410483.001003019,456409.460710561,436231.234088201,470667.039565548,450549.461103253
"C8-Pos-000414","Piperine","C17 H19 N O3",866529.743211736,6655351.70762733,2667873.45631257,4112361.25931843,164153.904986456,2933468.93661772,4173535.05297922,4818357.75079031,480838.407136715,1605486.93807056,1150453.1477118,7339502.99463253,244448.824042009,1303379.77170073,966173.363557511,494072.134443417,3621971.39546743,532618.98060067,2952211.5592367,3252831.05241976,874844.669345467,2978436.27067696,4448896.40628866,2887089.35686822
"C8-Pos-000418","2-(7,8-Dihydroxy-4a,8-dimethyl-1,2,3,4,5,6,7,8a-octahydronaphthalen-2-yl)prop-2-enoic acid","C15 H24 O4",98172.097920913,434673.126431002,260661.169860739,57298.2709037559,157181.57925908,143453.022096197,127461.441993604,88769.6825017039,120913.804625713,53769.7855152364,53021.1194111062,224095.116658545,69611.2485519522,54001.3707219442,148802.985389199,164657.26347555,64679.8540134523,120595.847655955,155119.409108219,93487.4291870882,68821.4100886629,75078.7328543199,80985.3179959324,229920.811643725
"C8-Pos-000421","11-Oxoetiocholanolone","C19 H28 O3",319482.431784063,437595.74231048,308868.787038232,249354.611385849,438333.828220135,256635.390743012,406217.799915311,373387.38636229,367400.896385038,410635.547528569,402227.555798673,403871.428681382,396708.413954532,393657.319803501,328982.515328152,357181.602091325,537806.683571922,271000.036640503,366696.776805368,364290.026001993,378449.8691524,33174.1593291445,368003.529011321,163465.333479217
"C8-Pos-000422","Arachidonic acid","C20 H32 O2",429902.161345839,1153600.64340579,545615.049370828,NA,936589.253998222,503671.601974699,1222733.90814411,385115.737174567,1013974.08406549,655418.590228257,639938.768729263,1113740.22495932,256207.873302162,600475.464962149,465520.85389749,453793.750024874,642132.46563247,547419.003988701,3442928.33200976,482703.358751655,706384.240287018,802318.005770896,1097585.50723326,714970.97134015
"C8-Pos-000423","Pimara-8(14),15-diene-3,7-diol","C20 H32 O2",NA,22603.0275121884,NA,NA,NA,NA,NA,NA,NA,NA,NA,53687.5662359098,NA,NA,13980.946243214,NA,NA,NA,29292.6511160589,NA,NA,NA,15718.2294869901,NA
"C8-Pos-000424","Arachidonic acid","C20 H32 O2",556901.664660708,1138829.27281961,935826.219229472,1030842.54294957,1300866.25091755,500960.603327121,1572569.49951407,1205536.82841902,1308721.02386957,1260336.3415811,1567444.75860717,806508.511238518,1476860.35512178,992709.273122961,1106782.99842193,2281706.98224303,1491572.17748898,1252539.0872248,2228150.89363041,1721412.73613107,1367274.62892799,1921765.82240187,2367433.24853197,2313219.56137495
"C8-Pos-000427","Basic Red 9","C19 H17 N3",128830.590781052,15800.5582458302,212046.506272309,NA,151819.121176929,7222.03776605468,64398.4818298269,199287.010023956,107121.055698421,NA,29420.1901859202,25955.2393607834,93795.4037190998,NA,NA,311839.590578647,266152.728205765,615948.652997026,14481.3690573796,NA,NA,NA,26383.8479326228,111901.699868574
"C8-Pos-000431","Ritodrine","C17 H21 N O3",8468.87309963535,18459.8592700139,NA,7314.59834160868,NA,6410.73357580318,9263.09444208498,6589.41939283936,5760.81489138577,23143.9126875127,12268.2264491996,11522.4027174257,NA,15802.2385971769,11547.3433495469,5905.2490481343,17931.74808079,10416.1294381298,NA,16507.6032282273,6775.29553372067,16483.6732189636,4198.10805742973,7248.26100217201
"C8-Pos-000433","Methyl palmitate","C17 H34 O2",531206.389846289,193287.040699624,199689.633617337,171968.257328985,481097.929325394,388748.740205667,628501.229957444,182660.583609015,144822.685515106,97440.910614974,191958.144081417,167341.209026093,185625.111284317,266395.960972101,6979420.2476579,236207.12842515,246123.613926082,395114.441384888,145909.547519296,273250.738472134,169862.047038915,172235.368385126,181346.092319016,271405.921223411
"C8-Pos-000435","Morphine D3","C17 H16 D3 N O3",153781.911389938,273573.064141637,287960.843122469,466930.557765148,294128.0137828,280839.734340042,373361.717481515,129051.536366659,60481.5635270481,183177.522728167,509437.229832013,132837.555188652,144159.772750985,306157.632666916,46779.4108631689,71693.8005396593,61104.5283086047,85075.601127014,44899.8433034408,270543.289141023,64010.9110574474,88555.2537474616,99397.6954995073,140076.426951683
"C8-Pos-000436","all-trans-13,14-Dihydroretinol","C20 H32 O",NA,18712.67014745,67497.8668003756,28691.3540021007,104995.223854248,156384.974368957,35954.9953562822,31282.9928614295,24291.8968716959,42355.3031422915,35466.6057949503,124788.848079556,143342.508092956,46980.2219227331,11261.8870212679,81003.3354759037,132041.325009891,89263.8656752534,61506.2654460371,88476.8371345728,18660.9933450462,40100.8878198474,111049.568672445,35062.112238291
