"Model","R_squared","Adj_R_squared","P_value","AIC"
"E2 Combined - Linear",0.022214023876545,-0.00654438718590944,0.385633916623421,88.8707480319184
"E2 Combined - Polynomial",0.0930206409451449,0.0380521949418203,0.199690386910052,88.1645878814029
