truncated_label,full_label
N-Acetylaspartic ...,N-Acetylaspartic Acid
N-Methylglutamic ...,N-Methylglutamic Acid
L-Γ-Glutamyl-L-Gl...,L-Γ-Glutamyl-L-Glutamic Acid
Cyclic Adenosine ...,Cyclic Adenosine Diphosphate Ribose
Glycerophosphocho...,Glycerophosphocholine
Adenosine 5'-Mono...,Adenosine 5'-Monophosphate
Adenosine Diphosp...,Adenosine Diphosphate (Adp)
Adenosine Triphos...,Adenosine Triphosphate (Atp)
N-Acetyl-1-Aspart...,N-Acetyl-1-Aspartylglutamic Acid
Acetyl-Β-Methylch...,Acetyl-Β-Methylcholine
Cytidine 5'-Dipho...,Cytidine 5'-Diphosphocholine
Spectral Match To...,Spectral Match To 1-Myristoyl-Sn-Glycero-3-Phosphocholine From Nist14
Υ-L-Glutamyl-L-Gl...,Υ-L-Glutamyl-L-Glutamic Acid
N-Oleoyl-D-Erythr...,N-Oleoyl-D-Erythro-Sphingosylphosphorylcholine
N-Acetyl-Dl-Gluta...,N-Acetyl-Dl-Glutamic Acid
N-Acetyl-Dl-Aspar...,N-Acetyl-Dl-Aspartic Acid
N6-Succinyladenos...,N6-Succinyladenosine; Lc-Tdda; Ce10
1-Myristoyl-Sn-Gl...,1-Myristoyl-Sn-Glycero-3-Phosphocholine
5'-S-Methyl-5'-Th...,5'-S-Methyl-5'-Thioadenosine
N6-Threonylcarbam...,N6-Threonylcarbamoyladenosine
"1-(5z,8z,11z,14z-...","1-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine"
L-Tyrosine Methyl...,L-Tyrosine Methyl Ester
Spectral Match To...,Spectral Match To 1-(9z-Octadecenoyl)-2-Tetradecanoyl-Sn-Glycero-3-Phosphocholine From Nist14
2-Oleoyl-1-Palmit...,2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine
"1,2-Dipalmitoleoy...","1,2-Dipalmitoleoyl-Sn-Glycero-3-Phosphocholine"
1-Palmitoyl-Sn-Gl...,1-Palmitoyl-Sn-Glycero-3-Phosphocholine
"1,2-Dipentadecano...","1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine"
