gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,dropped_covariates,Compound.ID,Name,cell_type,n_samples,FDR_global,Super.Class,Class,Sub.Class,Pathways,KEGG,Exogenous_Flag,Annotation_Confidence,n_imputed,n_observed,too_few_observed,slope_full,p_full,slope_noimpute,p_noimpute,direction_same,sig_noimpute,imputation_sensitive
PDE7B,2.1614773152892526,3.5392811849005734,6.424028776888441,3.583667094013136e-6,0.009234123581331691,4.286025279552111,,Amide-Neg-000015,Glycolic Acid,IN-MGE-SST,12,0.06752799647586057,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,12,FALSE,1.2887587662569577,0.020255752010212298,1.2887587662569577,0.020255752010212298,TRUE,TRUE,FALSE
ADRA1A,2.1420458296826004,3.383945676503592,6.9531073280767774,1.2167040505431804e-6,0.00471290313977901,5.091898848341228,,Amide-Neg-000015,Glycolic Acid,IN-MGE-SST,12,0.034175067638650324,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,12,FALSE,1.4271498985868731,0.01378673167675086,1.4271498985868731,0.01378673167675086,TRUE,TRUE,FALSE
PRSS23,1.7059228651109732,4.190218588811683,6.374905905261337,3.9692232668752116e-6,0.009234123581331691,4.2390345532570946,,Amide-Neg-000015,Glycolic Acid,IN-MGE-SST,12,0.07152886578300498,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,12,FALSE,1.1363346682301414,0.01459836148172827,1.1363346682301414,0.01459836148172827,TRUE,TRUE,FALSE
HS3ST4,2.218131703234901,4.5042339899476245,7.0259311249969505,1.0516936921630392e-6,0.00471290313977901,5.467951482510158,,Amide-Neg-000015,Glycolic Acid,IN-MGE-SST,12,0.031070338103654706,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,12,FALSE,1.2891665667875183,0.028189379640179986,1.2891665667875183,0.028189379640179986,TRUE,TRUE,FALSE
IL1RAPL2,1.6888306483496816,5.2325398019586995,7.098286048782407,9.10561650542921e-7,0.00471290313977901,5.763540783328052,,Amide-Neg-000015,Glycolic Acid,IN-MGE-SST,12,0.0280808512046986,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,12,FALSE,1.3616584973540153,0.0013001424299770269,1.3616584973540153,0.0013001424299770269,TRUE,TRUE,FALSE
HS3ST5,2.0121409902003973,4.745900837786178,6.414112679314718,8.392146164740257e-7,0.01115064460909038,3.422654592682947,,Amide-Neg-000015,Glycolic Acid,OPC,10,0.02654262042182444,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,10,FALSE,1.3635493305617357,0.010051657521645127,1.3635493305617357,0.010051657521645127,TRUE,TRUE,FALSE
CST3,-1.177126206080148,6.262639463943273,-5.772446686527636,4.378311787726781e-6,0.02908731436176287,3.407669412737377,,Amide-Neg-000015,Glycolic Acid,OPC,10,0.076056371194129,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,10,FALSE,-0.8159975702263692,7.649619701719844e-4,-0.8159975702263692,7.649619701719844e-4,TRUE,TRUE,FALSE
KCNIP4,0.6174707621330022,9.941924612464618,8.290194506913151,1.684338552365651e-6,0.0350999310927478,-0.07785032093487843,,Amide-Neg-000011,Glycine,EN-Non-IT-Immature,10,0.04201728882896425,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",map00120;map00250;map00270;map00330;map00480;map00860;map00910;R-HSA-156587;R-HSA-156590;R-HSA-159418;R-HSA-159424;R-HSA-174403;R-HSA-177128;R-HSA-177135;R-HSA-189445;R-HSA-189451;R-HSA-192105;R-HSA-193368;R-HSA-194068;R-HSA-196757;R-HSA-2142691;R-HSA-2408508;R-HSA-2682334;R-HSA-352230;R-HSA-379716;R-HSA-379724;R-HSA-379726;R-HSA-389661;R-HSA-3928662;R-HSA-428559;R-HSA-438064;R-HSA-438066;R-HSA-442660;R-HSA-442742;R-HSA-442755;R-HSA-442982;R-HSA-5423646;R-HSA-5579006;R-HSA-5579029;R-HSA-5619041;R-HSA-5619044;R-HSA-5619089;R-HSA-5619094;R-HSA-5659735;R-HSA-6783984;R-HSA-6794362;R-HSA-6798163;R-HSA-71262;R-HSA-71288;R-HSA-73817;R-HSA-8849175;R-HSA-8849932;R-HSA-8955332;R-HSA-8956320;R-HSA-9018677;R-HSA-9026395;R-HSA-9026762;R-HSA-9026766;R-HSA-9617324;R-HSA-9620244;R-HSA-9664535;R-HSA-9749641;R-HSA-9753281;WP100;WP1495;WP176;WP241;WP2525;WP3584;WP3996;WP4259;WP4290;WP4292;WP4504;WP4518;WP4688;WP4917;WP5028;WP5029;WP5166;WP5169;WP5190;WP521;WP5312;WP561;WP715,C00037;C22407,NA,high,0,10,FALSE,0.4362536214149929,2.664358503752666e-4,0.4362536214149929,2.664358503752666e-4,TRUE,TRUE,FALSE
ANO2,-1.297847555568944,1.9153920041089874,-6.914708886723993,2.8229676056293536e-6,0.06930950065341189,0.9246493144339389,,Amide-Neg-000051,Dl-Lactic Acid,EN-IT-Immature,17,0.058339479452278874,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,WP1946;WP4141;WP4206;WP4236;WP4917;WP5046;WP5049;WP5092;WP5216;WP5220;WP5313;WP5314;WP5356,C01432,NA,high,6,11,FALSE,-0.7561237045238882,9.653067135130007e-5,2.5673178523074243,0.6215949937335807,FALSE,FALSE,TRUE
ENSG00000289349,-1.063209721438331,1.839390638961082,-5.50274972354524,6.152853464099958e-6,0.07343086899399054,2.596954311234944,,Amide-Neg-000032,Pyruvic Acid,IN-MGE-Immature,15,0.09321133106845589,Organic acids and derivatives,Keto acids and derivatives,Alpha-keto acids and derivatives,map00020;map00250;map00270;map00330;map00520;map00620;map00910;R-HSA-1614558;R-HSA-1614635;R-HSA-196807;R-HSA-197264;R-HSA-204174;R-HSA-2408508;R-HSA-389661;R-HSA-4085001;R-HSA-427601;R-HSA-428643;R-HSA-433692;R-HSA-446219;R-HSA-5362517;R-HSA-5619070;R-HSA-6782315;R-HSA-6782861;R-HSA-70171;R-HSA-70263;R-HSA-70268;R-HSA-70326;R-HSA-71240;R-HSA-73621;R-HSA-8956319;R-HSA-8963691;R-HSA-8964208;R-HSA-8964539;R-HSA-8964540;R-HSA-9749641;R-HSA-977347;R-HSA-9861559;R-HSA-9861718;WP106;WP1495;WP1584;WP1946;WP2333;WP2453;WP2456;WP2868;WP357;WP3580;WP3602;WP3644;WP3965;WP4141;WP4206;WP4236;WP4290;WP4297;WP4504;WP4595;WP4628;WP4629;WP4661;WP4688;WP4742;WP5030;WP5031;WP5046;WP5049;WP5050;WP5166;WP5178;WP5211;WP5213;WP5216;WP5220;WP528;WP5312;WP5314;WP534;WP5433;WP661,C00022,NA,high,1,14,FALSE,-0.793743583765547,0.005907840131945977,2.531659842307641,0.4645193792921052,FALSE,FALSE,TRUE
