Name,Compound.ID,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Direction,Name_display
Glycine,Amide-Neg-000011,85,0.47048642205878966,18.422342349076295,18.22467983348013,-0.01556303783646986,0.9479144910424683,1,FALSE,FALSE,Higher in Females,Glycine
Histamine,Amide-Neg-000145,80,0.6650055421020291,18.348039696657565,18.21299974064921,-0.010657375380912321,0.9479144910424683,1,FALSE,FALSE,Higher in Females,Histamine
N-Acetylglycine,Amide-Neg-000219,69,0.8852339144732017,22.639865527217406,22.67675077316234,0.0023485501567718937,0.9479144910424683,1,FALSE,FALSE,Higher in Males,N-Acetylglycine
Dl-Pyroglutamic Acid,Amide-Neg-000291,77,0.7950121719642382,29.669258774009858,29.697202719322966,0.0013581605940249238,0.9479144910424683,1,FALSE,FALSE,Higher in Males,Dl-Pyroglutamic Acid
L-Glutamine,Amide-Neg-000486,20,0.135833368168355,22.213971674862908,22.628372584469183,0.026665472876649516,0.9473454830817746,1,FALSE,FALSE,Higher in Males,L-Glutamine
N-Acetyl-L-Aspartic Acid,Amide-Neg-000557,74,0.9309874465595671,19.770509509883585,19.84395397114483,0.005349464419454989,0.9479144910424683,1,FALSE,FALSE,Higher in Males,N-Acetyl-L-Aspart...
D-Tyrosine,Amide-Neg-000781,70,0.1286431389530742,21.5597119085098,20.695778228693385,-0.05900140059503862,0.9473454830817746,1,FALSE,FALSE,Higher in Females,D-Tyrosine
Adenosine Triphosphate (Atp),Amide-Neg-001422,30,0.6605492052016729,22.40978530776719,22.504386333003573,0.006077397258407929,0.9479144910424683,1,FALSE,FALSE,Higher in Males,Adenosine Triphos...
Choline,Amide-Pos-000097,87,0.40250382378200356,24.494425954484996,24.29623018540842,-0.01172099941144596,0.9479144910424683,1,FALSE,FALSE,Higher in Females,Choline
L-Pyroglutamic Acid,Amide-Pos-000317,54,0.3123214216762162,20.137308424465015,20.12635731597961,-7.847825081580929e-4,0.9473454830817746,1,FALSE,FALSE,Higher in Females,L-Pyroglutamic Acid
L-Glutamic Acid,Amide-Pos-000319,39,0.06121463495460201,20.249763787034954,18.444510808795805,-0.13471355317381212,0.9473454830817746,1,FALSE,FALSE,Higher in Females,L-Glutamic Acid
Acetylcholine,Amide-Pos-000467,74,0.9309874465595671,25.229440055833606,25.10879990895161,-0.006915111652017038,0.9479144910424683,1,FALSE,FALSE,Higher in Females,Acetylcholine
Dl-Glutamine,Amide-Pos-000475,88,0.3708443333042211,21.05683902624867,20.847370494022552,-0.014423454503823823,0.9473454830817746,1,FALSE,FALSE,Higher in Females,Dl-Glutamine
Acetyl-Β-Methylcholine,Amide-Pos-000561,44,0.11235119769046396,16.941233685506223,17.198319814196488,0.02172869039314646,0.9473454830817746,1,FALSE,FALSE,Higher in Males,Acetyl-Β-Methylch...
5-Methyl D-Glutamate,Amide-Pos-000563,97,0.1572127533400039,29.328045403452084,29.18150776728374,-0.007226497266654972,0.9473454830817746,1,FALSE,FALSE,Higher in Females,5-Methyl D-Glutamate
D-Phenylalanine,Amide-Pos-000583,88,0.3708443333042211,28.748469144397376,28.591141148134433,-0.00791693171388755,0.9473454830817746,1,FALSE,FALSE,Higher in Females,D-Phenylalanine
