Name,Covariance,Correlation,Compound.ID,Sub.Class,Class,Reliable,Name_display
N6-Succinyladenosine; Lc-Tdda; Ce10,2.8581373419576535,0.16838986928893868,C18-Pos-000163,NA,Purine nucleosides,FALSE,N6-Succinyladenos...
1-Myristoyl-Sn-Glycero-3-Phosphocholine,0.029479984421850774,0.026356071959746652,C18-Pos-000213,Glycerophosphocholines,Glycerophospholipids,FALSE,1-Myristoyl-Sn-Gl...
5'-S-Methyl-5'-Thioadenosine,-0.04526928426103208,-0.0294224890503391,C18-Pos-000233,5'-deoxy-5'-thionucleosides,5'-deoxyribonucleosides,FALSE,5'-S-Methyl-5'-Th...
N6-Threonylcarbamoyladenosine,1.1145737671855722,0.1570523748511662,C18-Pos-000253,NA,Purine nucleosides,FALSE,N6-Threonylcarbam...
"1-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",-1.4689017558372812,-0.25031616335873846,C18-Pos-000265,Glycerophosphocholines,Glycerophospholipids,FALSE,"1-(5z,8z,11z,14z-..."
L-Tyrosine Methyl Ester,-0.4728866546250567,-0.29615190616096365,C18-Pos-000300,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,FALSE,L-Tyrosine Methyl...
Spectral Match To 1-(9z-Octadecenoyl)-2-Tetradecanoyl-Sn-Glycero-3-Phosphocholine From Nist14,-0.07135028125520194,-0.046774929896037744,C8-Pos-000002,Glycerophosphocholines,Glycerophospholipids,FALSE,Spectral Match To...
2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine,-0.35241964802648257,-0.3311694566679652,C8-Pos-000004,Glycerophosphocholines,Glycerophospholipids,FALSE,2-Oleoyl-1-Palmit...
"1,2-Dipalmitoleoyl-Sn-Glycero-3-Phosphocholine",4.649695559071321,0.2621862062665091,C8-Pos-000008,Glycerophosphocholines,Glycerophospholipids,FALSE,"1,2-Dipalmitoleoy..."
1-Palmitoyl-Sn-Glycero-3-Phosphocholine,-1.5286743926181583,-0.11955412167288527,C8-Pos-000009,Glycerophosphocholines,Glycerophospholipids,FALSE,1-Palmitoyl-Sn-Gl...
"1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine",0.27621744636009005,0.18361769258466504,C8-Pos-000010,Glycerophosphocholines,Glycerophospholipids,FALSE,"1,2-Dipentadecano..."
1-Palmitoyl-2-Linoleoyl-Sn-Glycero-3-Phosphocholine,0.6336776503034862,0.06013253107528381,C8-Pos-000011,Glycerophosphocholines,Glycerophospholipids,FALSE,1-Palmitoyl-2-Lin...
"1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",0.0066945288382242035,0.036665927612274954,C8-Pos-000012,Glycerophosphocholines,Glycerophospholipids,FALSE,1-Hexadecanoyl-2-...
"1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine",-0.05391022642788023,-0.16064676426899913,C8-Pos-000014,Glycerophosphocholines,Glycerophospholipids,FALSE,"1,2-Dioleoyl-Sn-G..."
Dl-Dipalmitoylphosphatidylcholine,-9.288645249425514,-0.517100762415866,C8-Pos-000018,Glycerophosphocholines,Glycerophospholipids,TRUE,Dl-Dipalmitoylpho...
