Name,VIP_comp1,Compound.ID,Sub.Class,Class,Name_display
"Spectral Match To 1,2-Dilinoleoyl-Sn-Glycero-3-Phosphocholine From Nist14",1.9792395777174971,C8-Pos-000266,Glycerophosphocholines,Glycerophospholipids,Spectral Match To...
N-Acetyl-Dl-Aspartic Acid,1.9655785916353652,C18-Neg-000104,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-Dl-Aspar...
Spectral Match To 1-Myristoyl-Sn-Glycero-3-Phosphocholine From Nist14,1.9482051970518406,Amide-Pos-000483,Glycerophosphocholines,Glycerophospholipids,Spectral Match To...
1-O-Octadecyl-Sn-Glyceryl-3-Phosphorylcholine,1.7806811814668786,C8-Pos-000614,Glycerophosphocholines,Glycerophospholipids,1-O-Octadecyl-Sn-...
1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine,1.6479847972448258,C8-Pos-000263,Glycerophosphocholines,Glycerophospholipids,1-Linoleoyl-Sn-Gl...
Dl-Dipalmitoylphosphatidylcholine,1.541777632024605,C8-Pos-000018,Glycerophosphocholines,Glycerophospholipids,Dl-Dipalmitoylpho...
L-Aspartic Acid,1.4738709958833442,Amide-Neg-000085,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Aspartic Acid
Phosphocholine,1.4233894393518316,Amide-Pos-000023,Quaternary ammonium salts,Organonitrogen compounds,Phosphocholine
N-Methylglutamic Acid,1.3966190822565503,Amide-Neg-000401,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Methylglutamic ...
Acetyl-Β-Methylcholine,1.3462255125470493,Amide-Pos-000176,Quaternary ammonium salts,Organonitrogen compounds,Acetyl-Β-Methylch...
Acetylcholine,1.3420668422950377,Amide-Pos-000059,Quaternary ammonium salts,Organonitrogen compounds,Acetylcholine
"1,2-Di-(9z-Tetradecenoyl)-Sn-Glycero-3-Phosphocholine",1.2653113784547092,C8-Pos-000598,Glycerophosphocholines,Glycerophospholipids,"1,2-Di-(9z-Tetrad..."
1-Oleoyl-Sn-Glycero-3-Phosphocholine,1.2288057678601823,C8-Pos-000038,Glycerophosphocholines,Glycerophospholipids,1-Oleoyl-Sn-Glyce...
"Spectral Match To 1-Heptadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine From Nist14",1.2079626005181812,C8-Pos-000308,Glycerophosphocholines,Glycerophospholipids,Spectral Match To...
"1,2-Di-(9z,12z,15z-Octadecatrienoyl)-Sn-Glycero-3-Phosphocholine",1.1858927939740465,C8-Pos-000059,Glycerophosphocholines,Glycerophospholipids,"1,2-Di-(9z,12z,15..."
"1,2-Diarachidonoyl-Sn-Glycero-3-Phosphocholine",1.180642992865145,C8-Pos-000097,Glycerophosphocholines,Glycerophospholipids,"1,2-Diarachidonoy..."
N-Acetylglycine,1.1462566345731184,Amide-Neg-000212,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetylglycine
"1,2-Didecanoyl-Sn-Glycero-3-Phosphocholine",1.1324168723724248,C8-Pos-000565,Glycerophosphocholines,Glycerophospholipids,"1,2-Didecanoyl-Sn..."
"1-(1z-Octadecenyl)-2-(4z,7z,10z,13z,16z,19z-Docosahexaenoyl)-Sn-Glycero-3-Phosphocholine",1.1103830045919572,C8-Pos-000191,Glycerophosphocholines,Glycerophospholipids,1-(1z-Octadecenyl...
1-Pentadecanoyl-Sn-Glycero-3-Phosphocholine,1.0853377653107859,C8-Pos-000534,Glycerophosphocholines,Glycerophospholipids,1-Pentadecanoyl-S...
2-(5-Oxovaleryl)Phosphatidylcholine,1.080418873460085,C8-Pos-000442,Glycerophosphocholines,Glycerophospholipids,2-(5-Oxovaleryl)P...
"1,2-Didocosahexaenoyl-Sn-Glycero-3-Phosphocholine",1.0796973994589623,C8-Pos-000322,Glycerophosphocholines,Glycerophospholipids,"1,2-Didocosahexae..."
1-Hexadecanoyl-2-(14-Pentadecenoyl)-Sn-Glycero-3-Phosphocholine,1.0736091699055101,C8-Pos-000133,Glycerophosphocholines,Glycerophospholipids,1-Hexadecanoyl-2-...
1-Stearoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,1.0567406525954075,C8-Pos-000046,Glycerophosphocholines,Glycerophospholipids,1-Stearoyl-2-Doco...
1-Palmitoyl-2-Azelaoylphosphatidylcholine,1.05401221651861,C8-Pos-000603,Glycerophosphocholines,Glycerophospholipids,1-Palmitoyl-2-Aze...
Cyclic Adenosine Diphosphate Ribose,1.048687065535801,Amide-Neg-000614,Carbohydrates and carbohydrate conjugates,Organooxygen compounds,Cyclic Adenosine ...
Υ-L-Glutamyl-L-Glutamic Acid,1.0183617701365488,Amide-Pos-000489,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Υ-L-Glutamyl-L-Gl...
2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine,1.000976570067767,C8-Pos-000004,Glycerophosphocholines,Glycerophospholipids,2-Oleoyl-1-Palmit...
1-Hexadecyl-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine,0.9858640240664687,C8-Pos-000053,Glycerophosphocholines,Glycerophospholipids,1-Hexadecyl-2-(9z...
N6-Succinyladenosine; Lc-Tdda; Ce10,0.9724683834392567,C18-Pos-000163,NA,Purine nucleosides,N6-Succinyladenos...
5-Methyl D-Glutamate,0.9628170797793916,Amide-Pos-000168,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,5-Methyl D-Glutamate
N-Lauroyl-D-Erythro-Sphingosylphosphorylcholine,0.9565635885648666,C8-Pos-000616,Sphingolipids,Lipids and lipid-like molecules,N-Lauroyl-D-Eryth...
2'-Deoxyadenosine,0.9554065317138168,Amide-Pos-000194,Purine 2'-deoxyribonucleosides,Purine nucleosides,2'-Deoxyadenosine
"1-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",0.9465513592903698,C18-Pos-000265,Glycerophosphocholines,Glycerophospholipids,"1-(5z,8z,11z,14z-..."
1-Hexadecyl-Sn-Glycero-3-Phosphocholine,0.9274970859486111,C8-Pos-000467,Glycerophosphocholines,Glycerophospholipids,1-Hexadecyl-Sn-Gl...
D-(+)-Tryptophan,0.9088566948244632,Amide-Neg-000507,Indolyl carboxylic acids and derivatives,Indoles and derivatives,D-(+)-Tryptophan
"1,2-Dipalmitoleoyl-Sn-Glycero-3-Phosphocholine",0.8921089717396277,C8-Pos-000008,Glycerophosphocholines,Glycerophospholipids,"1,2-Dipalmitoleoy..."
"1,2-Ditetradecanoyl-Sn-Glycero-3-Phosphocholine",0.8822895956889953,C8-Pos-000023,Glycerophosphocholines,Glycerophospholipids,"1,2-Ditetradecano..."
Adenosine 5'-Monophosphate,0.8807892381760597,Amide-Pos-000075,Purine ribonucleotides,Purine nucleotides,Adenosine 5'-Mono...
N-Acetyl-1-Aspartylglutamic Acid,0.8799898262979281,Amide-Pos-000163,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-1-Aspart...
N-Ethylglycine,0.8770637453606985,Amide-Neg-000343,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Ethylglycine
L-Glutamic Acid,0.8758600255043546,Amide-Pos-000054,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Glutamic Acid
Adenosine Diphosphate (Adp),0.8749694171414726,Amide-Pos-000111,Purine ribonucleotides,Purine nucleotides,Adenosine Diphosp...
N6-Threonylcarbamoyladenosine,0.8740237763766564,C18-Pos-000253,NA,Purine nucleosides,N6-Threonylcarbam...
"1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",0.8739431505542788,C8-Pos-000012,Glycerophosphocholines,Glycerophospholipids,1-Hexadecanoyl-2-...
N-Acetylaspartic Acid,0.8706633652454119,Amide-Neg-000009,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetylaspartic ...
Dl-Pyroglutamic Acid,0.869524472084446,Amide-Pos-000342,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Dl-Pyroglutamic Acid
Glycerophosphocholine,0.8497130284973939,Amide-Pos-000048,Glycerophospholipids,Lipids and lipid-like molecules,Glycerophosphocho...
Spectral Match To 1-Octadecanoyl-Sn-Glycero-3-Phosphocholine From Nist14,0.8312217628164338,C8-Pos-000042,Glycerophosphocholines,Glycerophospholipids,Spectral Match To...
Palmitoyleicosapentaenoyl Phosphatidylcholine,0.8133097910392697,C8-Pos-000020,Glycerophosphocholines,Glycerophospholipids,Palmitoyleicosape...
1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,0.7949378578712925,C8-Pos-000029,Glycerophosphocholines,Glycerophospholipids,1-Palmitoyl-2-Doc...
L-Tyrosine Methyl Ester,0.7836260160963182,C18-Pos-000300,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Tyrosine Methyl...
D-(-)-Glutamine,0.7585031417689856,Amide-Neg-000048,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,D-(-)-Glutamine
1-Myristoyl-Sn-Glycero-3-Phosphocholine,0.7582825896649102,C18-Pos-000213,Glycerophosphocholines,Glycerophospholipids,1-Myristoyl-Sn-Gl...
N6-Me-Adenosine,0.7523272111900206,Amide-Pos-000299,NA,Purine nucleosides,N6-Me-Adenosine
1-Palmitoyl-2-Stearoyl-Sn-Glycero-3-Phosphocholine,0.7443636745274069,C8-Pos-000083,Glycerophosphocholines,Glycerophospholipids,1-Palmitoyl-2-Ste...
N-Acetyl-L-Glutamine,0.7326055544126518,Amide-Neg-000605,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-L-Glutamine
Spectral Match To 1-(1z-Hexadecenyl)-Sn-Glycero-3-Phosphocholine From Nist14,0.7309022044722134,C8-Pos-000298,Glycerophosphocholines,Glycerophospholipids,Spectral Match To...
"1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine",0.679318021015127,C8-Pos-000010,Glycerophosphocholines,Glycerophospholipids,"1,2-Dipentadecano..."
1-Palmitoyl-2-Linoleoyl-Sn-Glycero-3-Phosphocholine,0.6698872771650006,C8-Pos-000011,Glycerophosphocholines,Glycerophospholipids,1-Palmitoyl-2-Lin...
5'-S-Methyl-5'-Thioadenosine,0.6596851166402952,C18-Pos-000233,5'-deoxy-5'-thionucleosides,5'-deoxyribonucleosides,5'-S-Methyl-5'-Th...
Adenosine,0.6474182553474276,Amide-Pos-000053,NA,Purine nucleosides,Adenosine
N-(Octadecanoyl)Sphing-4-Enine-1-Phosphocholine,0.6464449387427117,C8-Pos-000099,Sphingolipids,Lipids and lipid-like molecules,N-(Octadecanoyl)S...
N-Acetyl-Dl-Glutamic Acid,0.6399693906063608,C18-Neg-000066,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-Dl-Gluta...
1-Stearoyl-2-Arachidonyl-Sn-Glycero-3-Phosphocholine,0.6273646470597907,C8-Pos-000019,Glycerophosphocholines,Glycerophospholipids,1-Stearoyl-2-Arac...
Choline,0.6158896350552041,Amide-Pos-000001,Quaternary ammonium salts,Organonitrogen compounds,Choline
1-Octadecanoyl-2-Octadecenoyl-Sn-Glycero-3-Phosphocholine,0.6129861561546663,C8-Pos-000022,Glycerophosphocholines,Glycerophospholipids,1-Octadecanoyl-2-...
"1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine",0.6070892353469014,C8-Pos-000014,Glycerophosphocholines,Glycerophospholipids,"1,2-Dioleoyl-Sn-G..."
L-Γ-Glutamyl-L-Glutamic Acid,0.5918671868890937,Amide-Neg-000611,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Γ-Glutamyl-L-Gl...
