Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Sub.Class,Class,Direction,FDR_label
D-Tyrosine,-0.8639336798164167,21.084548384610773,-2.4143595495141112,0.025118360792056413,0.7229222987175534,-4.275018277293517,Amide-Neg-000781,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
Υ-L-Glutamyl-L-Glutamic Acid,-0.3576571050137136,19.392860292899933,-2.183385534028995,0.03872798028844036,0.7229222987175534,-4.285530279079028,Amide-Pos-001105,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
L-Glutamic Acid,-1.8052529782391513,19.21819065661258,-2.2785919463893323,0.03808516712056368,0.7229222987175534,-4.402542143989786,Amide-Pos-000319,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
Adenosine 5'-Diphosphate,-0.2730226835096086,24.958270341413854,-1.76445700605267,0.09002308572890877,0.9189577950801435,-4.4165712145649865,Amide-Pos-001677,Purine ribonucleotides,Purine nucleotides,Higher in Females,
L-Glutamine,0.4144009096062777,22.4089838676188,1.7728743992614102,0.09346461527258565,0.9189577950801435,-4.463122554888921,Amide-Neg-000486,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
Acetyl-Β-Methylcholine,0.2570861286902654,17.069776749851354,1.5411122136029132,0.13600770710210158,0.9189577950801435,-4.479757853125568,Amide-Pos-000561,Quaternary ammonium salts,Organonitrogen compounds,Higher in Males,
L-Aspartic Acid,0.9315288065382052,18.05227564062134,1.5265509286060057,0.13958053363841821,0.9189577950801435,-4.483681412516945,C18-Pos-000393,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
Adenosine 3'5'-Cyclic Monophosphate,-2.0444365215953817,16.914528110579607,-1.4460812649663999,0.16072825673204458,0.9189577950801435,-4.504894303306348,C18-Pos-002092,Cyclic purine nucleotides,Purine nucleotides,Higher in Females,
1-Octadecanoyl-2-Octadecenoyl-Sn-Glycero-3-Phosphocholine,0.3317810843083623,22.71477785151733,1.369857870911002,0.18474393215907348,0.9189577950801435,-4.5310969968243775,Amide-Pos-002309,Glycerophosphocholines,Glycerophospholipids,Higher in Males,
1-Oleoyl-Sn-Glycero-3-Phosphocholine,0.4604377795277197,17.95259661167648,1.3066155587781074,0.20338203864852805,0.9189577950801435,-4.539666884263441,C18-Pos-004585,Glycerophosphocholines,Glycerophospholipids,Higher in Males,
