Name,Compound.ID,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Direction,Name_display
N-Acetylaspartic Acid,Amide-Neg-000009,86,0.4357306600317366,20.798387349465074,20.747894300041445,-0.003506745007097121,0.9639631654886571,1,FALSE,FALSE,Higher in Females,N-Acetylaspartic ...
D-(-)-Glutamine,Amide-Neg-000048,77,0.7950121719642382,20.20467680376533,20.188265294370755,-0.0011723238412475032,1,1,FALSE,FALSE,Higher in Females,D-(-)-Glutamine
L-Aspartic Acid,Amide-Neg-000085,46,0.14095521914437142,21.617697903068276,21.741157744604354,0.008215871006746525,0.8228390912625538,1,FALSE,FALSE,Higher in Males,L-Aspartic Acid
N-Acetylglycine,Amide-Neg-000212,63,0.623604884395689,23.568470717276384,24.15138133889905,0.03524755664646725,0.9782037402285316,1,FALSE,FALSE,Higher in Males,N-Acetylglycine
L-Tyrosine,Amide-Neg-000325,69,0.8852339144732017,23.833830691730892,23.84316163291713,5.647043612323632e-4,1,1,FALSE,FALSE,Higher in Males,L-Tyrosine
N-Ethylglycine,Amide-Neg-000343,48,0.28145768484462175,22.91330261681327,22.994005965964625,0.005072414181464917,0.8917599071649642,1,FALSE,FALSE,Higher in Males,N-Ethylglycine
N-Methylglutamic Acid,Amide-Neg-000401,100,0.11235119769046396,24.183092339858664,23.21427590944428,-0.05898645502133667,0.8228390912625538,1,FALSE,FALSE,Higher in Females,N-Methylglutamic ...
D-(+)-Tryptophan,Amide-Neg-000507,35,0.1697061422725126,18.56092836688932,19.316677386863194,0.05757808923315928,0.8228390912625538,1,FALSE,FALSE,Higher in Males,D-(+)-Tryptophan
N-Acetyl-L-Glutamine,Amide-Neg-000605,84,0.5067205148778585,19.132137805200834,19.081179933794452,-0.0038477010790560905,0.9639631654886571,1,FALSE,FALSE,Higher in Females,N-Acetyl-L-Glutamine
L-Γ-Glutamyl-L-Glutamic Acid,Amide-Neg-000611,57,0.915878445665947,20.790482794756233,20.856557579023825,0.0045777967758206225,1,1,FALSE,FALSE,Higher in Males,L-Γ-Glutamyl-L-Gl...
Cyclic Adenosine Diphosphate Ribose,Amide-Neg-000614,77,0.5181302014501532,18.623813451960764,18.427297605441677,-0.01530399967638841,0.9639631654886571,1,FALSE,FALSE,Higher in Females,Cyclic Adenosine ...
Choline,Amide-Pos-000001,50,1,15.71724074497066,15.732714528555807,0.00141964924587612,1,1,FALSE,FALSE,Higher in Males,Choline
