Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Sub.Class,Class,Direction,FDR_label
D-(+)-Tryptophan,0.35482834297269805,19.113347712214267,3.830306326668652,7.919862687370756e-4,0.044351231049276234,-0.5337484215220512,C18-Pos-001015,Indolyl carboxylic acids and derivatives,Indoles and derivatives,Increases with GW,*
1-Oleoyl-2-Myristoyl-Sn-Glycero-3-Phosphocholine,0.15140864757794564,16.50791891185648,3.414034247366259,0.002244487046489111,0.06284563730169511,-1.493349696781789,Amide-Pos-002228,Glycerophosphocholines,Glycerophospholipids,Increases with GW,
Acetylcholine,-0.3042447073116827,15.635881324000495,-2.895803278198532,0.011491693672599938,0.21451161522186551,-2.7964106848813377,Amide-Pos-000467,Quaternary ammonium salts,Organonitrogen compounds,Decreases with GW,
D-Phenylalanine,-0.1789610384916191,21.90631037966981,-2.497113662499929,0.019664933697417054,0.24806894418546613,-3.452877615958772,Amide-Pos-000583,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Decreases with GW,
Choline,-0.10026664619854321,24.395328069946707,-2.443584115219918,0.022149012873702335,0.24806894418546613,-3.557641303337956,Amide-Pos-000097,Quaternary ammonium salts,Organonitrogen compounds,Decreases with GW,
N-Acetyl-1-Aspartylglutamic Acid,0.67405170605802,24.57907822303517,2.1701282324474906,0.04722873235658524,0.3405669952335844,-3.95558335752,C18-Pos-001811,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
Dl-Pyroglutamic Acid,0.18275098113564203,18.782513832313835,2.224430366217287,0.035631865415299085,0.33256407720945813,-3.9720902572492074,Amide-Neg-000291,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
Adenosine Triphosphate (Atp),-0.19371577406839915,18.091461725447964,-2.042402615953862,0.053076968972724015,0.3405669952335844,-4.258657252987852,Amide-Neg-001422,Purine ribonucleotides,Purine nucleotides,Decreases with GW,
1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine,0.1750814858304635,21.219348801191362,2.0179907856374464,0.054733981376826064,0.3405669952335844,-4.339113718632267,C18-Pos-004537,Glycerophosphocholines,Glycerophospholipids,Increases with GW,
L-Tyrosine,-0.08525056941942366,21.06685969004434,-1.8665258742549444,0.07405031608057992,0.41468177005124757,-4.592380435477865,C18-Pos-000832,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Decreases with GW,
5'-S-Methyl-5'-Thioadenosine,-0.08612527831765077,18.96599513676828,-1.7751970940384005,0.08836217989423782,0.43356966786601714,-4.738032579537091,C8-Pos-000483,5'-deoxy-5'-thionucleosides,5'-deoxyribonucleosides,Decreases with GW,
2-(5-Oxovaleryl)Phosphatidylcholine,0.1733596618757779,16.51152290279749,1.7340892655569666,0.09554129098082224,0.43356966786601714,-4.80178013410144,C8-Pos-002923,Glycerophosphocholines,Glycerophospholipids,Increases with GW,
L-Pyroglutamic Acid,-0.07355782888064355,18.509086144204062,-1.6404797840674894,0.1137555136750941,0.43356966786601714,-4.942604705531228,Amide-Pos-000317,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Decreases with GW,
1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,-0.06470650875773543,21.28528651233028,-1.6236950496418245,0.11731140611692899,0.43356966786601714,-4.967203842996675,C8-Pos-004574,Glycerophosphocholines,Glycerophospholipids,Decreases with GW,
N-Acetylglycine,0.1288574246407361,21.390548488610676,1.602066552706083,0.12202965236986103,0.43356966786601714,-4.998604289478958,Amide-Neg-000219,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
Acetyl-Β-Methylcholine,0.06609606841662796,28.669805146265904,1.549750620060759,0.13409611679921662,0.43356966786601714,-5.073154462711573,Amide-Pos-000561,Quaternary ammonium salts,Organonitrogen compounds,Increases with GW,
L-Kynurenine,0.12058223995351829,22.97142323479664,1.543444772926866,0.1356146585210545,0.43356966786601714,-5.082004825264841,C18-Pos-001046,Carbonyl compounds,Organooxygen compounds,Increases with GW,
Cysteinylglycine,-0.11284167081539416,17.082142525113365,-1.5281291627186222,0.13936167895693408,0.43356966786601714,-5.103378007838892,Amide-Pos-000635,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Decreases with GW,
1-(1z-Octadecenyl)-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine,-0.06596718249065757,18.886191296787484,-1.396518652023556,0.17515331145968785,0.51624133903908,-5.279746234686666,C8-Pos-004250,Glycerophosphocholines,Glycerophospholipids,Decreases with GW,
5-Methyl D-Glutamate,0.10540579084040971,21.014850792745293,1.2088889533338185,0.24126225207789842,0.6141220961982868,-5.320591452557123,Amide-Pos-000563,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
1-Oleoyl-Sn-Glycero-3-Phosphocholine,0.042067588330473714,16.862215407085294,1.265722887309998,0.2180903090742664,0.6013227865550955,-5.433254650409636,C18-Pos-004585,Glycerophosphocholines,Glycerophospholipids,Increases with GW,
N-(Octadecanoyl)Sphing-4-Enine-1-Phosphocholine,0.0776152036043583,16.59679639332836,1.2481176579873308,0.22549604495816084,0.6013227865550955,-5.445575470671604,Amide-Pos-002226,Phosphosphingolipids,Sphingolipids,Increases with GW,
