Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Sub.Class,Class,Direction,FDR_label
1-Methyladenosine,0.5742903950769428,20.38973336867576,2.7173224459747813,0.011948018572337389,0.5525573551627223,-4.233837023150167,Amide-Pos-001132,NA,Purine nucleosides,Higher in Males,
Phenylacetylglutamine,-1.1571902345226521,16.269157944932378,-2.4961018194520586,0.01973419125581151,0.5525573551627223,-4.289466789652678,C18-Pos-001439,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
Methyl L-Tryptophanate,-0.2851183424953332,26.95235417491872,-1.9034517830123105,0.07059322857441744,0.9129936053331883,-4.4534796522443205,C18-Pos-001113,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
1-Hexadecanoyl-2-Octadecadienoyl-Sn-Glycero-3-Phosphocholine,1.2409387216851553,17.78181992180986,1.6357882215710067,0.11478142738174031,0.9129936053331883,-4.4888475529377185,C8-Pos-004099,Glycerophosphocholines,Glycerophospholipids,Higher in Males,
Histamine,-1.2544627736080893,15.919690361591458,-1.9858246549182859,0.06809050311358926,0.9129936053331883,-4.499334802506787,Amide-Neg-000145,Amines,Organonitrogen compounds,Higher in Females,
N-Acetylglutamic Acid,0.2168114170893241,22.74737018484568,1.5839336482847368,0.12614706231864029,0.9129936053331883,-4.499424747420792,C18-Pos-000763,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
"1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",-0.6727291530870955,21.99159874020512,-1.574510150189851,0.12830950098815683,0.9129936053331883,-4.501323274368716,C8-Pos-004336,Glycerophosphocholines,Glycerophospholipids,Higher in Females,
1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine,0.6544101731263439,21.219348801191362,1.5217231741307404,0.14099497106211473,0.9129936053331883,-4.511819234512851,C18-Pos-004537,Glycerophosphocholines,Glycerophospholipids,Higher in Males,
Cytidine 5'-Diphosphocholine,-0.5294350425310501,21.95161207489548,-1.3510757294531095,0.18912625717542678,0.9129936053331883,-4.544035293928252,Amide-Pos-001779,Pyrimidine ribonucleotides,Pyrimidine nucleotides,Higher in Females,
Glycerophosphocholine,-0.3123702551265015,23.89088597287179,-1.349117645827287,0.1897455960477612,0.9129936053331883,-4.544388884900822,Amide-Pos-001017,Glycerophosphocholines,Glycerophospholipids,Higher in Females,
5'-S-Methyl-5'-Thioadenosine,-0.3205379403010324,18.96599513676828,-1.342547328615431,0.19183538406827708,0.9129936053331883,-4.5455725757576095,C8-Pos-000483,5'-deoxy-5'-thionucleosides,5'-deoxyribonucleosides,Higher in Females,
2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine,0.22839120539642702,21.36522412059556,1.3341149170647868,0.19564148685711177,0.9129936053331883,-4.550685002799045,Amide-Pos-002276,Glycerophosphocholines,Glycerophospholipids,Higher in Males,
1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,-0.2225960768220367,21.28528651233028,-1.1348473709181497,0.26751752058119216,0.9275821681757965,-4.580678930838207,C8-Pos-004574,Glycerophosphocholines,Glycerophospholipids,Higher in Females,
Adenosine,-0.2540876521392341,20.765941570468925,-1.1052643623929619,0.2798760422219764,0.9275821681757965,-4.585295966793646,Amide-Pos-001066,NA,Purine nucleosides,Higher in Females,
L-Pyroglutamic Acid,-0.22108074641965156,18.509086144204062,-0.9946500182531899,0.32971522122805197,0.9275821681757965,-4.601656756243713,Amide-Pos-000317,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
"1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine",-0.4719547683013776,16.356582369794896,-0.9190161869152821,0.37334697753683765,0.9275821681757965,-4.603734934534691,Amide-Pos-002307,Glycerophosphocholines,Glycerophospholipids,Higher in Females,
