Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Sub.Class,Class,Direction,FDR_label
Dl-Dipalmitoylphosphatidylcholine,0.0018067902809589336,21.571051086718445,0.024947733255286455,0.9804581862958173,0.9945448361463514,-5.785188228820702,C8-Pos-003901,Glycerophosphocholines,Glycerophospholipids,Increases with GW,
N-Acetyl-L-Aspartic Acid,0.031085014084274363,19.807231740514208,0.7964475371156143,0.4333818386133468,0.8623034475059315,-5.796844971917107,Amide-Neg-000557,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
Υ-L-Glutamyl-L-Glutamic Acid,-0.028420424601379266,19.392860292899933,-0.7732450440511139,0.4467350917092915,0.8623034475059315,-5.814411448402815,Amide-Pos-001105,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Decreases with GW,
N-Nervonoyl-D-Erythro-Sphingosylphosphorylcholine,-0.01931676560543988,15.47277027438167,-0.40744694968318756,0.6888762471354093,0.9582680606600427,-5.8335420890320995,C8-Pos-004641,Phosphosphingolipids,Sphingolipids,Decreases with GW,
1-Palmitoyl-Sn-Glycero-3-Phosphocholine,-0.02278388318972126,18.964807659939186,-0.7454980496993355,0.4630260014256684,0.8623034475059315,-5.8347699382899805,C8-Pos-002038,Glycerophosphocholines,Glycerophospholipids,Decreases with GW,
5-Methyl D-Glutamate,0.017534455601807237,29.254776585367914,0.7232574637820175,0.4763344198788152,0.8623034475059315,-5.850575790451265,Amide-Pos-000563,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
1-Oleoyl-Sn-Glycero-3-Phosphocholine,-0.054360289525329133,17.95259661167648,-0.7227732376550356,0.47662662984599236,0.8623034475059315,-5.850914829788362,C18-Pos-004585,Glycerophosphocholines,Glycerophospholipids,Decreases with GW,
2-(5-Oxovaleryl)Phosphatidylcholine,0.02169117802184856,21.056539238457304,0.7168426495513542,0.4802139352236162,0.8623034475059315,-5.855049610380831,C8-Pos-002923,Glycerophosphocholines,Glycerophospholipids,Increases with GW,
L-Tyrosine,-0.0413070764202928,19.564217378874535,-0.696324485618552,0.49274482714624657,0.8623034475059315,-5.869102978535008,C18-Pos-000832,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Decreases with GW,
Methyl L-Tryptophanate,0.01305701378395722,28.5350757958115,0.3203562500259323,0.7517723648108885,0.9701194769256724,-5.880923772631972,C18-Pos-001113,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Increases with GW,
1-Octadecanoyl-2-Octadecenoyl-Sn-Glycero-3-Phosphocholine,0.028960405558324357,22.71477785151733,0.5599222964631615,0.581285131840138,0.8797829022445331,-5.897033439433844,Amide-Pos-002309,Glycerophosphocholines,Glycerophospholipids,Increases with GW,
2-(Alpha-D-Mannopyranosyl)-L-Tryptophan,0.03190880652452893,19.522095865602573,0.6275604590164922,0.5360669703095986,0.8671467486220428,-5.913336368703128,C18-Pos-002507,Indolyl carboxylic acids and derivatives,Indoles and derivatives,Increases with GW,
2'-Deoxyadenosine,-0.05134194082817376,19.819672600974187,-0.6260119482353261,0.5370655343648175,0.8671467486220428,-5.914281403376299,Amide-Pos-000996,Purine 2'-deoxyribonucleosides,Purine nucleosides,Decreases with GW,
Dl-Glutamine,-0.03254556118232602,20.95210476013561,-0.5947251950154505,0.5574514812570275,0.8671467486220428,-5.932890806066354,Amide-Pos-000475,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Decreases with GW,
N-Acetyl-1-Aspartylglutamic Acid,-0.021050565585979092,23.570668976193407,-0.38855085620630353,0.7015891158403883,0.9582680606600427,-5.989713196746118,C18-Pos-001811,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Decreases with GW,
1-Oleoyl-2-Myristoyl-Sn-Glycero-3-Phosphocholine,0.029376367456073246,20.277956254238713,0.43324138740954926,0.668609850984748,0.9582680606600427,-6.01412218376533,Amide-Pos-002228,Glycerophosphocholines,Glycerophospholipids,Increases with GW,
N6-Succinyladenosine; Lc-Tdda; Ce10,0.011250672454549937,17.581476683051502,0.32379168841829026,0.7488290766640906,0.9701194769256724,-6.0548814339239465,C18-Pos-002703,NA,Purine nucleosides,Increases with GW,
D-(+)-Tryptophan,-0.002557619707835163,26.03536607852821,-0.09249986699536207,0.9270806183015929,0.9945448361463514,-6.057443848283275,C18-Pos-001015,Indolyl carboxylic acids and derivatives,Indoles and derivatives,Decreases with GW,
"1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine",-0.007435262912088634,19.21434371525549,-0.30591938529849533,0.7622367318701712,0.9701194769256724,-6.060428765345929,Amide-Pos-002176,Glycerophosphocholines,Glycerophospholipids,Decreases with GW,
Glycine,-0.012304766727823147,18.323511091278213,-0.20125187808782682,0.8421543452859837,0.9945448361463514,-6.086630004766543,Amide-Neg-000011,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Decreases with GW,
"1,2-Dieicosenoyl-Sn-Glycero-3-Phosphocholine",-0.004424898505261531,20.023964423116812,-0.14068361110024513,0.8892640897866706,0.9945448361463514,-6.0968682476585405,C8-Pos-004898,Glycerophosphocholines,Glycerophospholipids,Decreases with GW,
1-(1z-Octadecenyl)-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine,0.011149143750984197,22.586707433317407,0.1032415994602859,0.9186072163546792,0.9945448361463514,-6.101386053873952,C8-Pos-004250,Glycerophosphocholines,Glycerophospholipids,Increases with GW,
Cytidine 5'-Diphosphocholine,-0.0032731610692980475,22.923544806231664,-0.06679897584495427,0.9472810016552783,0.9945448361463514,-6.10445236058007,Amide-Pos-001779,Pyrimidine ribonucleotides,Pyrimidine nucleotides,Decreases with GW,
L-Kynurenine,-0.0018983313700881674,21.265575851812184,-0.04221436557314322,0.9666681534047887,0.9945448361463514,-6.105778772500932,C18-Pos-001046,Carbonyl compounds,Organooxygen compounds,Decreases with GW,
1-Myristoyl-Sn-Glycero-3-Phosphocholine,0.0018446578088872933,25.655251031300047,0.036089923144042406,0.9715015540944927,0.9945448361463514,-6.1060161375379005,Amide-Pos-001743,Glycerophosphocholines,Glycerophospholipids,Increases with GW,
2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine,0.001848177036693383,18.95712464640971,0.03026595110146801,0.9760988581573822,0.9945448361463514,-6.1062074183057735,Amide-Pos-002276,Glycerophosphocholines,Glycerophospholipids,Increases with GW,
Cysteinylglycine,-0.0015719578872864554,17.897387738462033,-0.026171896550774832,0.9793311211558537,0.9945448361463514,-6.106321785752658,Amide-Pos-000635,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Decreases with GW,
"1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",3.4583949196204165e-4,17.65418690938901,0.009395625094611964,0.9925791723655544,0.9945448361463514,-6.106617134450003,C8-Pos-004336,Glycerophosphocholines,Glycerophospholipids,Increases with GW,
Adenosine 3'5'-Cyclic Monophosphate,-0.0021234178711822594,16.914528110579607,-0.006906819058363222,0.9945448361463514,0.9945448361463514,-6.106637217777684,C18-Pos-002092,Cyclic purine nucleotides,Purine nucleotides,Decreases with GW,
