pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis,pathway_source,cell_type,pathway_short
Activation of NMDA receptors and postsynaptic events (Reactome),0.0045995400459954,0.22572288225722884,0.2133879230180531,0.7893700787401575,2.150541748062526,5,,Astrocyte-Immature,Reactome,Astrocyte-Immature,Activation of NMDA receptors and post...
Post NMDA receptor activation events (Reactome),0.0045995400459954,0.22572288225722884,0.2133879230180531,0.7893700787401575,2.150541748062526,5,,Astrocyte-Immature,Reactome,Astrocyte-Immature,Post NMDA receptor activation events
Tryptophan catabolism (Reactome),0.006199380061993801,0.22572288225722884,0.183397180948084,0.5923115497860987,1.9586604727638837,10,,Astrocyte-Immature,Reactome,Astrocyte-Immature,Tryptophan catabolism
Acetylcholine synthesis (WikiPathways),0.001979418849352148,0.3840072567743167,0.4317076958033464,0.7110460188530112,2.4822486187675614,6,,EN-IT-Immature,WikiPathways,EN-IT-Immature,Acetylcholine synthesis
Organic anion transporters (Reactome),0.0287971202879712,0.9602039796020398,0.08385350613623484,0.5663610637118917,1.9771560923586151,6,,EN-IT-Immature,Reactome,EN-IT-Immature,Organic anion transporters
Nicotinate and nicotinamide metabolism (KEGG),0.035896410358964105,0.9602039796020398,0.07481738407724575,0.49700855035845365,1.9104054259971779,8,,EN-IT-Immature,KEGG,EN-IT-Immature,Nicotinate and nicotinamide metabolism
Degradation of cysteine and homocysteine (Reactome),0.0030996900309969004,0.41463353664633534,0.2608205677188685,0.5816272814170699,2.3812394419440777,9,,EN-L6-IT,Reactome,EN-L6-IT,Degradation of cysteine and homocysteine
Sulfur amino acid metabolism (Reactome),0.005499450054994501,0.41463353664633534,0.1948872974336822,0.4742017287526059,2.2348873271270486,14,,EN-L6-IT,Reactome,EN-L6-IT,Sulfur amino acid metabolism
Organic anion transporters (Reactome),0.0071992800719928,0.41463353664633534,0.17000427848892652,0.6361585584025329,2.272305174788693,6,,EN-L6-IT,Reactome,EN-L6-IT,Organic anion transporters
MTHFR deficiency (WikiPathways),0.022297770222977704,0.8112545888268317,0.095636421370719,0.6240157480314961,2.0371324192426083,5,,EN-L6b,WikiPathways,EN-L6b,MTHFR deficiency
Synthesis of wybutosine at G37 of tRNA(Phe) (Reactome),0.027297270272972702,0.8112545888268317,0.08619696191371143,0.6082677165354331,1.985722137368978,5,,EN-L6b,Reactome,EN-L6b,Synthesis of wybutosine at G37 of tRN...
Orexin receptor pathway (WikiPathways),0.0491950804919508,0.8112545888268317,0.06345549930017466,0.4980237154150198,1.8135367403576956,7,,EN-L6b,WikiPathways,EN-L6b,Orexin receptor pathway
Biogenic amine synthesis (WikiPathways),0.008099190080991902,0.9653870591776802,0.16014698350927883,0.6009538306302531,2.2326718929236953,7,,EN-Newborn,WikiPathways,EN-Newborn,Biogenic amine synthesis
beta-Alanine metabolism (KEGG),0.013098690130986902,0.9653870591776802,0.12546307449003974,0.5237401626489524,2.114857388503615,9,,EN-Newborn,KEGG,EN-Newborn,beta-Alanine metabolism
Biomarkers for urea cycle disorders (WikiPathways),0.0163983601639836,0.9653870591776802,0.1119013821886713,0.48840571861573084,2.042579526236768,10,,EN-Newborn,WikiPathways,EN-Newborn,Biomarkers for urea cycle disorders
"Metabolism of ingested SeMet, Sec, MeSec into H2Se (Reactome)",0.010498950104989501,0.9367843703434533,0.14038920200174856,0.6812040080946813,1.5741969849875037,11,,EN-Non-IT-Immature,Reactome,EN-Non-IT-Immature,"Metabolism of ingested SeMet, Sec, Me..."
Defective SLC6A19 causes Hartnup disorder (HND) (Reactome),0.016698330166983303,0.9367843703434533,0.11087177518307077,0.6758960851990207,1.537273113657234,10,,EN-Non-IT-Immature,Reactome,EN-Non-IT-Immature,Defective SLC6A19 causes Hartnup diso...
Pyruvate metabolism (Reactome),0.021097890210978902,0.9367843703434533,0.09838492536965289,0.6620278330019881,1.5057308519060972,10,,EN-Non-IT-Immature,Reactome,EN-Non-IT-Immature,Pyruvate metabolism
Metabolic disorders of biological oxidation enzymes (Reactome),0.019498050194980503,0.7349163817795437,0.10243522735019109,0.5438486876091262,1.9368450619052648,9,,IN-CGE-Immature,Reactome,IN-CGE-Immature,Metabolic disorders of biological oxi...
Metabolism overview (WikiPathways),0.025397460253974602,0.7349163817795437,0.08945608635508519,0.42461608269192574,1.8170679993006944,18,,IN-CGE-Immature,WikiPathways,IN-CGE-Immature,Metabolism overview
KEGG:map01120 (KEGG),0.03469653034696531,0.7349163817795437,0.07614923653705905,0.5564795742630702,1.839625358113533,7,,IN-CGE-Immature,KEGG,IN-CGE-Immature,KEGG:map01120
