pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane (Reactome),3,11,2.862263508584451,0.1318135474389452,Guanine;2'-Deoxyadenosine;Adenosine 5'-Diphosphate,0.5549523813749189,Reactome
Carnitine synthesis (Reactome),2,6,3.7812377266051245,0.15241649911001293,"Dl-Carnitine;N6,N6,N6-Trimethyl-L-Lysine",0.5549523813749189,Reactome
Creatine pathway (WikiPathways),2,6,3.7812377266051245,0.15241649911001293,Creatine;Adenosine 5'-Diphosphate,0.5549523813749189,WikiPathways
Diseases of nucleotide metabolism (Reactome),2,6,3.7812377266051245,0.15241649911001293,Guanine;2'-Deoxyadenosine,0.5549523813749189,Reactome
Glycosphingolipid metabolism (Reactome),2,6,3.7812377266051245,0.15241649911001293,Uridine 5'-Diphosphate;Adenosine 5'-Diphosphate,0.5549523813749189,Reactome
Phosphatidylcholine catabolism (WikiPathways),2,6,3.7812377266051245,0.15241649911001293,Glycerophosphocholine;Adenosine 5'-Diphosphate,0.5549523813749189,WikiPathways
Role of carnosine in muscle contraction (WikiPathways),2,6,3.7812377266051245,0.15241649911001293,L-Histidine;Anserine,0.5549523813749189,WikiPathways
Sialic acid metabolism (Reactome),2,6,3.7812377266051245,0.15241649911001293,Uridine 5'-Diphosphate;Adenosine 5'-Diphosphate,0.5549523813749189,Reactome
tRNA modification in the nucleus and cytosol (Reactome),2,6,3.7812377266051245,0.15241649911001293,Guanine;5'-S-Methyl-5'-Thioadenosine,0.5549523813749189,Reactome
Nitrogen metabolism (KEGG),3,12,2.539704752914345,0.16139510280935443,L-Histidine;Adenosine 5'-Diphosphate;Biotin,0.5729526149732082,KEGG
Aspirin ADME (Reactome),2,7,3.0209650049155177,0.19757258859169521,Uridine 5'-Diphosphate;Adenosine 5'-Diphosphate,0.623451279556016,Reactome
Late SARS-CoV-2 Infection Events (Reactome),2,7,3.0209650049155177,0.19757258859169521,Uridine 5'-Diphosphate;Adenosine 5'-Diphosphate,0.623451279556016,Reactome
Metabolic reprogramming in pancreatic cancer (WikiPathways),2,7,3.0209650049155177,0.19757258859169521,"D-Ribose 5-Phosphate;D-Fructose 1,6-Bisphosphate",0.623451279556016,WikiPathways
Pyrimidine salvage (Reactome),2,7,3.0209650049155177,0.19757258859169521,Adenosine 5'-Diphosphate;Uridine Monophosphate,0.623451279556016,Reactome
Translation of Structural Proteins (Reactome),2,7,3.0209650049155177,0.19757258859169521,Uridine 5'-Diphosphate;Adenosine 5'-Diphosphate,0.623451279556016,Reactome
Creatine metabolism (Reactome),2,8,2.513335423648407,0.24411191796856732,Creatine;Adenosine 5'-Diphosphate,0.7320608572637602,Reactome
"Alanine, aspartate and glutamate metabolism (KEGG)",4,23,1.5975386189912415,0.28734130640559136,5'-Xanthylic Acid;Adenosine 5'-Diphosphate;Biotin;Guanosine-5'-Monophosphate,0.7320608572637602,KEGG
Citric Acid Cycle (KEGG),2,9,2.1507445458694203,0.29108570218827845,Adenosine 5'-Diphosphate;Biotin,0.7320608572637602,KEGG
Propanoate metabolism (KEGG),2,9,2.1507445458694203,0.29108570218827845,Adenosine 5'-Diphosphate;Biotin,0.7320608572637602,KEGG
Purinergic signaling (WikiPathways),2,9,2.1507445458694203,0.29108570218827845,Uridine 5'-Diphosphate;Adenosine 5'-Diphosphate,0.7320608572637602,WikiPathways
