pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
Tryptophan metabolism (KEGG),0.22187781221877811,0.5896478845266158,0.02701964096794484,0.3893379837370347,1.3940815435032166,6,Tryptophan;L-Glutamic Acid;Dl-Alanine;L-Kynurenine,All cell types
Organic anion transporters (Reactome),0.23047695230476953,0.5927744887848878,0.026363790434249766,0.38532319090077544,1.3797059910839637,6,Pyruvic Acid;L-Glutamic Acid;Citric Acid;N-Acetyl-Neuraminic Acid;L-(+)-Lactic Acid,All cell types
"mRNA, protein, and metabolite inducation pathway by cyclosporin A (WikiPathways)",0.23217678232176783,0.5927744887848878,0.026238056766879715,0.32940315982341034,1.3515225043989105,9,L-Threonine;Tryptophan;Leucine;Adenosine 5'-Diphosphate;Dl-Alanine;Asparagine,All cell types
Branched-chain amino acid catabolism (Reactome),0.2328767123287671,0.5927744887848878,0.02618664456518662,0.4045738122580944,1.3685572104186086,5,Leucine;Adenosine 5'-Diphosphate;L-Glutamic Acid,All cell types
Metabolism of folate and pterines (Reactome),0.23527647235276472,0.5927744887848878,0.026011943452914618,0.40350990573902545,1.36495831970011,5,L-Serine;Adenosine 5'-Diphosphate;L-Glutamic Acid,All cell types
Amino acid transport defects (IEMs) (WikiPathways),0.25037496250374963,0.608267744654106,0.024965118718487046,0.2903825601409201,1.307934634611188,12,Dl-Arginine;Tryptophan;L-Serine;L-Glutamic Acid;L-Aspartic Acid;Dl-Alanine,All cell types
Nucleotide salvage (Reactome),0.251974802519748,0.608267744654106,0.024859152819440587,0.2705175056788651,1.302679329476191,15,Guanosine-5'-Monophosphate;2'-Deoxyadenosine;Pseudouridine;Cytidine;Adenosine 5'-Diphosphate;Guanine;Uridine Monophosphate,All cell types
Selenocompound metabolism (KEGG),0.25747425257474255,0.608267744654106,0.02450161450406774,0.35001767298940184,1.3210112415963442,7,2-Oxobutanoic Acid;L-Serine;Adenosine 5'-Diphosphate;Dl-Alanine,All cell types
Histidine catabolism (Reactome),0.25817418258174185,0.608267744654106,0.024456837565433077,0.33051641212174854,1.302574020304457,8,Anserine;L-Histidine;Adenosine 5'-Diphosphate;L-Glutamic Acid,All cell types
Galactose Metabolism (KEGG),0.25977402259774024,0.608267744654106,0.02435509202507403,0.3075687617322955,1.307720787550069,10,Uridine 5'-Diphosphate;Udp-Β-D-Glucose (Sodium Salt);D-Glucose 6-Phosphate;Adenosine 5'-Diphosphate;D-Glucose,All cell types
Aspirin ADME (Reactome),0.26577342265773424,0.608267744654106,0.023980807668029017,0.34597836853461855,1.3057663925365068,7,Pyruvic Acid;Uridine 5'-Diphosphate,All cell types
