Name,Compound.ID,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Direction
L-(+)-Lactic acid,Amide-Neg-000001,11,0.47048642205878966,921859.466624873,550307.200301771,-0.7443096297464935,0.9744977407619699,1,FALSE,FALSE,Higher in Females
Pyruvic acid,Amide-Neg-000003,6,1,85404.27113265237,71777.80415992058,-0.25077043329672827,1,1,FALSE,FALSE,Higher in Females
N-Acetylaspartic acid,Amide-Neg-000008,11,0.47048642205878966,798414.0887810991,751130.821657908,-0.08807298018933418,0.9744977407619699,1,FALSE,FALSE,Higher in Females
Citric acid,Amide-Neg-000009,9,0.8852339144732017,337488.52130441176,316985.1427575352,-0.09042321174488031,1,1,FALSE,FALSE,Higher in Females
D-(-)-Mannitol,Amide-Neg-000012,8,0.19043026382552408,328363.5301752163,135871.21159556994,-1.2730540923900444,0.9744977407619699,1,FALSE,FALSE,Higher in Females
Dehydroascorbic acid,Amide-Neg-000017,2,0.1123511976904639,1719768.899626785,2848947.815380855,0.7282144854207795,0.9516146444382293,1,FALSE,FALSE,Higher in Males
DL-Malic acid,Amide-Neg-000018,6,0.6650055421020291,9474789.05213735,11212379.190773316,0.2429267123093332,0.9744977407619699,1,FALSE,FALSE,Higher in Males
D-(-)-Glutamine,Amide-Neg-000022,0,0.0808555983700523,1029547.578934181,2428724.930898497,1.2381886010964473,0.9516146444382293,1,FALSE,FALSE,Higher in Males
Pseudouridine,Amide-Neg-000023,5,0.47048642205878966,149656.335582925,188611.7931349655,0.33376652925190836,0.9744977407619699,1,FALSE,FALSE,Higher in Males
Ascorbic acid,Amide-Neg-000026,16,0.030382821976577493,982116.3183156665,526723.2163796935,-0.8988488516941866,0.9516146444382293,1,FALSE,FALSE,Higher in Females
Isethionate,Amide-Neg-000029,7,0.8852339144732017,65857.00039106008,70075.5483602387,0.08957432622590117,1,1,FALSE,FALSE,Higher in Males
"2,4(3H,5H)-Furandione",Amide-Neg-000030,6,0.6650055421020291,1785380.0600582191,1650196.5615764225,-0.11359333851536148,0.9744977407619699,1,FALSE,FALSE,Higher in Females
Threonine,Amide-Neg-000031,4,1,48829.2025227018,105266.5090854023,1.1082303895795627,1,1,FALSE,FALSE,Higher in Males
Xanthine,Amide-Neg-000034,8,0.5958830905651777,428884.4138419093,456156.93133141723,0.08894135138098448,0.9744977407619699,1,FALSE,FALSE,Higher in Males
L-Aspartic acid,Amide-Neg-000037,15,0.060601969712006105,3131858.8163588527,1752474.8317619213,-0.8376254525961405,0.9516146444382293,1,FALSE,FALSE,Higher in Females
PYROGLUTAMATE,Amide-Neg-000039,4,0.312321421676216,3497775.7267437126,4250122.063822033,0.2810664878345694,0.9744977407619699,1,FALSE,FALSE,Higher in Males
DL-β-Leucine,Amide-Neg-000043,12,0.051829927217909674,620384.4305087628,99606.44322399156,-2.638851506423225,0.9516146444382293,1,FALSE,FALSE,Higher in Females
5-Aminovaleric acid,Amide-Neg-000045,3,0.19393085228241067,304795.76441811025,340284.3288405392,0.15889785758831765,0.9744977407619699,1,FALSE,FALSE,Higher in Males
Nitrilotriacetic acid,Amide-Neg-000051,10,0.6650055421020291,16752529.795544475,14476884.422256624,-0.21062782037294034,0.9744977407619699,1,FALSE,FALSE,Higher in Females
"1,6-Anhydro-.beta.-D-glucose",Amide-Neg-000053,0,0.030382821976577493,103686.41884939838,120248.31021235575,0.21378968257945413,0.9516146444382293,1,FALSE,FALSE,Higher in Males
"Benzenesulfonic acid, dodecyl(sulfophenoxy)-",Amide-Neg-000055,8,1,12214974.984081943,12157880.538668998,-0.00675916072710641,1,1,FALSE,FALSE,Higher in Females
L-Proline,Amide-Neg-000056,4,0.312321421676216,6774589.72736396,4617468.351281658,-0.5530315059334072,0.9744977407619699,1,FALSE,FALSE,Higher in Females
Maleic acid,Amide-Neg-000061,3,0.19393085228241067,293597.6929929225,387555.12028175825,0.4005608812915829,0.9744977407619699,1,FALSE,FALSE,Higher in Males
N-Acetyl-DL-serine,Amide-Neg-000066,3,0.19393085228241067,1601433.2231091175,2117288.93585838,0.4028545186019153,0.9744977407619699,1,FALSE,FALSE,Higher in Males
Malonic acid,Amide-Neg-000067,7,0.8852339144732017,254919.3824543735,259252.00131732825,0.024314055166700772,1,1,FALSE,FALSE,Higher in Males
Itaconic acid,Amide-Neg-000070,1,0.060601969712006105,69883.81987343208,222570.57035784112,1.6712324696024667,0.9516146444382293,1,FALSE,FALSE,Higher in Males
L-Serine,Amide-Neg-000071,3,0.19393085228241067,71078.70388182772,86386.38768602707,0.28138662387570773,0.9744977407619699,1,FALSE,FALSE,Higher in Males
Methylmalonic acid,Amide-Neg-000075,12,0.312321421676216,185274.66051272384,147819.415948486,-0.3258298029303984,0.9744977407619699,1,FALSE,FALSE,Higher in Females
Glycolic acid,Amide-Neg-000078,4,0.312321421676216,1425159.2110164007,3116276.6022707275,1.1287001951125453,0.9744977407619699,1,FALSE,FALSE,Higher in Males
