Group,N_metabolites,Category,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Significant_nominal,Direction
kegg:map00480;wiki:WP100;wiki:WP2525,2,Pathways,0,0.030382821976577493,1817705.5280207219,2975668.4876326676,0.7110953091281745,0.9520582940885165,1,FALSE,FALSE,TRUE,Higher in Males
kegg:map00310;kegg:map00780;reactome:R-HSA-196780;reactome:R-HSA-264876;reactome:R-HSA-2980736;reactome:R-HSA-352230;reactome:R-HSA-379716;reactome:R-HSA-379724;reactome:R-HSA-379726;reactome:R-HSA-420499;reactome:R-HSA-442660;reactome:R-HSA-5223345;reactome:R-HSA-5619094;reactome:R-HSA-5619113;reactome:R-HSA-5660883;reactome:R-HSA-5689603;reactome:R-HSA-71064;wiki:WP1938;wiki:WP3320;wiki:WP4228;wiki:WP5004;wiki:WP661,1,Pathways,0,0.030382821976577493,98464.57908578568,485477.2318276575,2.3017268983032593,0.9520582940885165,1,FALSE,FALSE,TRUE,Higher in Males
kegg:map00360;reactome:R-HSA-156587;reactome:R-HSA-159424;reactome:R-HSA-177162,1,Pathways,0,0.030382821976577493,39358.861491652024,65041.32413775727,0.724668139311218,0.9520582940885165,1,FALSE,FALSE,TRUE,Higher in Males
reactome:R-HSA-1483115;reactome:R-HSA-1483148;reactome:R-HSA-1483152;reactome:R-HSA-1483166;reactome:R-HSA-1483255;reactome:R-HSA-163560;reactome:R-HSA-6814848;reactome:R-HSA-75109;reactome:R-HSA-8979227;wiki:WP143;wiki:WP2456;wiki:WP2533;wiki:WP2747;wiki:WP325;wiki:WP3602;wiki:WP4131;wiki:WP4195;wiki:WP4297;wiki:WP4722,1,Pathways,0,0.051829927217909674,1430408.707958651,3115582.52210005,1.1230745055033058,0.9520582940885165,1,FALSE,FALSE,FALSE,Higher in Males
reactome:R-HSA-8963693;reactome:R-HSA-8964539;wiki:WP4979;wiki:WP4992,1,Pathways,12,0.051829927217909674,337988.3504277847,275176.05097987264,-0.2966186060459619,0.9520582940885165,1,FALSE,FALSE,FALSE,Higher in Females
kegg:map00250;kegg:map00330;kegg:map00350;kegg:map00410;kegg:map00910;reactome:R-HSA-1638091;reactome:R-HSA-2024096;reactome:R-HSA-379716;reactome:R-HSA-379724;reactome:R-HSA-379726;reactome:R-HSA-389661;reactome:R-HSA-500753;reactome:R-HSA-5619062;reactome:R-HSA-5619067;reactome:R-HSA-5676934;reactome:R-HSA-70263;reactome:R-HSA-70326;reactome:R-HSA-70635;reactome:R-HSA-73817;reactome:R-HSA-8956320;reactome:R-HSA-8963691;reactome:R-HSA-8963693;reactome:R-HSA-8964208;reactome:R-HSA-8964539;reactome:R-HSA-9717189;reactome:R-HSA-9717207;wiki:WP106;wiki:WP1938;wiki:WP3562;wiki:WP3602;wiki:WP3800;wiki:WP4084;wiki:WP4093;wiki:WP4224;wiki:WP4225;wiki:WP4519;wiki:WP4571;wiki:WP4583;wiki:WP4595;wiki:WP497;wiki:WP4973;wiki:WP4979;wiki:WP4981;wiki:WP4992;wiki:WP5029;wiki:WP534;wiki:WP5365,1,Pathways,15,0.060601969712006105,3131858.8163588527,1752474.8317619213,-0.8376254525961405,0.9520582940885165,1,FALSE,FALSE,FALSE,Higher in Females
kegg:map00270;kegg:map00564;reactome:R-HSA-112310;reactome:R-HSA-112311;reactome:R-HSA-1483101;reactome:R-HSA-1483115;reactome:R-HSA-1483148;reactome:R-HSA-1483166;reactome:R-HSA-1483191;reactome:R-HSA-1483255;reactome:R-HSA-2029485;reactome:R-HSA-264642;reactome:R-HSA-549127;reactome:R-HSA-549132;reactome:R-HSA-5619114;reactome:R-HSA-5658471;reactome:R-HSA-6798163;reactome:R-HSA-6814848;wiki:WP1870;wiki:WP1871;wiki:WP241;wiki:WP2525;wiki:WP2533;wiki:WP2747;wiki:WP3580;wiki:WP3933;wiki:WP4090;wiki:WP4195;wiki:WP4288;wiki:WP4722;wiki:WP4949;wiki:WP5219;wiki:WP528;wiki:WP5352;wiki:WP550,1,Pathways,1,0.060601969712006105,541780.5260683233,718377.2912230049,0.40703320767865725,0.9520582940885165,1,FALSE,FALSE,FALSE,Higher in Males
reactome:R-HSA-1834949;reactome:R-HSA-3134975;reactome:R-HSA-3248023;reactome:R-HSA-499943;reactome:R-HSA-74217;reactome:R-HSA-74259;reactome:R-HSA-8956319;reactome:R-HSA-8956321;wiki:WP2794;wiki:WP4042;wiki:WP4059;wiki:WP4082;wiki:WP4224;wiki:WP4792;wiki:WP5269,1,Pathways,1,0.060601969712006105,3236048.4495222676,5266916.398552375,0.7027253521674638,0.9520582940885165,1,FALSE,FALSE,FALSE,Higher in Males
wiki:WP4157,1,Pathways,1,0.060601969712006105,941409.7944058545,1667074.5878323824,0.8244238864835306,0.9520582940885165,1,FALSE,FALSE,FALSE,Higher in Males
wiki:WP1780;wiki:WP1978;wiki:WP2525;wiki:WP2650;wiki:WP2747;wiki:WP3579;wiki:WP4129;wiki:WP4288;wiki:WP4304;wiki:WP5121;wiki:WP5176;wiki:WP5221,1,Pathways,1,0.060601969712006105,749845.6932410868,1043667.8882570732,0.47699704967812145,0.9520582940885165,1,FALSE,FALSE,FALSE,Higher in Males
wiki:WP2868,1,Pathways,0,0.0808555983700523,1029547.578934181,2428724.930898497,1.2381886010964473,0.9520582940885165,1,FALSE,FALSE,FALSE,Higher in Males
kegg:map00250;reactome:R-HSA-112310;reactome:R-HSA-71406;reactome:R-HSA-880009;reactome:R-HSA-888590;reactome:R-HSA-916853;wiki:WP2685;wiki:WP2766;wiki:WP4157;wiki:WP4159,1,Pathways,0,0.0808555983700523,4507363.1463773735,10677188.34085026,1.2441761934161424,0.9520582940885165,1,FALSE,FALSE,FALSE,Higher in Males
reactome:R-HSA-156587;reactome:R-HSA-159424;reactome:R-HSA-177135;wiki:WP4238;wiki:WP521;wiki:WP661,1,Pathways,9,0.0808555983700523,25315.999622363466,11737.360074015547,-1.1089414923227547,0.9520582940885165,1,FALSE,FALSE,FALSE,Higher in Females
kegg:map00330,1,Pathways,9,0.0808555983700523,206754.492467546,132205.107163852,-0.6451407672434718,0.9520582940885165,1,FALSE,FALSE,FALSE,Higher in Females
kegg:map00670;kegg:map00790;reactome:R-HSA-196757;wiki:WP1589;wiki:WP176;wiki:WP241;wiki:WP2525;wiki:WP3806;wiki:WP3996;wiki:WP4259;wiki:WP4726,1,Pathways,0,0.0808555983700523,7032191.924246587,14862901.481103994,1.0796694304978844,0.9520582940885165,1,FALSE,FALSE,FALSE,Higher in Males
wiki:WP727,1,Pathways,0,0.10519250512004141,745872.5440326771,877657.8852196988,0.23472955930717548,0.9520582940885165,1,FALSE,FALSE,FALSE,Higher in Males
