Group,N_metabolites,Category,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Significant_nominal,Direction
Gamma butyrolactones,4,Sub.Class,0,0.030382821976577493,1123037.4550717662,2082851.4773705327,0.8911539235812611,0.9713564098119526,1,FALSE,FALSE,TRUE,Higher in Males
Cyclohexylamines,2,Sub.Class,16,0.030382821976577493,2525169.550249898,1445253.0757983269,-0.8050581168718746,0.9713564098119526,1,FALSE,FALSE,TRUE,Higher in Females
Lupinine-type alkaloids,1,Sub.Class,0,0.030382821976577493,63594.41323418688,131079.11213504724,1.0434658704185136,0.9713564098119526,1,FALSE,FALSE,TRUE,Higher in Males
Phenylpropanes,3,Sub.Class,0,0.030382821976577493,540829.7698004395,924393.6807588505,0.7733328309522834,0.9713564098119526,1,FALSE,FALSE,TRUE,Higher in Males
Medium-chain hydroxy acids and derivatives,1,Sub.Class,0,0.051829927217909674,1371305.3664945909,2781585.8412655764,1.0203577579800367,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Males
Phenethylamines,3,Sub.Class,1,0.060601969712006105,287137.011202735,360553.9829094395,0.32847597689577424,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Males
Purine deoxyribonucleotides,1,Sub.Class,1,0.060601969712006105,3236048.4495222676,5266916.398552375,0.7027253521674638,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Males
Terphenyls,1,Sub.Class,8,0.10519250512004141,640200.255158399,55864.5915183677,-3.518517192979492,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Females
Quaternary ammonium salts,7,Sub.Class,2,0.1123511976904639,576587.8150944196,809149.0964550024,0.4888652138571531,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Males
Acrylic acids and derivatives,1,Sub.Class,3,0.19393085228241067,3793874.7388434876,3956559.81002935,0.06057451960913247,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Males
Glycerophosphates,5,Sub.Class,3,0.19393085228241067,1402543.1998048383,2058085.2555417318,0.5532575386210248,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Males
Phosphate esters,9,Sub.Class,3,0.19393085228241067,1268414.8432477335,1943376.3482935,0.615538650505943,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Males
Indoles,4,Sub.Class,13,0.19393085228241067,9593028.63357514,1370443.580608834,-2.807343427696686,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Females
Anilides,2,Sub.Class,13,0.19393085228241067,5856006.515853389,2493441.7370410445,-1.2317786661881902,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Females
Short-chain hydroxy acids and derivatives,1,Sub.Class,13,0.19393085228241067,187461.5866374775,122680.20990892295,-0.611692458360039,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Females
Pyranones and derivatives,1,Sub.Class,3,0.19393085228241067,354586.8799163583,527626.7446382565,0.5733785385665767,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Males
Sulfuric acid esters,2,Sub.Class,3,0.19393085228241067,1191344.0142024986,1973182.8655531667,0.7279345965813661,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Males
Androstane steroids,4,Sub.Class,13,0.19393085228241067,4237770.827431738,2063254.1983048394,-1.0383839949701998,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Females
1-benzopyrans,1,Sub.Class,13,0.19393085228241067,901831.6772387736,612370.9904767382,-0.5584522457341808,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Females
Diradylglycerols,1,Sub.Class,1,0.24715997321190714,166325.573377755,358950.78133113496,1.1097760307647015,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Males
"Amino acids, peptides, and analogues",118,Sub.Class,4,0.312321421676216,1206808.05827129,1455591.268717695,0.2704090673941759,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Males
Purines and purine derivatives,5,Sub.Class,4,0.312321421676216,230763.81365680767,292728.7203599405,0.3431472881493171,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Males
Piperidinecarboxylic acids and derivatives,3,Sub.Class,4,0.312321421676216,858748.2924065336,1305935.2678845746,0.6047761573900639,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Males
Pyrimidine nucleotide sugars,4,Sub.Class,4,0.312321421676216,2423810.7584831864,2678872.0946273888,0.14434863662719974,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Males
1-hydroxy-4-unsubstituted benzenoids,2,Sub.Class,4,0.312321421676216,818196.4303705704,1128067.5432272197,0.4633343037637677,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Males
Glycerophosphocholines,51,Sub.Class,4,0.312321421676216,1444110.3284256964,1557199.8798774313,0.10877317177323284,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Males
Tetracarboxylic acids and derivatives,1,Sub.Class,12,0.312321421676216,1145875.2126024426,1052694.7664063012,-0.12236276009454285,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Females
Alloxazines and isoalloxazines,3,Sub.Class,12,0.312321421676216,5392315.909726468,3716620.9596331576,-0.5369134573791269,0.9713564098119526,1,FALSE,FALSE,FALSE,Higher in Females
