Compound.ID,Name,gene,cell_type,logFC,adj.P.Val,FDR_global,n_samples,n_nonzero,max_cooks,cooks_flag,loo_unstable
Amide-Pos-000710,Meglumine,MEIS2,IN-CGE-Immature,-1.3187499628750423,2.0899218926573422e-13,1.7164625845448117e-9,17,17,0.9759550884743252,TRUE,FALSE
C8-Pos-005561,Pc(22:5cooh_25:8),SOX2-OT,EN-L6b,-1.2020184272353374,9.92062285127353e-12,2.736216898873443e-8,19,19,23.992495421287675,TRUE,TRUE
Amide-Neg-000118,3-Hydroxybutyric Acid,CORT,IN-MGE-SST,-2.7540204738794967,3.6905224703346486e-11,3.302364742685528e-8,13,8,0.39090399740997706,TRUE,FALSE
C8-Neg-003398,Pi(22:0_12:1),ENSG00000233005,EN-L6b,-1.4899699541770652,4.5707817107943645e-9,5.960623981691482e-7,19,5,9.628913867688102,TRUE,TRUE
Amide-Neg-000089,Methanesulfonic Acid,RBFOX1,IN-CGE-Immature,-1.0863816585413872,6.089467433843834e-9,8.546927929919138e-7,17,17,0.7236820847096949,TRUE,FALSE
C8-Pos-001592,"2-[{[(1s,4s,6s)-4-({5-[4-(Dimethylamino)Phenyl]-1,3,4-Oxadiazol-2-Yl}Methyl)-6-Isopropyl-3-Methyl-2-Cyclohexen-1-Yl]Methyl}(Methyl)Amino]Ethanol",GPC5,EN-Newborn,-0.7652174009751883,1.1662239267486098e-8,1.0092121298919059e-6,20,20,0.3472812185897688,TRUE,FALSE
C18-Pos-001811,N-Acetyl-1-Aspartylglutamic Acid,IMMP2L,EN-IT-Immature,-1.0144277716913277,1.4162203091576608e-8,1.1313800161153735e-6,20,20,13.73245939976248,TRUE,FALSE
Amide-Pos-001387,Asp-Pro-Asn,EBF1,EN-L6-IT,-2.4062296242876955,2.4661801743076715e-8,1.6277651918056477e-6,21,13,5.422627148700691,TRUE,TRUE
C18-Pos-002092,Adenosine 3'5'-Cyclic Monophosphate,RARB,IN-CGE-Immature,-2.590475385795328,3.985605440650148e-8,3.021799280526909e-6,17,16,0.6601324338292983,TRUE,FALSE
C8-Pos-004574,1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,TSHZ2,EN-L6-IT,-1.3535154684930393,7.598331793401934e-8,3.4123781082687842e-6,21,18,65.31481125954413,TRUE,FALSE
Amide-Pos-000091,1-Aminocyclopropanecarboxylic Acid,TSHZ2,EN-L6-IT,-2.526075524015369,1.2730529649720622e-7,4.684834878466101e-6,21,18,2.3453265588823866,TRUE,TRUE
Amide-Neg-000149,2-Furoic Acid,ENSG00000253901,EN-Newborn,-1.5499030030676957,1.9601830646046588e-7,5.912742057963403e-6,20,17,0.36158898373424037,TRUE,FALSE
C18-Pos-001113,Methyl L-Tryptophanate,P3H2,EN-Newborn,-1.2951505894108966,2.2776571416037997e-7,7.238254189198432e-6,20,16,5.376438380873238,TRUE,FALSE
Amide-Pos-000690,Gly-Asp,SPON1,EN-Newborn,1.9718148935218187,3.908554237594318e-7,9.507947136854503e-6,20,20,0.4939590919118707,TRUE,FALSE
C8-Neg-003656,Pe(19:1cooh_28:3),ENSG00000233005,EN-L6b,-2.1162734072837805,3.937844357192318e-7,9.91872863826169e-6,19,5,3.1139268623760645,TRUE,TRUE
Amide-Pos-000658,Trans-3-Indoleacrylic Acid,TRPC3,EN-IT-Immature,-1.0426082019277898,3.476462373481957e-7,1.2481600383302064e-5,20,20,12.17725720507244,TRUE,TRUE
C8-Pos-000740,Geranylgeranylacetone,ENSG00000271774,IN-MGE-SST,3.5134047901557315,6.3673976167444e-7,1.7324070959023734e-5,13,5,0.7185082408329369,TRUE,FALSE
C8-Pos-001597,Bis(2-Ethylhexyl) Sebacate,MALAT1,IN-MGE-Immature,0.36725867682037094,7.237638925576912e-7,1.9129428233712738e-5,18,18,0.4789696393843944,TRUE,FALSE
C8-Pos-005013,Pc(18:2_20:4cooh),LINC00486,EN-Newborn,-0.8439333381304647,1.6642393675826338e-6,2.5413250698833372e-5,20,20,0.2604366655586697,TRUE,FALSE
Amide-Neg-000171,Glutaric Anhydride,ADGRG7,EN-IT-Immature,-1.8427253004751427,2.7824315914338475e-6,3.665344268585561e-5,20,6,66.74169465190121,TRUE,TRUE
