Compound.ID,Name,Super.Class,Class,n_genes,n_cell_types
C8-Pos-004641,N-Nervonoyl-D-Erythro-Sphingosylphosphorylcholine,Lipids and lipid-like molecules,Sphingolipids,12,3
C8-Pos-005260,Tg(15:0_15:0_24:6),Lipids and lipid-like molecules,Glycerolipids,12,2
Amide-Neg-000145,Histamine,Organic nitrogen compounds,Organonitrogen compounds,11,2
Amide-Neg-002218,Cytidine-5'-Monophospho-N-Acetylneuraminic Acid,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,11,4
Amide-Pos-000621,Citrulline,Organic acids and derivatives,Carboxylic acids and derivatives,11,4
C18-Pos-001439,Phenylacetylglutamine,Organic acids and derivatives,Carboxylic acids and derivatives,11,6
C8-Pos-001012,2-Arachidonoyl Glycerol,Lipids and lipid-like molecules,Endocannabinoids,11,2
C8-Pos-003575,Dg(21:1_19:4),Lipids and lipid-like molecules,Glycerolipids,11,2
Amide-Neg-000094,Levulinic Acid,Organic acids and derivatives,Keto acids and derivatives,10,3
Amide-Pos-000781,Phosphoserine,Organic acids and derivatives,Carboxylic acids and derivatives,10,3
Amide-Pos-001042,Lhnfrfaovvpesm-Crgcijnfna-N,Organic oxygen compounds,Organooxygen compounds,10,4
Amide-Pos-001139,N-Acetyl-D-Glucosamine 6-Phosphate,Organic oxygen compounds,Organooxygen compounds,10,3
C18-Neg-000965,"2-(6-Hydroxy-1-Methyl-2-Methylidene-9-Propan-2-Yl-5-Oxatricyclo[5.4.0.03,8]Undecan-4-Yl)Acetic Acid",Lipids and lipid-like molecules,Prenol lipids,10,2
C18-Neg-001236,"5,5-Dimethyl-2-{[(2-Phenylacetyl)Amino]Methyl}-1,3-Thiazolane-4-Carboxylic Acid",Organic acids and derivatives,Carboxylic acids and derivatives,10,5
Amide-Neg-000291,Dl-Pyroglutamic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,9,2
Amide-Pos-000171,Cytosine,Organoheterocyclic compounds,Diazines,9,3
Amide-Pos-002283,2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphoserine,Lipids and lipid-like molecules,Glycerophospholipids,9,2
C18-Neg-000934,Yrquylsqfnxrba-Izzdovswsa-N,Lipids and lipid-like molecules,Prenol lipids,9,2
C18-Pos-001000,2-Hydroxy-3-Methoxy-4-(1-Methoxypropan-2-Yl)-2h-Furan-5-One,Organoheterocyclic compounds,Dihydrofurans,9,3
C18-Pos-001412,Glucose 1-Phosphate,Organic oxygen compounds,Organooxygen compounds,9,2
C8-Pos-001060,Vitamin D3,Lipids and lipid-like molecules,Steroids and steroid derivatives,9,2
C8-Pos-004446,Pc 38:4,Lipids and lipid-like molecules,Glycerophospholipids,9,2
Amide-Neg-000402,Allopurinol,Organoheterocyclic compounds,Pyrazolopyrimidines,8,2
Amide-Pos-000349,L-Hydroxyproline,Organic acids and derivatives,Carboxylic acids and derivatives,8,5
Amide-Pos-000383,Adenine,Organoheterocyclic compounds,Imidazopyrimidines,8,3
