gene,logFC,adj.P.Val,t
LINC01242,0.157,2.46e-01,5.06
AL627309.1,0.018,1.00e+00,0.7
AL627309.5,0.006,1.00e+00,0.22
LINC01409,0,1.00e+00,0.06
LINC01128,-0.003,1.00e+00,-0.34
LINC00115,-0.008,1.00e+00,-0.45
FAM41C,-0.019,1.00e+00,-0.67
AL645608.6,-0.011,1.00e+00,-0.67
AL645608.2,0.034,1.00e+00,1.18
SAMD11,0.022,1.00e+00,0.7
