gene,logFC,adj.P.Val,t
LINC01242,0.163,1.14e-01,5.29
NOC2L,-0.025,6.75e-01,-2.19
AGRN,-0.027,6.75e-01,-2.79
B3GALT6,-0.05,6.75e-01,-2.44
UBE2J2,-0.024,6.75e-01,-2.36
DVL1,-0.033,6.75e-01,-2.57
AURKAIP1,-0.057,6.75e-01,-2.22
MRPL20,-0.041,6.75e-01,-2.6
SSU72,-0.033,6.75e-01,-2.52
NADK,-0.018,6.75e-01,-2.28
