gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
AL627309.1,0.017811039557956886,0.19983115357760817,0.7018426388965017,0.48699853597935305,0.9999590081187936,-5.843747974982837
AL627309.5,0.00559429618005517,0.9132755305781844,0.2238130660635844,0.824086148904536,0.9999590081187936,-6.131328598852954
LINC01409,4.987568346032425e-4,4.484388353262848,0.056039191918067194,0.9556003938039075,0.9999590081187936,-6.7844165822978235
LINC01128,-0.0027361546418118556,4.481233703203706,-0.34070165351195697,0.735180329268424,0.9999590081187936,-6.729464965591115
LINC00115,-0.008110017225454758,1.9589011726763488,-0.4470627859142788,0.6573346370311891,0.9999590081187936,-6.235130252003904
FAM41C,-0.019402139658833476,0.2355586672076483,-0.6676768396558586,0.5083225164497527,0.9999590081187936,-5.813722896182442
AL645608.6,-0.011468299590980807,1.7660542931655938,-0.6674078063275103,0.5084924267864733,0.9999590081187936,-6.080188848690047
AL645608.2,0.03444414836427221,0.23503137208190464,1.1821471862327722,0.2443969504383187,0.9999590081187936,-5.380330521385913
SAMD11,0.022254127943351795,-0.6560751648066244,0.7048956414428635,0.4851177883097456,0.9999590081187936,-5.661333977548743
NOC2L,-0.018199361678501294,4.273627224923717,-1.6490917901759254,0.10726580475293639,0.9999590081187936,-5.4108619839280685
KLHL17,0.016884579223806394,1.9489562663484699,1.0929038278004923,0.28122731014689795,0.9999590081187936,-5.8129413220782995
PLEKHN1,0.009721283523177178,-0.5237021480026578,0.3912705687466653,0.6977542855592853,0.9999590081187936,-5.892220735169609
AL645608.7,0.012545147242913371,0.2813405031245252,0.5623413075769077,0.577143159831373,0.9999590081187936,-5.956613139484829
HES4,-0.008953443872085921,6.008002761273547,-0.6044771007936962,0.5490723616413924,0.9999590081187936,-6.784944507517049
ISG15,-0.025969024580897553,1.6800958871448313,-1.2900021823401713,0.2047444946223712,0.9999590081187936,-5.457031791922338
AL645608.1,0.045800815903751124,-0.3663760783062267,1.717326547026776,0.09395454127828021,0.9999590081187936,-4.613888734361491
AGRN,-0.022418706399141192,3.747764494958258,-2.2656057675177017,0.029180009765816684,0.9999590081187936,-4.241209478069119
