gene,logFC,adj.P.Val,t
AL627309.1,0.003,1e+00,0.01
AL627309.5,0.144,1e+00,0.67
LINC01409,-0.123,1e+00,-1.69
LINC01128,-0.077,1e+00,-1.07
LINC00115,-0.146,1e+00,-0.9
FAM41C,-0.119,1e+00,-0.46
AL645608.6,0.061,1e+00,0.38
AL645608.2,0.088,1e+00,0.31
SAMD11,-0.009,1e+00,-0.03
NOC2L,-0.107,1e+00,-0.96
