"gene","estimate","std_error","t_value","p_value","adj_p_value","r_squared","n_samples"
"AL445123.1",0.00201687751287264,8.15262825139889e-05,24.7389854005248,4.02033963550078e-67,1.33491357257168e-62,0.724266032423755,235
"FO393414.3",0.0023814428662854,9.87330511921487e-05,24.1200169297996,2.82657329752635e-65,3.12845132570216e-61,0.714031557138589,235
"ERFL",0.0022513402053472,9.3157655844868e-05,24.1669907312425,2.04346396799006e-65,3.12845132570216e-61,0.714825444637686,235
"AC010132.4",0.00219004295578656,9.31659995881607e-05,23.5068905552199,2.00028715041175e-63,1.66043836355679e-59,0.703401552750626,235
"AL035411.3",0.00230322554640185,0.000101050707660603,22.792770082696,3.02475517825418e-61,2.00867941877503e-57,0.690369714631231,235
"UST-AS1",0.00294767283184488,0.000129582797440264,22.7474085300846,4.16907020380601e-61,2.30716345078625e-57,0.689517385288963,235
"AC093390.1",0.00261394157139129,0.000115092561231068,22.7116465515382,5.36999263484015e-61,2.54721764924618e-57,0.688843319262896,235
"AC104167.1",0.00246674514031709,0.000109076600438822,22.6147966694344,1.06666369427487e-60,4.42718766308786e-57,0.68700844390656,235
"C10orf113",0.00133569916873546,5.91262463467194e-05,22.5906302406355,1.2661192073323e-60,4.67113579558464e-57,0.686548452020249,235
"AC233263.6",0.00209470839674021,9.37813667949773e-05,22.3360830442962,7.73482779056359e-60,2.56827221957873e-56,0.681650762185782,235
"AC007938.2",0.00275170857612856,0.000123783896261065,22.2299399133882,1.64880437605144e-59,4.79310869276121e-56,0.679579841347883,235
"AP001007.1",0.00292464201557068,0.000131604144373713,22.2230236706349,1.73224022145328e-59,4.79310869276121e-56,0.679444310439977,235
"AL626787.1",0.00257149780789436,0.000115801308131625,22.2061205472003,1.95440539119993e-59,4.99185204687712e-56,0.67911277121937,235
"PCSK9",0.003110883027856,0.000140338010141529,22.167073800738,2.58303696339354e-59,6.12622566660852e-56,0.678345247101567,235
"LINCADL",0.0020454210028985,9.25406800239422e-05,22.1029389709402,4.08537836241766e-59,9.04339354304774e-56,0.677079540024837,235
"GLIS3-AS1",0.00225543861412618,0.00010232414192686,22.0420965341525,6.31399655217163e-59,1.23323495010769e-55,0.675872995573042,235
"AC136944.2",0.00224803969681739,0.000101987339293061,22.0423408670132,6.30296197879006e-59,1.23323495010769e-55,0.675877852204909,235
"AC009686.1",0.00196345349194738,8.94440999718982e-05,21.9517384887797,1.20625972204599e-58,2.22514710060084e-55,0.674070636018307,235
"AL354936.1",0.0036979007907278,0.00016961646351336,21.8015439900769,3.54528908246819e-58,6.19567256285652e-55,0.671046742980925,235
"AC009509.1",0.00216516470310925,9.93967368448153e-05,21.7830561831184,4.04913570846871e-58,6.72237510319976e-55,0.670672093385985,235
"AC090136.3",0.00274080160785477,0.000125866023077311,21.7755478471842,4.27370792885431e-58,6.75734276522279e-55,0.670519786478649,235
"AL355581.1",0.00285652416499247,0.000131219956212268,21.7689766667169,4.48047078603852e-58,6.76225236271013e-55,0.670386417303651,235
"CMTM2",0.00277429474150248,0.000127564037605879,21.7482512592924,5.20060266068231e-58,7.50786133675197e-55,0.669965329130209,235
"AC079061.1",0.00296541899704769,0.000136784967043808,21.6794218044294,8.5344480503264e-58,1.18074088776266e-54,0.668562041231674,235
"AC099684.2",0.00179850027822984,8.30410342584672e-05,21.6579705959823,9.96018581843861e-58,1.32287203966174e-54,0.668123169308154,235
"LINC00951",0.00266147835696279,0.000123021362247214,21.6342780501364,1.18139701490716e-57,1.50411513488827e-54,0.667637596030484,235
"AL136369.1",0.00377369056896505,0.000174469889217709,21.6294661840252,1.22307880502299e-57,1.50411513488827e-54,0.667538869361282,235
"AL139275.1",0.00361150494107494,0.000167019972230671,21.623192082005,1.27964862976886e-57,1.51748046795876e-54,0.667410086398873,235
"TAGAP",0.00245083526936851,0.000114113450055083,21.4771814206431,3.66952560698286e-57,4.20148028462962e-54,0.664395368350384,235
