gene,logFC,adj.P.Val,t
AL627309.1,0.06,1e+00,0.27
AL627309.5,0.167,1e+00,0.85
LINC01409,-0.152,1e+00,-2.17
LINC01128,-0.097,1e+00,-1.42
LINC00115,-0.001,1e+00,-0.01
FAM41C,-0.029,1e+00,-0.11
AL645608.6,0.11,1e+00,0.75
AL645608.2,0.234,1e+00,0.86
SAMD11,0.325,1e+00,0.99
NOC2L,-0.056,1e+00,-0.52
