"gene","estimate","std_error","t_value","p_value","adj_p_value","r_squared","n_samples"
"USP9Y",0.291436805653216,0.0487762610004921,5.97497224418812,8.5505520122039e-09,9.46375096710727e-05,0.132862874386442,235
"UTY",0.280929921511106,0.0464910499317709,6.042666748189,5.95720974008656e-09,9.46375096710727e-05,0.135480329862034,235
"TTTY14",0.290848508043654,0.0476328905530146,6.10604363218195,4.23655323800579e-09,9.46375096710727e-05,0.137943055176359,235
"PTCHD1-AS",0.286196997406138,0.0490218499077557,5.83815172101165,1.75994124919203e-08,0.000116874178476344,0.127615332768993,235
"KDM5D",0.247927722558301,0.0424607024807183,5.83899248183392,1.75221352139607e-08,0.000116874178476344,0.127647399395447,235
"ANKRD18A",0.208061656737443,0.0367927220822357,5.6549677480346,4.54261297854734e-08,0.00025138820223281,0.120683907916947,235
"TTTY10",0.208635884005316,0.0372442327816503,5.60183063048913,5.95706606014697e-08,0.000282569173515886,0.118694478796794,235
"NLGN4Y",0.283064452031729,0.051497620832564,5.49665105795987,1.01328853612157e-07,0.000420565406917258,0.114785945268204,235
"AC004470.1",0.191200595443054,0.035075894026241,5.45105408574941,1.27284610346431e-07,0.000469595355771433,0.113103952220918,235
"PTPRB",0.179423632773225,0.0331061917552177,5.41963974895865,1.48822357457176e-07,0.000494149755700807,0.111949596727134,235
"TSIX",-0.344390174204192,0.0654082938365,-5.26523708239597,3.17864917540146e-07,0.000959489702000273,0.106330285948015,235
"COBL",0.206404579635611,0.0401699518200909,5.13828297728697,5.86182017648245e-07,0.00157754806731699,0.101780082053083,235
"PRKY",0.25012614829508,0.0489313228422204,5.11177981232216,6.65150974052461e-07,0.00157754806731699,0.100838433678705,235
"DDX3Y",0.214106286414538,0.0418429935282992,5.11689696077156,6.4914077901983e-07,0.00157754806731699,0.101020018401081,235
"ADD3-AS1",0.157168633806426,0.0308982619322271,5.08664966822932,7.49500585532104e-07,0.00165909449613387,0.0999482542194988,235
"VWC2L",0.213219413808099,0.0423975298996438,5.02905273757212,9.83792426518304e-07,0.00192152021941846,0.097917988109885,235
"ADARB2",0.263887813153699,0.0524439669548193,5.03180496206626,9.71138591747011e-07,0.00192152021941846,0.0980146840925423,235
"AC010889.2",0.139290953914849,0.0280992409339586,4.95710735539879,1.3774210661574e-06,0.00254088272670502,0.0954017758116704,235
"ZFY",0.193150596327231,0.0391016331175506,4.93970662930026,1.4934250654363e-06,0.00260987820382879,0.0947965620662165,235
"PDZRN3",0.241788251308537,0.0491831401643913,4.91607999205371,1.66616504795859e-06,0.00276616721262085,0.0939769228315282,235
"AL353658.1",0.0745975498457163,0.0152507572219429,4.89139973577082,1.86720257670734e-06,0.00295231401699955,0.0931233538176336,235
"XIST",-0.446279152102066,0.0920411529051101,-4.8486914604618,2.27177365218834e-06,0.00342872601578462,0.0916526700539065,235
"BRINP2",0.184299496007107,0.0386443762159037,4.76911556231203,3.26267743036556e-06,0.00471017136512426,0.0889343329585511,235
"ABI3BP",0.240423352113499,0.0508366668774417,4.72932957412645,3.90340188440728e-06,0.00540035650707747,0.0875860894885702,235
"AL157834.2",0.0966357897075073,0.0205218534023774,4.70892115895888,4.27756301649066e-06,0.00568128809598223,0.086897347798378,235
"IQCJ",0.123290358907878,0.026274589977477,4.69237993869987,4.60597784184771e-06,0.00583696895135791,0.0863405422628603,235
"NT5DC3",0.183599594077138,0.0391833464471408,4.68565374641542,4.74636073023321e-06,0.00583696895135791,0.0861144939397711,235
"DGKB",0.190807994516685,0.0408072491780586,4.67583574879336,4.95870072755603e-06,0.00588031067706322,0.0857849205598475,235
"CLUL1",0.120025559991754,0.0258845119350121,4.6369643860043,5.89285445862004e-06,0.00674711515324206,0.0844845468279464,235
"C1RL-AS1",0.09948239844539,0.0216274488950025,4.59982122386971,6.94239341328739e-06,0.00756323921395294,0.0832487103061793,235
"SYT17",0.142882790824884,0.0310887620819506,4.59596269701065,7.06120996363514e-06,0.00756323921395294,0.0831207079221785,235
"SLC24A3",0.199731320143357,0.0437784689895572,4.56231852673971,8.18355603127288e-06,0.00849146232694952,0.0820076465674133,235
"GRIP2",0.178080264236239,0.0391872992885645,4.54433623825171,8.85189811369958e-06,0.0086446595578612,0.0814149855909185,235
"NETO1",0.213634428061454,0.046971609067836,4.54816073583779,8.70550003269689e-06,0.0086446595578612,0.0815409015599773,235
"TMEFF2",0.232518188643468,0.0513320033475336,4.52969246240494,9.43464327072803e-06,0.00895051129032153,0.0809335218541174,235
"AC145124.1",0.145320976650647,0.0321786259906282,4.51607152813082,1.00096668877334e-05,0.00898272917135947,0.0804866312716718,235
"FAM106C",0.0990998035340365,0.021927786981724,4.51937095232785,9.86736236263203e-06,0.00898272917135947,0.080594798739642,235
"CDH13",0.225959821533815,0.0502282103553599,4.49866359830801,1.07937378281033e-05,0.00943145449590376,0.0799168222578518,235
"MET",0.171459635409238,0.0382686094280702,4.48042502645711,1.16784106654081e-05,0.00994281917267206,0.079321431224514,235
"DNAH7",0.207512513423642,0.0463880449478679,4.47340502616245,1.20371498081767e-05,0.00999203805576748,0.0790927060313363,235
"FMN1",0.169774794989953,0.0380098056021186,4.46660519043775,1.23947147639659e-05,0.0100379050981152,0.0788713880500636,235
"NPM2",0.200812539868515,0.0452274811637891,4.4400557957513,1.3890946385651e-05,0.0105255866130981,0.0780094811599971,235
"LINC01482",0.150761666115599,0.0339141180756731,4.44539544797249,1.35767346171965e-05,0.0105255866130981,0.0781825456317369,235
"CACNG2",0.189285909516833,0.0426406001911301,4.43910049737546,1.39478921508347e-05,0.0105255866130981,0.0779785338926823,235
"DGKA",0.14062464263281,0.0317418855818293,4.43025485270198,1.44859380179551e-05,0.0106886907988485,0.0776921935496598,235
"C8orf87",0.0598947421455087,0.0135970199886332,4.40499037256541,1.61346055965479e-05,0.011646379222343,0.076876534369361,235
"CPNE7",0.1670706639416,0.0381677804074163,4.3772695754961,1.8150392945876e-05,0.0128226733484014,0.0759852941964433,235
"TRIM73",0.175924891851917,0.0404271054654149,4.35165688531473,2.02258221721372e-05,0.0134315639880728,0.0751653144935366,235
"PSCA",0.0568151273053677,0.0130539917304277,4.35231831600879,2.01694741326375e-05,0.0134315639880728,0.0751864476497567,235
"MEG3",0.234576433368814,0.0538827475664042,4.35346087501803,2.00724924324537e-05,0.0134315639880728,0.0752229584700676,235
"THRB",0.229239384213898,0.0527921858499502,4.34229764354633,2.10394967525627e-05,0.0134345278879248,0.0748665213575998,235
"NR3C1",0.182974155842694,0.042122155407468,4.34389347061413,2.08985753488301e-05,0.0134345278879248,0.0749174361736932,235
"SPECC1",0.155507802907914,0.0361063359903473,4.30693945100072,2.44057664202562e-05,0.0152899824192111,0.0737417910317955,235
"KLHL4",0.204792985233003,0.0481094692107159,4.25681240289775,3.00731996663803e-05,0.0184916763281943,0.0721584072550216,235
"LRRTM3",0.197618705396253,0.0465751306116502,4.24300915104296,3.18426026106593e-05,0.0188803888765059,0.0717247107464105,235
"GSTT2B",0.118696434226362,0.0279633945221122,4.24470763492258,3.16196247991469e-05,0.0188803888765059,0.0717780227524548,235
"PHLDB2",0.161702491038386,0.0382713856489776,4.22515381390967,3.42794861178326e-05,0.0199687027553774,0.0711651894594855,235
"PTCHD1",0.18343674205003,0.0434729493024053,4.21956055417387,3.5078833505769e-05,0.0200820273745785,0.0709902640981647,235
"CDH9",0.211503591719349,0.0503440368599817,4.20116472398883,3.78353814841889e-05,0.0212929831661188,0.070416118790631,235
"MYRFL",0.145480873510567,0.0347515602787982,4.18631199127265,4.02108151442948e-05,0.0218878673123141,0.0699538709976767,235
"LGI4",0.186789474256429,0.0446159298298673,4.18660946815875,4.01618710815991e-05,0.0218878673123141,0.0699631175319628,235
"LINC01446",0.0834994641413078,0.0199748769665001,4.18022420269946,4.1225044179119e-05,0.0220780059181204,0.0697647470094532,235
"RAPGEF4",0.169618316644746,0.0407299254768191,4.16446420313934,4.39653929632382e-05,0.022458875506944,0.0692760675555493,235
"KCNIP4",0.212089084075567,0.0509190254132142,4.16522276996541,4.38296022762041e-05,0.022458875506944,0.0692995583339246,235
