gene,logFC,adj.P.Val,t
AC013265.1,0.102,1.79e-01,4.81
LINC01242,0.155,1.79e-01,4.79
DDX11,0.09,1.79e-01,4.87
LINC02503,0.07,4.03e-01,4.38
LINC01446,0.14,4.03e-01,4.36
LINC02484,0.095,4.10e-01,4.25
AC107419.1,0.117,4.10e-01,4.27
TACR3,0.079,5.31e-01,4.12
NOC2L,-0.021,8.06e-01,-1.87
AL645608.1,0.054,8.06e-01,2.06
