gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
AL627309.1,0.06020594402934287,0.11743562030474873,0.27053735792458716,0.7881476262454515,0.9999205122474035,-4.6837786945004645
AL627309.5,0.16696280661440902,0.8863023236045134,0.851939896887607,0.3993546547670631,0.9999205122474035,-4.640803945488429
LINC01409,-0.15229531326592555,4.528163816844068,-2.167559889351594,0.03624413090850763,0.9999205122474035,-3.845868953872414
LINC01128,-0.09671800010768673,4.457165610802116,-1.4193871579648842,0.16358625839681895,0.9999205122474035,-4.444403398774037
LINC00115,-0.0011034880271560818,1.8797568349093734,-0.006882813050123783,0.9945428039411177,0.9999205122474035,-4.759360993093667
FAM41C,-0.028522407875017065,0.18939404672005128,-0.11274828118931743,0.91079799082606006,0.9999205122474035,-4.689929077105176
AL645608.6,0.11041164054839758,1.7654299785983327,0.7524852112138302,0.4561955458205571,0.9999205122474035,-4.678727027050716
AL645608.2,0.23384020582635798,0.23103128759652733,0.8635578948212338,0.393015201252217,0.9999205122474035,-4.626288041186178
SAMD11,0.3253718119804712,-0.782333680536786,0.9862921872380266,0.3299594828682808,0.9999205122474035,-4.602459078822951
NOC2L,-0.056088601077849735,4.2582492791335484,-0.5241298894524461,0.6031007046035688,0.9999205122474035,-4.851301777682231
KLHL17,-0.03105808670192072,1.8859867060158433,-0.22831638679684188,0.8205715598296749,0.9999205122474035,-4.749626492191365
PLEKHN1,0.15113896211443428,-0.6368410197552452,0.6740452131283318,0.5041863281219748,0.9999205122474035,-4.640054473738439
AL645608.7,0.16344980152491437,0.1923390582931131,0.8541063832196065,0.3981676725277854,0.9999205122474035,-4.628942497793031
HES4,-0.09652759435641335,6.012896564951082,-0.6258554025131191,0.5349895002631431,0.9999205122474035,-4.9252867432347465
ISG15,-0.0030637843628779473,1.662536682215285,-0.016252286221258683,0.9871144796544181,0.9999205122474035,-4.74739208342571
AL645608.1,0.663739847844492,-0.43667812571499903,2.9459711543993845,0.005362512623690396,0.9999205122474035,-4.06633751447237
AGRN,-0.08634699316237572,3.7923622753354587,-0.920620319994296,0.3628060899840301,0.9999205122474035,-4.695454953708454
C1orf159,-0.06128843223848936,5.014375845890273,-0.8874598478468417,0.3801733683861004,0.9999205122474035,-4.764337895899762
AL390719.3,0.0991258883513151,2.193546983883031,0.7458196710094365,0.46016727027261617,0.9999205122474035,-4.69618305919737
LINC01342,0.03458710227531494,-0.10610506184263432,0.0965654237264339,0.9235570761874308,0.9999205122474035,-4.681792133124033
SDF4,-0.014700835730277943,4.809208867255642,-0.19737187715796126,0.844543025213401,0.9999205122474035,-4.959855075168685
B3GALT6,-0.08696885305769365,3.816433790606,-0.4504250196209633,0.6548528823097122,0.9999205122474035,-4.8455343407799925
UBE2J2,-0.05458330323794799,4.103998532104192,-0.5770737702325789,0.5671459705943189,0.9999205122474035,-4.827476942904078
LINC01786,-0.11460454119654864,1.0912222886525174,-0.7140116447673899,0.4793946739632641,0.9999205122474035,-4.66319412254004
SCNN1D,0.009858391354251258,1.203880749353761,0.05132705843857322,0.9593221468929534,0.9999205122474035,-4.726007844512414
ACAP3,0.04065327501340568,5.352037010607183,0.5908214286489258,0.5579869833521317,0.9999205122474035,-4.907465414131264
PUSL1,0.03350426370682761,0.8206015398888216,0.1516114752511177,0.8802607661164628,0.9999205122474035,-4.70689336499558
INTS11,0.061433015571058354,4.010902634547291,0.7984813025460971,0.4293394380477735,0.9999205122474035,-4.759318572357361
CPTP,0.054248156241891,2.3096715466941227,0.31685695194557617,0.7530114575722882,0.9999205122474035,-4.768796762182882
TAS1R3,-0.16167849343529217,-0.5916420005464701,-0.5406449672802088,0.5917711867186632,0.9999205122474035,-4.651124314458644
DVL1,-0.0269234730453037,2.9732702644873625,-0.21598377493769147,0.8301056702449323,0.9999205122474035,-4.821703633255852
MXRA8,0.4245688773341326,0.6451281805003891,1.167159579481828,0.25010467237016537,0.9999205122474035,-4.570264206447259
AURKAIP1,-0.03615389960181899,4.876615874887052,-0.15108385465255558,0.8806742238211828,0.9999205122474035,-4.961834900408599
CCNL2,-0.035262287537629104,6.154256822358286,-0.4296933670070507,0.6697406592847914,0.9999205122474035,-4.99943888281217
MRPL20-AS1,-0.1647889460212418,2.031480479015255,-0.9655585085996559,0.34010703506061934,0.9999205122474035,-4.629242771214193
MRPL20,-0.01580315582291727,5.323790494034231,-0.10103235701164401,0.9200330146481502,0.9999205122474035,-4.994567489877755
AL391244.2,0.15820461850497128,0.39165534289713017,0.754661098784703,0.4549033677167953,0.9999205122474035,-4.646541337314728
ANKRD65,0.39826889810621313,0.049346642023287174,1.5973371123409885,0.11811617690664637,0.9999205122474035,-4.468765040549515
VWA1,0.0631484005061585,0.881007086086254,0.200675441416719,0.8419763185735831,0.9999205122474035,-4.712175323350949
ATAD3C,0.22391104384918933,0.5972726923143854,0.9118239027460854,0.36736209281567234,0.9999205122474035,-4.6241551943149295
ATAD3B,0.06395025459374802,3.0519263966199963,0.6784044080084706,0.5014485524547952,0.9999205122474035,-4.7499051722654
ATAD3A,-0.014569730694589281,2.7010792308550435,-0.10258280188038407,0.9188102120850599,0.9999205122474035,-4.808480727090907
TMEM240,0.0023018775506977755,3.7040835809168704,0.01563489152134155,0.987603935365915,0.9999205122474035,-4.888049708854983
SSU72,0.040089726208316814,5.284862814535371,0.31999969175580295,0.7506456912418614,0.9999205122474035,-4.974525968587047
AL645728.1,-0.18246090632929568,1.1368606732350206,-0.8760709541476738,0.3862585826542432,0.9999205122474035,-4.634731583634328
FNDC10,0.016534189294184817,1.2531781326539115,0.06610017613947165,0.9476296343974767,0.9999205122474035,-4.728835952988089
AL691432.4,0.18255521524144067,0.42541570416014923,0.8331096972984957,0.4097642488202018,0.9999205122474035,-4.634562232219241
AL691432.2,-0.2561165752017534,2.3373797516820143,-1.047772940942875,0.30107682275163905,0.9999205122474035,-4.610721473802754
MIB2,0.0374302807473212,3.0596131543282086,0.4117852485602418,0.6827104321448995,0.9999205122474035,-4.800977116498869
MMP23B,0.10817502342762403,-0.7310000646839434,0.3709761003922512,0.7126265178314943,0.9999205122474035,-4.662370309871705
CDK11B,-0.009308330769676335,4.9117114720197055,-0.07590011001183528,0.939879551589567,0.9999205122474035,-4.969400654836167
FO704657.1,-0.011788889559496906,-0.03232610085911587,-0.05373334949232545,0.957416945528103,0.9999205122474035,-4.686151427178502
SLC35E2B,-0.017493276156744036,5.1200250072684845,-0.3093637163652696,0.7586618396906586,0.9999205122474035,-4.962751775608281
CDK11A,-0.1200634871183088,4.459032169266937,-0.8892931468554798,0.37919956051678894,0.9999205122474035,-4.734855773371943
SLC35E2A,-0.040416493803689356,5.0655584466584545,-0.5494201126197256,0.5857928999032282,0.9999205122474035,-4.898390511772143
