gene,logFC,adj.P.Val,t
AC073050.1,-4.491,8.11e-01,-4.28
NEUROD1,9.593,8.11e-01,4.13
PRKG2,-5.266,8.11e-01,-3.98
NPY2R,18.456,8.11e-01,4.74
AL589693.1,6.901,8.11e-01,4.05
TGFBR1,-3.963,8.11e-01,-4.16
TRIM22,17.624,8.11e-01,4.44
SOX5,-3.656,8.11e-01,-4.48
IRAK3,8.502,8.11e-01,4.03
BAIAP3,11.711,8.11e-01,4.04
