gene,logFC,adj.P.Val,t
AL627309.1,-0.065,1e+00,-0.26
AL627309.5,0.128,1e+00,0.56
LINC01409,-0.137,1e+00,-1.77
LINC01128,-0.04,1e+00,-0.54
LINC00115,-0.199,1e+00,-1.16
FAM41C,-0.027,1e+00,-0.1
AL645608.6,0.088,1e+00,0.52
AL645608.2,0.17,1e+00,0.59
SAMD11,0.055,1e+00,0.2
NOC2L,-0.025,1e+00,-0.23
