gene,logFC,adj.P.Val,t
NEUROD1,9.84,5.76e-01,4.55
NPY2R,18.494,5.76e-01,4.69
AL589693.1,6.938,5.76e-01,4.43
TRIM22,17.561,5.76e-01,4.39
SOX5,-3.597,5.76e-01,-4.37
IRAK3,8.574,5.76e-01,4.39
ADGRL2,-5.529,6.44e-01,-3.91
LINC02591,10.732,6.44e-01,4.1
AC073050.1,-4.454,6.44e-01,-4.19
LINC02008,-7.235,6.44e-01,-3.97
