gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
AL627309.1,1.5162777679211552,0.21943822738339575,0.510091416605158,0.6139181195453028,0.9628559535675761,-4.673895533993354
AL627309.5,4.556986300331702,0.9861487723615066,1.8535883584250228,0.07418358243155959,0.9426565410753238,-4.359668288512851
LINC01409,-0.5373327314392985,4.428365729176807,-0.4810287155956161,0.6341711637973624,0.9628559535675761,-4.890796450142499
LINC01128,0.16962082501677048,4.522803086905228,0.19290003533592437,0.8484062954126793,0.9876578948593504,-4.949006640959335
LINC00115,2.8924659388470757,1.917515519116949,1.2604753774351936,0.21772759648460688,0.9426565410753238,-4.538620443540162
FAM41C,1.7050421546389287,0.1809496674595089,0.5198686128277931,0.6071727303301049,0.9628559535675761,-4.671100866569152
AL645608.6,2.358738101059889,1.7534880400769004,1.1355712148279389,0.26560240377449895,0.9426565410753238,-4.579723626443744
AL645608.2,8.529294551604247,-0.04660194600419639,2.27752117181067,0.03045361791834397,0.9426565410753238,-4.284725629257422
SAMD11,4.6445218955694525,-0.7935485766390284,1.3539295530806297,0.18640599132616492,0.9426565410753238,-4.542477141583877
NOC2L,0.45720221943675354,4.147509094008669,0.30440218949226405,0.7630347056428837,0.980489367588002,-4.904964319271519
KLHL17,-0.33309371281705896,1.9919523552040923,-0.16936258596733525,0.8667086848842956,0.9888338495741441,-4.770325300788065
PLEKHN1,4.7892341310038775,-0.574873892886799,1.6216248625523018,0.11590396229747903,0.9426565410753238,-4.4826126684200185
AL645608.7,3.9581300164871327,0.1457463760892656,1.1798467756660174,0.24782281557000438,0.9426565410753238,-4.569735425531602
HES4,-0.17676200886051388,6.00064559171257,-0.08995148505030245,0.9289553999368143,0.9942839605494151,-5.069264420649259
ISG15,5.133590795277107,1.5863391835657257,2.3188666934498965,0.027789159650887175,0.9426565410753238,-4.098547098524808
AL645608.1,6.031996129574445,-0.35259104753828896,2.0872213181081514,0.0459314194543301,0.9426565410753238,-4.3619805693831815
AGRN,-0.29781673248940216,3.664221651534702,-0.22312602500335493,0.8250300654594008,0.9858450844202258,-4.881278216853624
C1orf159,-0.786491878268324,4.990932680919292,-0.8449241551383767,0.40519552328565656,0.9426565410753238,-4.794154437446556
AL390719.3,1.6543712906861385,2.149065531782383,0.9041031659714749,0.3735251748210038,0.9426565410753238,-4.654439090232673
LINC01342,-5.603575763788348,-0.17990242708064783,-1.1940931428378014,0.2422926524059052,0.9426565410753238,-4.567739848624419
SDF4,0.6131573633014038,4.808622081634161,0.6526982993872021,0.5191850488031449,0.9534661311381937,-4.8634161130431
B3GALT6,2.203586854151007,3.724186626929455,0.9080925400346493,0.37144977117176103,0.9426565410753238,-4.706806770065221
UBE2J2,0.8746772143409791,4.078941400005936,0.7043015331719716,0.48696457045586716,0.9517518943916915,-4.80120468716416
LINC01786,-0.6047027852968838,1.075003637442868,-0.24589664284128385,0.8075257652172317,0.9849301646144674,-4.722819487308302
SCNN1D,1.0327643975332252,1.2533457565055592,0.4692029133719601,0.642496818405685,0.9633997964699262,-4.706092464643067
ACAP3,1.5297202216895651,5.382424574092871,1.617093005941755,0.11688245668563539,0.9426565410753238,-4.292150465486053
PUSL1,3.5248719965566293,0.7113143040652594,1.475023945248503,0.15117633445371378,0.9426565410753238,-4.489467843055156
INTS11,0.8681269471068712,4.062207706994904,0.878137425607019,0.3872175985356662,0.9426565410753238,-4.7335505011535854
CPTP,2.9086343994678088,2.19459893438496,1.4635572207864103,0.15426550156033092,0.9426565410753238,-4.456870822316549
TAS1R3,0.7552012421957476,-0.45432522995980557,0.20876574197871506,0.836117084448275,0.9865494075436457,-4.676376556534382
DVL1,1.6826592460211796,2.898047556270652,0.9417422904233355,0.35424479531452524,0.9426565410753238,-4.666190810246603
MXRA8,5.423613385584585,0.9673655038074608,1.125815030175815,0.26964173074105885,0.9426565410753238,-4.580510967219033
AURKAIP1,2.3526004866732957,4.719889316193978,0.8356531338880155,0.41030625680645005,0.9426565410753238,-4.783653336338699
CCNL2,-0.35117614774451444,6.1285599573935645,-0.32885403657792917,0.7446720385000436,0.9769517024335461,-5.045251437072531
MRPL20-AS1,0.4238624927253037,1.9615878815377858,0.1817791548053495,0.8570436702167157,0.9886160315081726,-4.7675801392550285
MRPL20,0.7989990091117234,5.245122111557315,0.40180077329388103,0.6908300714779751,0.9678711920969121,-4.965713737926813
AL391244.2,1.6813420873693001,0.5283242418468992,0.649459608734462,0.5212452918935897,0.9541903442142913,-4.663751809835319
ANKRD65,6.057628940853113,0.09300198607051496,1.6879348490404424,0.10234683812837798,0.9426565410753238,-4.451874906325865
VWA1,8.025291676003757,0.6652629609192249,2.134608682966281,0.041532277991242185,0.9426565410753238,-4.285107363572003
ATAD3C,6.371173537440841,0.6598042013068431,2.465286820172509,0.019970213907789212,0.9426565410753238,-4.169210684198312
ATAD3B,0.12100015155798778,3.109534487601015,0.08570491128285122,0.9323006863414736,0.9942839605494151,-4.8446105286704295
ATAD3A,-0.650457427183829,2.6949513724917806,-0.2986417563786387,0.7673816138161441,0.9809477835986017,-4.803735533410572
TMEM240,1.8405023954001432,3.61572702841329,1.0111892384911059,0.3204401567875868,0.9426565410753238,-4.659315460826102
SSU72,0.605812449511672,5.2132888808492455,0.36745466521261405,0.7159964875830466,0.9709273824415474,-4.971915223876995
AL645728.1,4.957243486296508,1.0723474562009299,1.7312366726973465,0.09423114682614714,0.9426565410753238,-4.3954089436337345
FNDC10,4.457554513725454,1.0900150444608703,1.257978494702214,0.21861615297792758,0.9426565410753238,-4.544942518404989
AL691432.4,3.3174832180922973,0.4523245877288763,1.0645728430892276,0.2960121987177664,0.9426565410753238,-4.593464277183792
AL691432.2,3.474671302403937,2.3459269688636883,1.1969499630926295,0.24119477744289378,0.9426565410753238,-4.5604477259497616
MIB2,0.18068483768657906,2.9680379804955956,0.13080054237238575,0.8968526662901417,0.9925283999955253,-4.8382092215500485
MMP23B,2.2445210397705098,-0.5027430565865819,0.5593823080849899,0.5802737211346302,0.9610130376480847,-4.655459544682296
CDK11B,2.167451899540575,4.848461062680435,1.4083558621814358,0.16984935615710384,0.9426565410753238,-4.4558508031017805
FO704657.1,0.3749524561344294,0.16980203416091802,0.12866976035507469,0.8985233162010597,0.9926120477388778,-4.6942545610391395
SLC35E2B,-0.2644476305272487,5.180338066872652,-0.314023245411235,0.7557921011447676,0.9795666757058173,-4.980667678217053
CDK11A,-0.5087057394232108,4.494739871911508,-0.31244715899366127,0.7569770311285478,0.9796144883480508,-4.929193086152416
SLC35E2A,0.7545354286072264,5.060776863934411,0.6904578059323174,0.49549532929291185,0.952670357158082,-4.864676244444487
NADK,1.2925442147294297,3.577486815308445,1.1973736754562803,0.24103225958404412,0.9426565410753238,-4.570456969114133
GNB1,0.595299455157892,7.791483281266692,0.8796934686191609,0.38638807487182825,0.9426565410753238,-4.923036874459115
AL109917.1,5.078782168714249,-0.4934268059571017,1.4227455892541114,0.16567173370285773,0.9426565410753238,-4.5265556246372105
TMEM52,5.9087514104951495,0.9430629606417412,2.106855876795123,0.044060792444364394,0.9426565410753238,-4.255822075726012
CFAP74,7.133953118224932,0.02627946123625933,1.938847586820424,0.06248670351632205,0.9426565410753238,-4.3805255066409226
GABRD,-0.09523155074412921,-0.14129898742079697,-0.022884633873891422,0.9819018864829674,0.9980326217932318,-4.688991260118824
PRKCZ,-0.5168995294477756,4.7511044093501,-0.38631628569299076,0.702133585510176,0.969502990920133,-4.934475283108159
AL590822.2,4.993948623435016,0.37327832984919923,1.8086006753574455,0.08108317406215491,0.9426565410753238,-4.40034378267987
PRKCZ-AS1,3.547611278558088,-0.17629450148376716,0.9776885462874582,0.33646068166326193,0.9426565410753238,-4.60660267390238
FAAP20,1.2953498893452597,5.154855320967189,0.7470259908677724,0.46117111134786015,0.947418565463443,-4.84742215069509
AL590822.1,4.416587092097886,-0.026532517157406486,1.3872017584631517,0.17614128054100184,0.9426565410753238,-4.527220696060997
SKI,0.9221502308169625,5.307668073782033,0.9238533269233848,0.36332435737150626,0.9426565410753238,-4.771904745727339
AL590822.3,4.063741316441409,-0.09175197986519859,1.3769140861169766,0.17926663056636416,0.9426565410753238,-4.530112212186696
MORN1,-0.4161956369487836,3.289959891814241,-0.2743573708693458,0.7857902873276532,0.9842087259046358,-4.8434558832275805
AL513477.2,6.977835169766872,-0.007849791398932686,1.9419837434849745,0.062088900273843305,0.9426565410753238,-4.379987417090381
RER1,0.736259049020679,4.851090428460574,0.5344329896218853,0.5971897749366821,0.96270534071950975,-4.904325512159801
PEX10,0.9820023121143275,3.5871218095272237,0.7664521440379006,0.4497140492192194,0.947411313653923,-4.752707211391642
PLCH2,4.080579832633195,2.06805632721643,1.856144004206648,0.07380726359925316,0.9426565410753238,-4.26803430884754
PANK4,1.5789584738816913,2.7938317631734457,1.0908366305349417,0.28448799462325536,0.9426565410753238,-4.60426008077604
HES5,2.881648158040668,2.999832559229144,0.6681759707377586,0.5094006369845272,0.9527846678476188,-4.741949658695491
AL139246.5,3.1342769413590847,-0.11485911929414692,0.9262356589659843,0.3621064201792221,0.9426565410753238,-4.614924309724185
TNFRSF14,3.8771020227012594,-0.531574759301466,1.021337749852764,0.31569228671134475,0.9426565410753238,-4.598458151764455
PRXL2B,1.7977050684129436,2.1621409097240014,0.5943655728313643,0.5569602047859634,0.9581557810413073,-4.7270881229180794
MMEL1,2.141665169850833,0.496891832689817,0.9123580091919316,0.36923908552832163,0.9426565410753238,-4.6249873304568565
