gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,sex
ACSF2,-0.7009552461204047,6.1352796328356565,-0.11077523110266016,0.9129974468514788,0.991988351524497,-4.5952679481304886,Astrocyte-Immature,M
ACSL1,12.032041629335982,4.635249958127301,1.7783503243460759,0.09192356324250658,0.991988351524497,-4.59490509694094,Astrocyte-Immature,M
ACSS2,13.86682960160791,6.055396337673318,1.931678386129526,0.06899495556236056,0.991988351524497,-4.594726173550433,Astrocyte-Immature,M
ACTA2,-0.9992790728953521,3.992010677625946,-0.13026940739418885,0.8977710227222713,0.991988351524497,-4.595224166247379,Astrocyte-Immature,M
ACTG1,0.9524630975587984,9.228864667456843,0.1389743186530188,0.890984613015687,0.991988351524497,-4.595576889648468,Astrocyte-Immature,M
ACTN4,4.551890953076741,7.210860203956109,0.981334018071041,0.33919293528937744,0.991988351524497,-4.595128087923362,Astrocyte-Immature,M
ACTR2,0.32818106767564453,8.07735942895731,0.08349584123986355,0.9343615964082393,0.991988351524497,-4.5954246004763215,Astrocyte-Immature,M
ACTR3C,18.016139673426647,4.716075026924346,2.738381958477529,0.013343177388291612,0.991988351524497,-4.594518340591886,Astrocyte-Immature,M
ACVR1,-3.6087572555242278,8.741929727668401,-0.6961526345581885,0.49505897021826917,0.991988351524497,-4.5952969082607655,Astrocyte-Immature,M
ADAM10,-0.615654775168674,9.839499054744518,-0.22544029958036246,0.8241289676952082,0.991988351524497,-4.595631630637058,Astrocyte-Immature,M
ADAMTS3,3.571312591361911,7.137083643145099,0.2368444916465151,0.8154018445783685,0.991988351524497,-4.595316075397665,Astrocyte-Immature,M
ADAMTS7,0.6141761110409449,5.3053227663526705,0.08210744115599171,0.9354504510836358,0.9922081189021935,-4.595244706764209,Astrocyte-Immature,M
ADCY1,4.750808845267065,6.828349444930296,0.6391652268682174,0.5306156190054965,0.991988351524497,-4.59522545420096,Astrocyte-Immature,M
ADCY2,0.20784532342025613,10.876522781555963,0.093282054842162,0.9266906442787908,0.991988351524497,-4.595808488552959,Astrocyte-Immature,M
ADCY3,-3.2044785354821936,6.616721059284278,-0.7428584273561453,0.46697369520464316,0.991988351524497,-4.595193537239832,Astrocyte-Immature,M
ADH5,4.2725753744625345,7.249216552038548,0.9686994644845722,0.3452932563457123,0.991988351524497,-4.595133741229892,Astrocyte-Immature,M
ADI1,8.06179717348325,5.474690804964806,1.48314360836584,0.1550119951333662,0.991988351524497,-4.594975180567627,Astrocyte-Immature,M
ADIPOR1,1.7214340546055875,4.724552664302544,0.22889728983856367,0.8214809391374032,0.991988351524497,-4.595227024267724,Astrocyte-Immature,M
ADNP,-1.0429138318701154,9.694286199993428,-0.4533872404146269,0.6555867759733208,0.991988351524497,-4.595522793996595,Astrocyte-Immature,M
ADORA1,10.338089896363387,3.5275733094420203,1.231534625373611,0.23367629589373223,0.991988351524497,-4.595070060824074,Astrocyte-Immature,M
ADORA2A,1.3554656196342052,3.489031349413989,0.14623139550962042,0.8853335287678011,0.991988351524497,-4.5952211239047465,Astrocyte-Immature,M
AFF4,-1.7528862879056246,9.56785803519296,-0.7112414772964671,0.48588003718010475,0.991988351524497,-4.595349714266376,Astrocyte-Immature,M
AFG3L2,3.5523954560365327,7.458715313082592,1.1039777689075794,0.2838726498818594,0.991988351524497,-4.595068742732157,Astrocyte-Immature,M
AGAP1,3.584234208361532,10.811146961549042,0.9138324314084172,0.3726589832747217,0.991988351524497,-4.595231967055117,Astrocyte-Immature,M
AGAP2,16.879423389259927,3.7121852826031168,2.047260827350471,0.05522819139632084,0.991988351524497,-4.5948410525755685,Astrocyte-Immature,M
