pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
REACTOME_CELLULAR_RESPONSE_TO_STARVATION (Reactome),3.6179141150970346e-29,2.5645700834780484e-26,1.4025887093555216,0.5949960051847392,2.968953322127429,152,RPL7A;RPL35;RPS27;RPL7;RPL37A;RPS29;RPS19;RPL38;RPS16;RPS10;RPL23;RPS11;RPL21;RPS9;RPL9;RPS7;RPS6;RPL36;RPLP1;RPL27A;RPS21;RPL23A;RPS12;RPL18;RPS20;RPL3;RPLP2;RPS17;RPL17;RPS2;RPS18;RPL32;RPS13;RPL15;RPL18A;RPL12;RPL13A;RPL31;RPLP0;RPS26;RPL27;RPS3A;FAU;NPRL3;RPS5;RPL29;UBA52;RPL37;RPS27A;RPL28;RPL19;RPL34;RPL30;RPS28;RPL26;RPS15;RPL5;RPL10A;RPL35A;RPL36A;RPL10;RPL41;RPL14;RPL13;RPS25;RPS24;ATP6V0C;RPS3;RPL24;RPS23;RPL36AL;RPL39;RPS15A;RPS14;RPL6;RPS4X;SH3BP4;RPL11;RPSA;LAMTOR5,EN-Newborn
REACTOME_INFLUENZA_INFECTION (Reactome),3.869588960359183e-29,2.5645700834780484e-26,1.4025887093555216,0.5880770652898962,2.9403968856528233,155,RPL7A;RPL35;RPS27;RPL7;RPL37A;RPS29;RPS19;RPL38;RPS16;RPS10;RPL23;RPS11;RPL21;HSP90AA1;RPS9;RPL9;RPS7;RPS6;RPL36;RPLP1;RPL27A;RPS21;RPL23A;RPS12;RPL18;RPS20;RPL3;RPLP2;RPS17;RPL17;RPS2;RPS18;RPL32;RPS13;RPL15;RPL18A;RPL12;RPL13A;RPL31;RPLP0;RPS26;RPL27;RPS3A;FAU;RPS5;RPL29;UBA52;RPL37;RPS27A;RPL28;RPL19;RPL34;RPL30;RPS28;RPL26;RPS15;RPL5;RPL10A;POLR2L;RPL35A;RPL36A;RPL10;RPL41;RPL14;RPL13;RPS25;RPS24;RPS3;RPL24;RPS23;RPL36AL;RPL39;RPS15A;RPS14;RPL6;RPS4X;POLR2J;RPL11,EN-Newborn
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME (GO_MF),4.0101951275183915e-28,2.4533139883964434e-25,1.3802649175935913,0.5791434203478982,2.902741966096772,158,RPL7A;RPL35;RPS27;RPL7;RPL37A;RPS29;RPS19;RPL38;RPS16;RPS10;RPL23;RPS11;RPL21;MRPL44;RPS9;RPL9;RPS7;RPS6;RPL36;RPLP1;RPL27A;RPS21;RPL23A;RPS12;RPL18;RPS20;RPL3;RPLP2;RPS17;RPL17;RPS2;RPS18;RPL32;RPS13;MRPS5;RPL15;RPL18A;RPL12;RPL13A;RPL31;RPLP0;RPS26;RPL27;RPS3A;RPS5;RPL29;UBA52;RPL37;RPS27A;RPL28;RPL19;RPL34;RPL30;RPS28;RPL26;RPS15;RPL5;RPL10A;MRPL54;RPL35A;RPL36A;RPL10;RPL41;RPL14;RPL13;RPS25;RPS24;RPS3;RPL24;RPS23;RPL36AL;RPL39;RPS15A;RPS14;LZTS1-AS1;RPL6;RPS4X;RPL11;MRPL41;RPSA;MRPL51,EN-Newborn
REACTOME_SIGNALING_BY_ROBO_RECEPTORS (Reactome),6.006526406066527e-28,3.4121360362462204e-25,1.3727429819339798,0.5254576415165402,2.7019893562873762,211,SLIT3;RPL7A;RPL35;RPS27;RPL7;RPL37A;RPS29;RPS19;RPL38;RPS16;RPS10;RPL23;RPS11;RPL21;RPS9;RPL9;RPS7;RPS6;RPL36;RPLP1;RPL27A;RPS21;RPL23A;RPS12;RPL18;RPS20;RPL3;RPLP2;SLIT1;RPS17;RPL17;RPS2;RPS18;LDB1;SRGAP1;ROBO2;RPL32;RPS13;RPL15;RPL18A;RPL12;RPL13A;RPL31;RPLP0;RPS26;RPL27;RPS3A;FAU;RPS5;RPL29;UBA52;RPL37;RPS27A;RPL28;RPL19;RPL34;RPL30;RPS28;RPL26;RPS15;RPL5;RPL10A;RPL35A;RPL36A;RPL10;RPL41;NRP1;LHX2;RPL14;RPL13;RPS25;RPS24;PSMB5;RPS3;CXCR4;RPL24;RPS23;RBM8A;RPL36AL;RPL39;SLIT2;RPS15A;NELL2;FLRT3;RPS14;PRKCA;RPL6;ROBO1;RPS4X;RPL11;ELOB,EN-Newborn
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT (GO_CC),1.104830738477853e-27,5.8578125754095775e-25,1.3651796021616889,0.8126996454270093,3.569398699428353,55,RPL7A;RPL35;RPL7;RPL37A;RPL38;RPL23;RPL21;RPL9;RPL36;RPLP1;RPL27A;RPL23A;RPL18;RPL3;RPLP2;RPL17;RPL32;RPL15;RPL18A;RPL12;RPL13A;RPL31;RPLP0;RPL27;RPL29;UBA52;RPL37;RPL28;RPL19;RPL34;RPL30;RPL26;RPL5;RPL10A;RPL35A;RPL36A;RPL10;RPL41;RPL14;RPL13;RPL24;RPL36AL;RPL39;RPL6;RPL11,EN-Newborn
GOCC_RIBOSOMAL_SUBUNIT (GO_CC),1.135890810586457e-25,5.646087260371308e-23,1.3110147627406066,0.5480010896189161,2.769253170904339,173,RPL7A;RPL35;RPS27;RPL7;RPL37A;RPS29;RPS19;RPL38;RPS16;RPS10;RPL23;RPS11;RPL21;MRPL44;RPS9;RPL9;RPS7;RPS6;RPL36;RPLP1;RPL27A;RPS21;RPL23A;RPS12;RPL18;RPS20;RPL3;RPLP2;RPS17;RPL17;RPS2;RPS18;RPL32;RPS13;MRPS5;RPL15;RPL18A;RPL12;RPL13A;RPL31;RPLP0;RPS26;RPL27;RPS3A;RPS5;RPL29;UBA52;RPL37;RPS27A;RPL28;RPL19;RPL34;RPL30;RPS28;RPL26;RPS15;RPL5;RPL10A;MRPL54;RPL35A;RPL36A;RPL10;RPL41;RPL14;RPL13;RPS25;RPS24;RPS3;RPL24;RPS23;RPL36AL;RACK1;RPL39;RPS15A;RPS14;RPL6;RPS4X;RPL11;MRPL41;RPSA;MRPL51;RPL8;MRPL58;MRPL38;RPS8;RPL4,EN-Newborn
REACTOME_RRNA_PROCESSING (Reactome),1.7205656513416274e-22,8.049210955952919e-20,1.229504056608731,0.49527395292315923,2.53489168189045,200,RPL7A;RPL35;RPS27;RPL7;RPP21;RPL37A;RPS29;RPS19;RPL38;RPS16;RPS10;RPL23;RPS11;RPL21;RPS9;RPL9;RPS7;RPS6;RPL36;RPLP1;RPL27A;RPS21;RPL23A;RPS12;RPL18;RPS20;RPL3;RPLP2;RPS17;RPL17;RPS2;RPS18;RPL32;RPS13;RPL15;RPL18A;RPL12;RPL13A;RPL31;RPLP0;RPS26;RPL27;RPS3A;FAU;RPS5;RPL29;UBA52;RPL37;RPS27A;RPL28;RPL19;RPL34;RPL30;RPS28;RPL26;RPS15;RPL5;NOP10;RPL10A;RPL35A;RPL36A;RPL10;RPL41;RPL14;RPL13;RPS25;RPS24;RPS3;RPL24;RPS23;RPL36AL;RPL39;RPS15A;RPS14;RPL6;RPS4X;RPL11;DDX49;IMP3;RPSA;RIOK2;NHP2;RPL8;IMP4;RPS8;NOC4L;RPL4,EN-Newborn
GOCC_RIBOSOME (GO_CC),7.663246757268365e-22,3.385877858919739e-19,1.2125445676906186,0.4913188855446854,2.5222672895137905,206,RPL7A;RPL35;RPS27;RPL7;RPL37A;RPS29;RPS19;RPL38;RPS16;RPS10;RPL23;RPS11;RPL21;MRPL44;RPS9;RPL9;RPS7;RPS6;RPL36;RPLP1;RPL27A;RPS21;RPL23A;RPS12;RPL18;RPS20;RPL3;RPLP2;RPS17;RPL17;RPS2;RPS18;RPL32;RPS13;MRPS5;RPL15;RPL18A;RPL12;RPL13A;RPL31;RPLP0;RPS26;RPL27;RPS3A;RPS5;RPL29;UBA52;RPL37;RPS27A;RPL28;RPL19;RPL34;RPL30;RPS28;RPL26;RPS15;RPL5;RPL10A;MRPL54;RPL35A;RPL36A;RPL10;RPL41;RPL14;RPL13;RPS25;RPS24;RPS3;RPL24;RPS23;RPL36AL;RACK1;RPL39;RPS15A;RPS14;LZTS1-AS1;RPL6;APEX1;RPS4X;RPL11;MRPL41;HULC;SF1;RPSA;MRPL51;RPL8;MRPL58;MRPL38;RPS8;RPL4,EN-Newborn
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT (GO_CC),4.0203631956490525e-17,1.6828393944735218e-14,1.0672099868281106,0.7641207198140212,3.198257545176734,41,RPS27;RPS29;RPS19;RPS16;RPS10;RPS11;RPS9;RPS7;RPS6;RPS21;RPS12;RPS20;RPS17;RPS2;RPS18;RPS13;RPS26;RPS3A;RPS5;UBA52;RPS27A;RPS28;RPS15;RPS25;RPS24;RPS3;RPS23;RPS15A;RPS14;RPS4X;RPSA;RPS8,EN-Newborn
GOCC_LARGE_RIBOSOMAL_SUBUNIT (GO_CC),2.841748730852392e-16,1.1300213828234536e-13,1.0376961554875836,0.5376163853327889,2.5897538077465194,109,RPL7A;RPL35;RPL7;RPL37A;RPL38;RPL23;RPL21;MRPL44;RPL9;RPL36;RPLP1;RPL27A;RPL23A;RPL18;RPL3;RPLP2;RPL17;RPL32;RPL15;RPL18A;RPL12;RPL13A;RPL31;RPLP0;RPL27;RPL29;UBA52;RPL37;RPL28;RPL19;RPL34;RPL30;RPL26;RPL5;RPL10A;MRPL54;RPL35A;RPL36A;RPL10;RPL41;RPL14;RPL13;RPL24;RPL36AL;RPL39;RPL6;RPL11;MRPL41;MRPL51;RPL8;MRPL58;MRPL38;RPL4,EN-Newborn
