gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection
GOCC_POLYSOMAL_RIBOSOME (GO_CC),3,31,68.31704166080445,1.896402071977558e-5,RPS29;RPS21;RPL41,5.520637142868002e-4,GO_CC
GOBP_NEURON_PROJECTION_GUIDANCE (GO_BP),5,213,16.02515834105544,2.788697800264153e-5,ROBO1;DCC;RELN;UNC5D;SEMA3C,7.828273110741515e-4,GO_BP
GOCC_LARGE_RIBOSOMAL_SUBUNIT (GO_CC),4,109,24.877585498770234,3.3287190717177614e-5,RPL37A;RPL10;RPL41;RPL35A,9.021976518517795e-4,GO_CC
GOBP_REGULATION_OF_NEURON_MIGRATION (GO_BP),3,40,51.7726626405473,4.124676231748567e-5,NRG3;RELN;UNC5D,0.0010806651727181245,GO_BP
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING (GO_BP),6,390,10.612666383975824,4.4856822941744865e-5,GRM8;NRG3;LRRC4C;DCC;PTPRD;RELN,0.0011373375107164988,GO_BP
GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT (GO_BP),6,403,10.263530339957503,5.380067802200692e-5,ROBO1;LRRC4C;DCC;PTPRD;RELN;SEMA3C,0.001321479153915545,GO_BP
GOBP_NEGATIVE_CHEMOTAXIS (GO_BP),3,46,44.49883393628915,6.29304183442787e-5,ROBO1;NRG3;SEMA3C,0.0014988881460182744,GO_BP
REACTOME_NETRIN_1_SIGNALING (Reactome),3,50,40.78339935871354,8.087532557113522e-5,ROBO1;DCC;UNC5D,0.0018696472323209495,Reactome
GOBP_AXON_DEVELOPMENT (GO_BP),6,440,9.374127174266546,8.730571802040955e-5,ROBO1;LRRC4C;DCC;RELN;UNC5D;SEMA3C,0.0019606369818297685,GO_BP
GOBP_NEURON_MIGRATION (GO_BP),4,147,18.233851465594853,1.0667814013349179e-4,NRG3;DCC;RELN;UNC5D,0.0023263108813789775,GO_BP
GOBP_REGULATION_OF_AXONOGENESIS (GO_BP),4,148,18.108546474382077,1.0950827304201295e-4,ROBO1;LRRC4C;DCC;SEMA3C,0.0023263108813789775,GO_BP
GOBP_NETRIN_ACTIVATED_SIGNALING_PATHWAY (GO_BP),2,10,155.51118289669503,1.2181190055218686e-4,DCC;UNC5D,0.0024549783034363815,GO_BP
REACTOME_REGULATION_OF_COMMISSURAL_AXON_PATHFINDING_BY_SLIT_AND_ROBO (Reactome),2,10,155.51118289669503,1.2181190055218686e-4,ROBO1;DCC,0.0024549783034363815,Reactome
GOBP_RIBOSOME_BIOGENESIS (GO_BP),5,296,11.422486971513408,1.321769937514659e-4,RPS8;RPS27;RPL10;RPS21;RPL35A,0.002597277927216305,GO_BP
GOBP_TAXIS (GO_BP),6,490,8.390315830296613,1.5703374921564907e-4,ROBO1;NRG3;DCC;RELN;UNC5D;SEMA3C,0.0030104518752073215,GO_BP
