gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),79,92,3172.557656128857,2.625069658576676e-181,RPS28;RPL37A;RPS15;RPLP2;RPL7A;RPS25;RPL31;RPS18;RPL37;FAU;RPL41;RPL6;RPL13A;RPS10;RPS23;RPS11;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;EEF1A1;RPL17;RPL4;RPS3;RPL24;RPS6;RPS13;RPL14;RPS29;RPL26;RPS2;EEF1G;RPS12;RPL22;RPL28;RPL3;UBA52;RPL29;EEF1B2;RPS3A;RPS17;RPS21;RPL9;EEF1A2;EEF2;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9,5.118885834224518e-178,Reactome
KEGG_RIBOSOME (KEGG),74,86,2915.287022533247,4.995982767409858e-169,RPS28;RPL37A;RPS15;RPLP2;RPL7A;RPS25;RPL31;RPS18;RPL37;FAU;RPL41;RPL6;RPL13A;RPS10;RPS23;RPS11;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS6;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL28;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9,4.8710831982246114e-166,KEGG
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY (Reactome),74,100,1300.1211668416126,2.2196634501593722e-159,RPS28;RPL37A;RPS15;RPLP2;RPL7A;RPS25;RPL31;RPS18;RPL37;FAU;RPL41;RPL6;RPL13A;RPS10;RPS23;RPS11;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS6;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL28;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9,1.4427812426035919e-156,Reactome
GOCC_CYTOSOLIC_RIBOSOME (GO_CC),73,97,1347.7748143840845,5.112814389670694e-158,RPS28;RPL37A;RPS15;RPLP2;RPL7A;RPS25;RPL31;RPS18;RPL37;RPL41;RPL6;RPL13A;RPS10;RPS23;RPS11;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS6;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL28;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9,2.492497014964463e-155,GO_CC
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE (Reactome),75,111,975.8115971709622,1.2613018953834244e-156,RPS28;RPL37A;RPS15;RPLP2;RPL7A;RPS25;RPL31;RPS18;RPL37;FAU;RPL41;RPL6;RPL13A;RPS10;RPS23;RPS11;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS6;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL28;RPL3;UBA52;SRP14;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9,4.9190773919953554e-154,Reactome
REACTOME_NONSENSE_MEDIATED_DECAY_NMD (Reactome),74,114,873.8479249811501,2.9036136126332386e-152,RPS28;RPL37A;RPS15;RPLP2;RPL7A;RPS25;RPL31;RPS18;RPL37;FAU;RPL41;RPL6;RPL13A;RPS10;RPS23;RPS11;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS6;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL28;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9,9.436744241058025e-150,Reactome
REACTOME_SELENOAMINO_ACID_METABOLISM (Reactome),74,115,856.3862859557405,8.127202673608495e-152,RPS28;RPL37A;RPS15;RPLP2;RPL7A;RPS25;RPL31;RPS18;RPL37;FAU;RPL41;RPL6;RPL13A;RPS10;RPS23;RPS11;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS6;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL28;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9,2.264006459076652e-149,Reactome
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION (Reactome),74,118,795.3392507034134,1.6276505708412426e-150,RPS28;RPL37A;RPS15;RPLP2;RPL7A;RPS25;RPL31;RPS18;RPL37;FAU;RPL41;RPL6;RPL13A;RPS10;RPS23;RPS11;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS6;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL28;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9,3.967398266425529e-148,Reactome
REACTOME_CELLULAR_RESPONSE_TO_STARVATION (Reactome),74,152,441.2801221365783,9.95810287915577e-139,RPS28;RPL37A;RPS15;RPLP2;RPL7A;RPS25;RPL31;RPS18;RPL37;FAU;RPL41;RPL6;RPL13A;RPS10;RPS23;RPS11;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS6;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL28;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9,2.1575889571504166e-136,Reactome
GOBP_CYTOPLASMIC_TRANSLATION (GO_BP),73,145,459.7667733236548,3.911812802818319e-138,RPS28;RPL37A;RPS15;RPLP2;RPL7A;RPS25;RPL31;RPS18;RPL37;RPL41;RPL6;RPL13A;RPS10;RPS23;RPS11;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS6;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL28;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9,7.628034965495721e-136,GO_BP
