gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection
GOBP_PEPTIDE_CROSS_LINKING (GO_BP),1,18,82.85976004079366,0.013287614558878613,SPOCK3,0.0742080475914965,GO_BP
GOBP_REGULATION_OF_APPETITE (GO_BP),1,18,82.85976004079366,0.013287614558878613,HTR2C,0.0742080475914965,GO_BP
GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES (GO_BP),2,244,12.240001802216907,0.01395014722942009,CDH10;CDH9,0.0742080475914965,GO_BP
GOCC_GLYCOPROTEIN_COMPLEX (GO_CC),1,19,78.48130703147548,0.01402087535138874,SNTG2,0.0742080475914965,GO_CC
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES (Reactome),1,19,78.48130703147548,0.01402087535138874,SPOCK3,0.0742080475914965,Reactome
GOMF_SEROTONIN_RECEPTOR_ACTIVITY (GO_MF),1,21,70.45448964523952,0.015485844225852419,HTR2C,0.0784130190500546,GO_MF
GOMF_POLY_A_BINDING (GO_MF),1,22,67.3133876241292,0.016217553000117846,RBMS1,0.0784130190500546,GO_MF
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION (GO_BP),2,268,11.1296342979459,0.01665779367206338,RXFP1;POSTN,0.0784130190500546,GO_BP
GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY (GO_BP),1,23,64.08539764558692,0.016948745126915243,RXFP1,0.0784130190500546,GO_BP
GOBP_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION_INVOLVED_IN_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_SIGNALING_PATHWAY (GO_BP),1,23,64.08539764558692,0.016948745126915243,HTR2C,0.0784130190500546,GO_BP
GOBP_CELLULAR_RESPONSE_TO_VITAMIN (GO_BP),1,24,61.403854388878756,0.017679420951855263,POSTN,0.0784130190500546,GO_BP
GOBP_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY (GO_BP),1,24,61.403854388878756,0.017679420951855263,HTR2C,0.0784130190500546,GO_BP
GOCC_EXTRINSIC_COMPONENT_OF_MEMBRANE (GO_CC),2,287,10.376969900759038,0.018948341241758957,CDH10;CDH9,0.0784130190500546,GO_CC
GOBP_CGMP_MEDIATED_SIGNALING (GO_BP),1,27,54.34259425993427,0.019868354068339755,HTR2C,0.0784130190500546,GO_BP
GOMF_GLUTAMATE_RECEPTOR_ACTIVITY (GO_MF),1,27,54.34259425993427,0.019868354068339755,GRM8,0.0784130190500546,GO_MF
GOMF_POLY_PYRIMIDINE_TRACT_BINDING (GO_MF),1,27,54.34259425993427,0.019868354068339755,RBMS1,0.0784130190500546,GO_MF
HALLMARK_ANGIOGENESIS (Hallmark),1,27,54.34259425993427,0.019868354068339755,POSTN,0.0784130190500546,Hallmark
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS (Reactome),1,27,54.34259425993427,0.019868354068339755,GRM8,0.0784130190500546,Reactome
GOCC_PRESYNAPTIC_ACTIVE_ZONE_MEMBRANE (GO_CC),1,28,52.339667233293625,0.020596968137571947,CDH10,0.0784130190500546,GO_CC
GOMF_G_PROTEIN_COUPLED_AMINE_RECEPTOR_ACTIVITY (GO_MF),1,28,52.339667233293625,0.020596968137571947,HTR2C,0.0784130190500546,GO_MF
GOMF_POLY_PURINE_TRACT_BINDING (GO_MF),1,28,52.339667233293625,0.020596968137571947,RBMS1,0.0784130190500546,GO_MF
GOBP_CHONDROITIN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS (GO_BP),1,30,48.646518256659114,0.022052652889083202,SPOCK3,0.08110890977849246,GO_BP
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS (Reactome),1,30,48.646518256659114,0.022052652889083202,HTR2C,0.08110890977849246,Reactome
GOBP_CELLULAR_RESPONSE_TO_NUTRIENT (GO_BP),1,32,45.52087092067865,0.023506282085575814,POSTN,0.08454786038903656,GO_BP
GOMF_CADHERIN_BINDING (GO_MF),2,324,9.171925630121738,0.023766910063277556,CDH10;CDH9,0.08454786038903656,GO_MF
GOBP_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS (GO_BP),1,35,41.536852217698325,0.025682877729459208,HTR2C,0.08989007205310723,GO_BP
GOBP_FEAR_RESPONSE (GO_BP),1,38,38.1912709440753,0.027854863828163157,HTR2C,0.0944453976673657,GO_BP
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_SURFACE (GO_BP),1,38,38.1912709440753,0.027854863828163157,ASTN2,0.0944453976673657,GO_BP
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER (GO_BP),1,45,32.11372908597474,0.032904957305523896,HTR2C,0.10985193438921055,GO_BP
GOBP_RESPONSE_TO_EXTRACELLULAR_STIMULUS (GO_BP),2,411,7.196728793332528,0.036829324918625755,HTR2C;POSTN,0.12052815781935133,GO_BP
GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY (GO_BP),1,51,28.25402743430351,0.03721376301334811,GRM8,0.12052815781935133,GO_BP
GOCC_CELL_CELL_JUNCTION (GO_CC),2,443,6.66783372560871,0.04219676616177901,CDH10;CDH9,0.1327714584258304,GO_CC
GOBP_POSITIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION (GO_BP),1,58,24.778433229295537,0.042217652679181095,HTR2C,0.1327714584258304,GO_BP
GOBP_CYCLIC_NUCLEOTIDE_MEDIATED_SIGNALING (GO_BP),1,64,22.42103261059566,0.046487027196924324,HTR2C,0.1359353143769139,GO_BP
GOBP_PROTEIN_LOCALIZATION_TO_CELL_SURFACE (GO_BP),1,64,22.42103261059566,0.046487027196924324,ASTN2,0.1359353143769139,GO_BP
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC (GO_BP),1,64,22.42103261059566,0.046487027196924324,GRM8,0.1359353143769139,GO_BP
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY (GO_BP),1,65,22.06461736956322,0.04719682953645099,GRM8,0.1359353143769139,GO_BP
GOBP_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS (GO_BP),1,68,21.074372153000088,0.04932322600904715,HTR2C,0.1359353143769139,GO_BP
REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS (Reactome),1,68,21.074372153000088,0.04932322600904715,NEGR1,0.1359353143769139,Reactome
GOBP_POSITIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS (GO_BP),1,69,20.75611782868369,0.05003102243832991,HTR2C,0.1359353143769139,GO_BP
GOBP_RESPONSE_TO_VITAMIN (GO_BP),1,70,20.457182914438558,0.05073831822982855,POSTN,0.1359353143769139,GO_BP
GOCC_GABA_ERGIC_SYNAPSE (GO_CC),1,70,20.457182914438558,0.05073831822982855,CDH10,0.1359353143769139,GO_CC
GOCC_INTRINSIC_COMPONENT_OF_PRESYNAPTIC_MEMBRANE (GO_CC),1,70,20.457182914438558,0.05073831822982855,CDH10,0.1359353143769139,GO_CC
GOBP_ESTABLISHMENT_OF_TISSUE_POLARITY (GO_BP),1,71,20.165823547160283,0.0514451137190286,ASTN2,0.1359353143769139,GO_BP
GOBP_RESPONSE_TO_DOPAMINE (GO_BP),1,71,20.165823547160283,0.0514451137190286,HTR2C,0.1359353143769139,GO_BP
GOBP_PROTEOGLYCAN_METABOLIC_PROCESS (GO_BP),1,73,19.600907345913868,0.052857205131414675,SPOCK3,0.1359353143769139,GO_BP
GOCC_PRESYNAPTIC_ACTIVE_ZONE (GO_CC),1,74,19.348590299837955,0.05356250172451038,CDH10,0.1359353143769139,GO_CC
GOMF_HORMONE_BINDING (GO_MF),1,75,19.08231695650143,0.05426729935512864,RXFP1,0.1359353143769139,GO_MF
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION (Reactome),1,75,19.08231695650143,0.05426729935512864,EBF1,0.1359353143769139,Reactome
GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE (GO_CC),1,77,18.57463185308329,0.05567539906642072,CDH10,0.1359353143769139,GO_CC
GOMF_ALCOHOL_BINDING (GO_MF),1,77,18.57463185308329,0.05567539906642072,ASTN2,0.1359353143769139,GO_MF
GOBP_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY (GO_BP),1,78,18.33182959251517,0.056378701815309906,HTR2C,0.1359353143769139,GO_BP
GOMF_PDZ_DOMAIN_BINDING (GO_MF),1,78,18.33182959251517,0.056378701815309906,SNTG2,0.1359353143769139,GO_MF
GOMF_SINGLE_STRANDED_RNA_BINDING (GO_MF),1,78,18.33182959251517,0.056378701815309906,RBMS1,0.1359353143769139,GO_MF
GOBP_MUCOPOLYSACCHARIDE_METABOLIC_PROCESS (GO_BP),1,79,18.095682142488645,0.05708150693815239,SPOCK3,0.13611743962174802,GO_BP
GOBP_CELLULAR_RESPONSE_TO_KETONE (GO_BP),1,85,16.809123955953037,0.061287906193888575,POSTN,0.14035120429426598,GO_BP
GOBP_RESPONSE_TO_CATECHOLAMINE (GO_BP),1,86,16.599667381472536,0.061987237262805195,HTR2C,0.14035120429426598,GO_BP
KEGG_GAP_JUNCTION (KEGG),1,86,16.599667381472536,0.061987237262805195,HTR2C,0.14035120429426598,KEGG
GOBP_REGULATION_OF_NOTCH_SIGNALING_PATHWAY (GO_BP),1,87,16.400815005488536,0.06268607336840204,POSTN,0.14035120429426598,GO_BP
GOMF_MRNA_3_UTR_BINDING (GO_MF),1,87,16.400815005488536,0.06268607336840204,RBMS1,0.14035120429426598,GO_MF
GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC (GO_BP),1,88,16.219534317835247,0.06338441484257173,GRM8,0.14035120429426598,GO_BP
GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY (GO_MF),1,88,16.219534317835247,0.06338441484257173,HTR2C,0.14035120429426598,GO_MF
GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM (GO_BP),1,92,15.504244199650728,0.06617284105550048,ASTN2,0.143595065090436,GO_BP
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION (Reactome),1,92,15.504244199650728,0.06617284105550048,RXFP1,0.143595065090436,Reactome
GOBP_REGULATION_OF_SYNAPSE_ASSEMBLY (GO_BP),1,96,14.850433493351925,0.06895337966246362,NEGR1,0.14814736026489708,GO_BP
KEGG_CELL_ADHESION_MOLECULES_CAMS (KEGG),1,102,13.968074893009987,0.07310944454188417,NEGR1,0.1555367594665575,KEGG
GOBP_SEQUESTERING_OF_CALCIUM_ION (GO_BP),1,105,13.565479352413481,0.07518086188327622,HTR2C,0.1567987367800791,GO_BP
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS (Reactome),1,105,13.565479352413481,0.07518086188327622,RXFP1,0.1567987367800791,Reactome
GOMF_PEPTIDE_RECEPTOR_ACTIVITY (GO_MF),1,106,13.425413618711405,0.07587035650648988,RXFP1,0.1567987367800791,GO_MF
GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE (GO_CC),1,112,12.701051244438561,0.07999708003820472,CDH10,0.158614774014922,GO_CC
GOBP_MAMMARY_GLAND_DEVELOPMENT (GO_BP),1,113,12.587821558616296,0.08068316297937506,RXFP1,0.158614774014922,GO_BP
GOBP_REGULATION_OF_FAT_CELL_DIFFERENTIATION (GO_BP),1,113,12.587821558616296,0.08068316297937506,HTR2C,0.158614774014922,GO_BP
GOBP_AMINOGLYCAN_METABOLIC_PROCESS (GO_BP),1,114,12.476341243588166,0.0813687598449283,SPOCK3,0.158614774014922,GO_BP
HALLMARK_SPERMATOGENESIS (Hallmark),1,114,12.476341243588166,0.0813687598449283,GRM8,0.158614774014922,Hallmark
GOMF_SINGLE_STRANDED_DNA_BINDING (GO_MF),1,115,12.366487441676808,0.08205387096112726,RBMS1,0.158614774014922,GO_MF
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION (Reactome),1,116,12.258544712346472,0.082738496654026,RXFP1,0.158614774014922,Reactome
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS (Reactome),1,116,12.258544712346472,0.082738496654026,RXFP1,0.158614774014922,Reactome
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX (Reactome),1,118,12.048196050905199,0.08410629307311035,SPOCK3,0.158614774014922,Reactome
GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY (GO_BP),1,119,11.945696046664986,0.08478946445037305,RXFP1,0.158614774014922,GO_BP
GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE (GO_CC),1,119,11.945696046664986,0.08478946445037305,CDH10,0.158614774014922,GO_CC
GOBP_REGULATION_OF_NERVOUS_SYSTEM_PROCESS (GO_BP),1,122,11.648361481195728,0.08683607515516856,HTR2C,0.15959039246540568,GO_BP
GOCC_ANCHORED_COMPONENT_OF_MEMBRANE (GO_CC),1,122,11.648361481195728,0.08683607515516856,NEGR1,0.15959039246540568,GO_CC
GOBP_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS (GO_BP),1,123,11.552499184114772,0.08751731199715795,HTR2C,0.15959039246540568,GO_BP
GOCC_SARCOLEMMA (GO_CC),1,126,11.274112650286131,0.08955812688596576,SNTG2,0.16039697964826444,GO_CC
GOBP_PHOSPHATIDYLINOSITOL_BIOSYNTHETIC_PROCESS (GO_BP),1,127,11.18571871627023,0.09023743438316001,HTR2C,0.16039697964826444,GO_BP
GOBP_RESPONSE_TO_NUTRIENT (GO_BP),1,127,11.18571871627023,0.09023743438316001,POSTN,0.16039697964826444,GO_BP
GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY (GO_MF),1,128,11.097299655527507,0.09091626035362455,SPOCK3,0.16039697964826444,GO_MF
GOMF_HEPARIN_BINDING (GO_MF),1,130,10.924559463119856,0.09227246900767117,POSTN,0.16147682076342454,GO_MF
GOBP_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL (GO_BP),1,136,10.438071293488576,0.09632957191732494,HTR2C,0.16590092941317075,GO_BP
GOCC_PRESYNAPTIC_MEMBRANE (GO_CC),1,136,10.438071293488576,0.09632957191732494,CDH10,0.16590092941317075,GO_CC
GOBP_POSITIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT (GO_BP),1,138,10.280097845297576,0.09767810712973857,NEGR1,0.1668988129697108,GO_BP
