gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection
KEGG_RIBOSOME (KEGG),7,86,25.48449162781381,3.324845843894153e-8,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,5.236374628693384e-5,KEGG
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),7,92,23.682269232200863,5.3234476685059745e-8,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,5.236374628693384e-5,Reactome
GOCC_CYTOSOLIC_RIBOSOME (GO_CC),7,97,22.335481148660072,7.689072065116293e-8,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,5.236374628693384e-5,GO_CC
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY (Reactome),7,100,21.61906017847063,9.494786271429527e-8,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,5.236374628693384e-5,Reactome
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE (Reactome),7,111,19.33547363957086,1.9486662036254555e-7,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,7.826945778427977e-5,Reactome
REACTOME_NONSENSE_MEDIATED_DECAY_NMD (Reactome),7,114,18.78900354533849,2.3394997316310213e-7,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,7.826945778427977e-5,Reactome
REACTOME_SELENOAMINO_ACID_METABOLISM (Reactome),7,115,18.614037349561457,2.483618334043329e-7,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,7.826945778427977e-5,Reactome
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION (Reactome),7,118,18.108679743195427,2.9616383045923283e-7,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,8.166717624913345e-5,Reactome
GOCC_RIBOSOME (GO_CC),8,206,11.69228475318094,1.0420730917910943e-6,RPL28;MT3;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,2.55423693387906e-4,GO_CC
GOBP_CYTOPLASMIC_TRANSLATION (GO_BP),7,145,14.554498684463614,1.1951024439489455e-6,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,2.6363959913513736e-4,GO_BP
REACTOME_CELLULAR_RESPONSE_TO_STARVATION (Reactome),7,152,13.850602810410747,1.6388480749117772e-6,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,3.286635321141255e-4,Reactome
REACTOME_INFLUENZA_INFECTION (Reactome),7,155,13.569426987770674,1.8673121537944805e-6,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,3.4327421760588537e-4,Reactome
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME (GO_MF),7,158,13.28864978375504,2.1218286462571966e-6,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,3.6005799951102885e-4,GO_MF
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS (Reactome),7,166,12.621168844884565,2.9460341869940126e-6,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,4.6421081546491375e-4,Reactome
GOCC_RIBOSOMAL_SUBUNIT (GO_CC),7,173,12.086002067032119,3.87177201088605e-6,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,5.694086037343084e-4,GO_CC
GOCC_SYNAPTIC_MEMBRANE (GO_CC),9,357,7.525484501619903,7.531916044444813e-6,HSPA8;KCND2;ADCY8;CNTN6;TENM2;GRM3;ITGA8;GLRA3;UNC13C,0.0010384629246278285,GO_CC
REACTOME_RRNA_PROCESSING (Reactome),7,200,10.38426867463548,1.0016253412605757e-5,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,0.0012997561781298997,Reactome
GOBP_SUBSTANTIA_NIGRA_DEVELOPMENT (GO_BP),4,39,31.86929784321499,1.3320220373244934e-5,CKB;COX6B1;BASP1;MBP,0.0015798829196607919,GO_BP
REACTOME_SIGNALING_BY_ROBO_RECEPTORS (Reactome),7,211,9.82005482208816,1.4174027934070223e-5,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,0.0015798829196607919,Reactome
REACTOME_NEURONAL_SYSTEM (Reactome),9,387,6.9192375439559735,1.4323507884504006e-5,KCNQ5;TUBB2A;TUBB2B;HSPA8;KCND2;ADCY8;IL1RAP;GLRA3;NRG1,0.0015798829196607919,Reactome
GOCC_GLUTAMATERGIC_SYNAPSE (GO_CC),8,313,7.561508685449006,2.2429680267803017e-5,HSPA8;KCND2;ADGRL3;ADCY8;GUCY1A1;GRM3;IL1RAP;NRG1,0.0023561845081320693,GO_CC
GOBP_MUSCLE_TISSUE_DEVELOPMENT (GO_BP),8,317,7.462711265823707,2.455668502377031e-5,SGCD;SGCZ;ITGA8;FOS;RYR2;RBFOX1;RARB;NRG1,0.0024623657801107865,GO_BP
