gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection
KEGG_RIBOSOME (KEGG),7,86,49.36782147831198,4.731482434031311e-10,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,4.33032540687105e-7,KEGG
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),7,92,45.89607285619569,7.642317838474271e-10,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,4.33032540687105e-7,Reactome
GOCC_CYTOSOLIC_RIBOSOME (GO_CC),7,97,43.37537611662721,1.111929478292597e-9,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,4.33032540687105e-7,GO_CC
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY (Reactome),7,100,41.955637553567186,1.379084524481226e-9,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,4.33032540687105e-7,Reactome
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE (Reactome),7,111,37.48143683808277,2.8761816224688658e-9,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,6.615918257000285e-7,Reactome
REACTOME_NONSENSE_MEDIATED_DECAY_NMD (Reactome),7,114,36.389002883825256,3.4681910470689874e-9,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,6.615918257000285e-7,Reactome
REACTOME_SELENOAMINO_ACID_METABOLISM (Reactome),7,115,36.10288529882231,3.687215589092516e-9,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,6.615918257000285e-7,Reactome
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION (Reactome),7,118,35.095011748475464,4.416177279419224e-9,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,6.933398328688182e-7,Reactome
GOCC_RIBOSOME (GO_CC),8,206,22.916815541731108,9.149221844907218e-9,RPL28;MT3;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,1.2768247374670517e-6,GO_CC
GOBP_CYTOPLASMIC_TRANSLATION (GO_BP),7,145,28.240935731930918,1.853594748702194e-8,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,2.3281150043699556e-6,GO_BP
REACTOME_CELLULAR_RESPONSE_TO_STARVATION (Reactome),7,152,26.875086570962104,2.5678924261894342e-8,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,2.9320662611762995e-6,Reactome
REACTOME_INFLUENZA_INFECTION (Reactome),7,155,26.29483604571342,2.9386814459746353e-8,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,3.075819913453452e-6,Reactome
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME (GO_MF),7,158,25.770850929537612,3.3538456579073e-8,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,3.2403308817935147e-6,GO_MF
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS (Reactome),7,166,24.471363629204554,4.711165005209226e-8,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,4.226588033244848e-6,Reactome
GOCC_RIBOSOMAL_SUBUNIT (GO_CC),7,173,23.439626995852255,6.254955276141035e-8,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,5.237482551222093e-6,GO_CC
REACTOME_RRNA_PROCESSING (Reactome),7,200,20.1510991554016,1.6829401992435806e-7,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,1.3211080564062108e-5,Reactome
REACTOME_SIGNALING_BY_ROBO_RECEPTORS (Reactome),7,211,19.055069649054253,2.4198905741216637e-7,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,1.787872094762829e-5,Reactome
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES (Reactome),8,356,12.971171308509708,6.10771030206649e-7,RPL28;CKB;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,4.261824521886395e-5,Reactome
REACTOME_TRANSLATION (Reactome),7,291,13.644031145915012,2.0836898478547733e-6,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6,1.3774286573187345e-4,Reactome
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT (GO_CC),4,55,41.25013176928549,4.913473727367045e-6,RPL28;RPLP2;RPL7A;RPL6,3.0856615007865043e-4,GO_CC
GOCC_POLYSOME (GO_CC),4,64,35.007227137344515,9.029816067228043e-6,RPS6;RPL7A;RPL6;VIM,5.400689990684963e-4,GO_CC
REACTOME_SELECTIVE_AUTOPHAGY (Reactome),4,78,28.387516800824777,1.9847133912867677e-5,TUBB2A;TUBB2B;HSPA8;VIM,0.0011330909179346274,Reactome
GOMF_STRUCTURAL_CONSTITUENT_OF_CYTOSKELETON (GO_MF),4,84,26.261389782164112,2.6604352442614493e-5,CTNNA2;TUBB2A;TUBB2B;VIM,0.0014528289855619044,GO_MF
GOBP_ASTROCYTE_DEVELOPMENT (GO_BP),3,32,53.34342178049341,3.833259259772735e-5,MT3;CDK6;VIM,0.0020060723459477316,GO_BP
GOBP_SUBSTANTIA_NIGRA_DEVELOPMENT (GO_BP),3,39,42.945968502153825,6.991793793578321e-5,CKB;COX6B1;BASP1,0.0035126772018937488,GO_BP
GOCC_LARGE_RIBOSOMAL_SUBUNIT (GO_CC),4,109,19.972308640312175,7.38624423307068e-5,RPL28;RPLP2;RPL7A;RPL6,0.0035681241372064517,GO_CC
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT (GO_CC),3,41,40.73020556285285,8.131887470878523e-5,RPS6;RPS25;RPS11,0.00364773237979408,GO_CC
REACTOME_AGGREPHAGY (Reactome),3,41,40.73020556285285,8.131887470878523e-5,TUBB2A;TUBB2B;VIM,0.00364773237979408,Reactome
REACTOME_NEURONAL_SYSTEM (Reactome),6,387,8.513072137577865,1.3554989692238185e-4,KCNQ5;TUBB2A;TUBB2B;HSPA8;KCND2;ADCY8,0.005870712777052124,Reactome
GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT (GO_BP),6,403,8.165234408891061,1.688503920125887e-4,CTNNA2;ALK;MT3;CSMD3;SEMA6D;VIM,0.007069203078927047,GO_BP
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND (Reactome),3,54,30.316573598748874,1.8569385941793418e-4,TUBB2A;TUBB2B;HSPA8,0.007464579160597997,Reactome
GOCC_CELL_SUBSTRATE_JUNCTION (GO_CC),6,414,7.942031100191538,1.9528007293786052e-4,RPS11;RPLP2;RPL7A;RPL6;HSPA8;VIM,0.007464579160597997,GO_CC
GOBP_NEURAL_NUCLEUS_DEVELOPMENT (GO_BP),3,55,29.733831429206553,1.9612349705392827e-4,CKB;COX6B1;BASP1,0.007464579160597997,GO_BP
REACTOME_AUTOPHAGY (Reactome),4,145,14.86595199367005,2.221416726684742e-4,TUBB2A;TUBB2B;HSPA8;VIM,0.008206174731517753,Reactome
GOBP_NEURON_MIGRATION (GO_BP),4,147,14.657537967955816,2.340804590390457e-4,CTNNA2;TUBB2A;TUBB2B;ADGRL3,0.00840014447294404,GO_BP
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S (Reactome),3,59,27.613212783979915,2.416259458180229e-4,RPS6;RPS25;RPS11,0.008430060776317687,Reactome
GOBP_ASTROCYTE_DIFFERENTIATION (GO_BP),3,64,25.35521886286951,3.074440898795789e-4,MT3;CDK6;VIM,0.010436480456452731,GO_BP
GOCC_SMALL_RIBOSOMAL_SUBUNIT (GO_CC),3,67,24.15875443634704,3.519700377873882e-4,RPS6;RPS25;RPS11,0.011633535985814725,GO_CC
GOBP_LOCOMOTORY_BEHAVIOR (GO_BP),4,175,12.243770869010612,4.537189179999696e-4,ALK;PBX3;KCND2;ADCY8,0.014612075923281072,GO_BP
