pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis,collection,cell_type,gs_short
KEGG_RIBOSOME (KEGG),1.6139935661488621e-28,6.41804541579095e-25,1.3877460830534856,0.7338411598995529,3.014939782779452,86,,EN-L6b,KEGG,EN-L6b,KEGG_RIBOSOME
GOCC_CYTOSOLIC_RIBOSOME (GO_CC),8.338839552791986e-25,2.2106263654451555e-21,1.2871036723014444,0.6722200137177055,2.7968302173738135,97,,EN-L6b,GO_CC,EN-L6b,GOCC_CYTOSOLIC_RIBOSOME
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),1e-50,7.953e-47,NA,0.8469550625328888,3.998023449213138,92,,EN-Newborn,Reactome,EN-Newborn,REACTOME_EUKARYOTIC_TRANSLATION_ELONG...
KEGG_RIBOSOME (KEGG),1.3032272363358284e-47,5.182283105289422e-44,1.7973424641233884,0.8366455843461803,3.9183756176179916,86,,EN-Newborn,KEGG,EN-Newborn,KEGG_RIBOSOME
GOCC_CYTOSOLIC_RIBOSOME (GO_CC),9.44098740360779e-44,2.502805760696425e-40,1.720824397073306,0.7856795145437261,3.7332553850644503,97,,EN-Newborn,GO_CC,EN-Newborn,GOCC_CYTOSOLIC_RIBOSOME
GOBP_CYTOPLASMIC_TRANSLATION (GO_BP),1e-50,6.641666666666666e-48,NA,0.817462430003195,2.7956511363954126,145,,EN-Non-IT-Immature,GO_BP,EN-Non-IT-Immature,GOBP_CYTOPLASMIC_TRANSLATION
GOCC_CYTOSOLIC_RIBOSOME (GO_CC),1e-50,6.641666666666666e-48,NA,0.9264704434481675,3.081534749737076,97,,EN-Non-IT-Immature,GO_CC,EN-Non-IT-Immature,GOCC_CYTOSOLIC_RIBOSOME
KEGG_RIBOSOME (KEGG),1e-50,6.641666666666666e-48,NA,0.9586285691037171,3.159449212057181,86,,EN-Non-IT-Immature,KEGG,EN-Non-IT-Immature,KEGG_RIBOSOME
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),2.2556590116102174e-25,1.7984369299568264e-21,1.303093150865724,0.8956242051418952,1.9455949514729682,92,,IN-CGE-Immature,Reactome,IN-CGE-Immature,REACTOME_EUKARYOTIC_TRANSLATION_ELONG...
KEGG_RIBOSOME (KEGG),2.031178413800122e-24,8.097292746614187e-21,1.2790339772504933,0.8948488856856094,1.938832249286975,86,,IN-CGE-Immature,KEGG,IN-CGE-Immature,KEGG_RIBOSOME
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY (Reactome),1.0363491867201243e-23,2.7542706885731834e-20,1.2627398854791587,0.8446804177834999,1.840860474458479,100,,IN-CGE-Immature,Reactome,IN-CGE-Immature,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_...
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS (Reactome),1e-50,7.972e-47,NA,-0.6424352735782475,-1.2029102223849182,10,,IN-MGE-Immature,Reactome,IN-MGE-Immature,REACTOME_EICOSANOID_LIGAND_BINDING_RE...
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),1.6405956449503586e-27,6.5394142407721295e-24,1.3575740855908005,0.9140703730508388,2.002581629405684,92,,IN-MGE-Immature,Reactome,IN-MGE-Immature,REACTOME_EUKARYOTIC_TRANSLATION_ELONG...
KEGG_RIBOSOME (KEGG),5.177769548416226e-26,1.3759059613324717e-22,1.3188887960758697,0.9136610321921207,1.9964107585978441,86,,IN-MGE-Immature,KEGG,IN-MGE-Immature,KEGG_RIBOSOME
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),3.0395898712726615e-28,1.3541162293893205e-24,1.3802649175935913,0.9176986760992533,2.002744499891794,92,,IN-MGE-SST,Reactome,IN-MGE-SST,REACTOME_EUKARYOTIC_TRANSLATION_ELONG...
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY (Reactome),3.397180705944106e-28,1.3541162293893205e-24,1.3802649175935913,0.8969887015599669,1.9640972125367673,100,,IN-MGE-SST,Reactome,IN-MGE-SST,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_...
REACTOME_SELENOAMINO_ACID_METABOLISM (Reactome),9.497429639463147e-28,2.323769126983364e-24,1.3651796021616889,0.8551222121995641,1.8828957593202016,115,,IN-MGE-SST,Reactome,IN-MGE-SST,REACTOME_SELENOAMINO_ACID_METABOLISM
GOBP_EPOXYGENASE_P450_PATHWAY (GO_BP),1e-50,3.9865e-47,NA,-0.6106756806953679,-1.218987090367428,10,,IPC-EN,GO_BP,IPC-EN,GOBP_EPOXYGENASE_P450_PATHWAY
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS (Reactome),1e-50,3.9865e-47,NA,-0.6536904275472679,-1.3048500496524331,10,,IPC-EN,Reactome,IPC-EN,REACTOME_EICOSANOID_LIGAND_BINDING_RE...
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),4.304402968350813e-34,1.1439668288887011e-30,1.5161076018086452,0.9599628531051173,2.1410372620657454,92,,IPC-EN,Reactome,IPC-EN,REACTOME_EUKARYOTIC_TRANSLATION_ELONG...
REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS (Reactome),1e-50,7.972e-47,NA,-0.5611232866535418,-1.0158435549817086,10,,OPC,Reactome,OPC,REACTOME_PRESYNAPTIC_NICOTINIC_ACETYL...
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY (Reactome),4.378055478368267e-13,1.7450929136775912e-9,0.932595211336209,0.7784086342905134,1.4553698315659398,100,,OPC,Reactome,OPC,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_...
KEGG_RIBOSOME (KEGG),1.294013852952084e-12,3.4386261452446716e-9,0.9101197347744591,0.8001178197091792,1.4882792322372118,86,,OPC,KEGG,OPC,KEGG_RIBOSOME
