gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection
GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE (GO_CC),4,112,10.09389846147009,8.804786391183725e-4,CACNG5;GABRA4;DRD3;LRRTM2,0.053929316646000314,GO_CC
KEGG_PATHWAYS_IN_CANCER (KEGG),6,303,5.582397745549817,0.00105265832457199,GLI3;RARB;RXRG;FOXO1;EGFR;SMAD3,0.058702452365367225,KEGG
GOBP_CGMP_METABOLIC_PROCESS (GO_BP),2,13,48.67054207579981,0.001078208308751643,RORA;GUCY1B1,0.058702452365367225,GO_BP
GOBP_LAYER_FORMATION_IN_CEREBRAL_CORTEX (GO_BP),2,13,48.67054207579981,0.001078208308751643,GLI3;RELN,0.058702452365367225,GO_BP
GOBP_REGULATION_OF_SYNAPSE_MATURATION (GO_BP),2,13,48.67054207579981,0.001078208308751643,RELN;NEUROD2,0.058702452365367225,GO_BP
KEGG_NON_SMALL_CELL_LUNG_CANCER (KEGG),3,54,15.902830743299637,0.0011371491813757096,RARB;RXRG;EGFR,0.059046225102993836,KEGG
GOBP_RESPONSE_TO_METAL_ION (GO_BP),6,308,5.4896483114658,0.0011447737519968192,PAM;SYT10;SLC6A1;NEUROD2;EGFR;PENK,0.059046225102993836,GO_BP
GOBP_SENSORY_ORGAN_MORPHOGENESIS (GO_BP),5,215,6.5325404353401835,0.0013766824069517587,GLI3;FAT1;RARB;THRB;MYO3B,0.06355025507965834,GO_BP
GOBP_REGULATION_OF_SODIUM_ION_TRANSMEMBRANE_TRANSPORT (GO_BP),3,58,14.745811588574536,0.0013991962091995712,DRD3;CNKSR3;UTRN,0.06355025507965834,GO_BP
GOBP_REGULATION_OF_BEHAVIOR (GO_BP),3,59,14.482662133142547,0.0014701238029303473,RELN;DRD3;PENK,0.06355025507965834,GO_BP
GOBP_SENSORY_SYSTEM_DEVELOPMENT (GO_BP),6,327,5.161051086168228,0.0015523694147197133,GLI3;FAT1;RARB;THRB;EGFR;SMAD3,0.06355025507965834,GO_BP
GOBP_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE (GO_BP),5,221,6.34966171306299,0.0015539130905186944,CCDC88C;SASH1;FOXO1;EGFR;SMAD3,0.06355025507965834,GO_BP
GOBP_POSITIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY (GO_BP),5,223,6.290938521183188,0.0016165593824610937,PRKCH;RELN;TRIM5;NEUROD2;SMAD3,0.06355025507965834,GO_BP
GOBP_SPINAL_CORD_PATTERNING (GO_BP),2,16,38.28169916019213,0.0016465345177286788,GLI3;RELN,0.06355025507965834,GO_BP
GOMF_POTASSIUM_ION_ANTIPORTER_ACTIVITY (GO_MF),2,16,38.28169916019213,0.0016465345177286788,SLC9A9;SLC24A3,0.06355025507965834,GO_MF
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES (Reactome),2,16,38.28169916019213,0.0016465345177286788,FOXO1;SMAD3,0.06355025507965834,Reactome
GOBP_EYE_MORPHOGENESIS (GO_BP),4,133,8.447429964834798,0.0016622976139282508,GLI3;FAT1;RARB;THRB,0.06355025507965834,GO_BP
GOBP_RESPONSE_TO_CALCIUM_ION (GO_BP),4,133,8.447429964834798,0.0016622976139282508,SYT10;SLC6A1;NEUROD2;PENK,0.06355025507965834,GO_BP
GOBP_FOREBRAIN_CELL_MIGRATION (GO_BP),3,63,13.51865358736942,0.0017762671855005728,GLI3;RELN;EGFR,0.06355025507965834,GO_BP
GOCC_PRESYNAPTIC_MEMBRANE (GO_CC),4,136,8.252904693834669,0.001803626604333116,KCTD16;KCTD8;GAD2;SLC6A1,0.06355025507965834,GO_CC
GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY (GO_BP),5,229,6.121090100345062,0.0018156580292894647,GLI3;CCDC88C;FOXO1;EGFR;SMAD3,0.06355025507965834,GO_BP
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC (GO_BP),3,64,13.28675372245724,0.0018585348662742908,CACNG5;RELN;DRD3,0.06355025507965834,GO_BP
GOBP_CELLULAR_RESPONSE_TO_REACTIVE_NITROGEN_SPECIES (GO_BP),2,17,35.70831271650209,0.0018614710650130986,FOXO1;GUCY1B1,0.06355025507965834,GO_BP
GOBP_POSITIVE_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION (GO_BP),2,17,35.70831271650209,0.0018614710650130986,GLI3;SMAD3,0.06355025507965834,GO_BP
GOBP_RESPONSE_TO_NITRIC_OXIDE (GO_BP),2,17,35.70831271650209,0.0018614710650130986,FOXO1;GUCY1B1,0.06355025507965834,GO_BP
GOCC_DYSTROPHIN_ASSOCIATED_GLYCOPROTEIN_COMPLEX (GO_CC),2,17,35.70831271650209,0.0018614710650130986,SGCD;UTRN,0.06355025507965834,GO_CC
GOBP_SENSORY_ORGAN_DEVELOPMENT (GO_BP),7,461,4.280617774511508,0.0018805687727653994,GLI3;FAT1;RARB;THRB;MYO3B;EGFR;SMAD3,0.06355025507965834,GO_BP
GOBP_GLYCOSYLATION (GO_BP),5,238,5.88272200639505,0.0021472485529190352,RAMP1;GALNT7;DPY19L1;TMTC1;B3GLCT,0.06966199836633145,GO_BP
GOBP_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS (GO_BP),3,68,12.47154883515735,0.0022112468887885675,RELN;NEUROD2;PENK,0.06966199836633145,GO_BP
GOBP_POSITIVE_REGULATION_OF_LOCOMOTION (GO_BP),7,477,4.131979442861696,0.0022773975925807675,RELN;SMOC2;SASH1;ONECUT2;DOCK1;EGFR;SMAD3,0.06966199836633145,GO_BP
GOBP_MUSCLE_HYPERTROPHY_IN_RESPONSE_TO_STRESS (GO_BP),2,19,31.513712243014417,0.0023290026880596823,FOXO1;SMAD3,0.06966199836633145,GO_BP
GOBP_NEUROTRANSMITTER_RECEPTOR_INTERNALIZATION (GO_BP),2,19,31.513712243014417,0.0023290026880596823,CACNG5;DRD3,0.06966199836633145,GO_BP
GOCC_GLYCOPROTEIN_COMPLEX (GO_CC),2,19,31.513712243014417,0.0023290026880596823,SGCD;UTRN,0.06966199836633145,GO_CC
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION (Reactome),2,19,31.513712243014417,0.0023290026880596823,GAD2;SLC6A1,0.06966199836633145,Reactome
GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES (GO_BP),5,244,5.733785402414343,0.0023915608112189918,PCDH11X;FAT1;DCHS2;IL1RAPL1;CDH7,0.06966199836633145,GO_BP
GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT (GO_BP),5,244,5.733785402414343,0.0023915608112189918,GLI3;PRKCH;RELN;LRRTM2;IL1RAPL1,0.06966199836633145,GO_BP
GOBP_REGULATION_OF_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY (GO_BP),2,20,29.766628115705057,0.0025814052604759006,TRIM5;SASH1,0.06966199836633145,GO_BP
GOBP_CIRCULATORY_SYSTEM_PROCESS (GO_BP),7,490,4.018809299735991,0.0026451111804729924,THRB;SLC24A3;SLC6A1;GUCY1B1;SGCD;DRD3;SMAD3,0.06966199836633145,GO_BP
GOBP_HEART_DEVELOPMENT (GO_BP),7,492,4.001939094000335,0.0027055164332718297,GLI3;PAM;RARB;RXRG;SGCD;EGFR;SMAD3,0.06966199836633145,GO_BP
GOBP_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY (GO_BP),6,366,4.595070793147052,0.0027264622277564676,GLI3;PRKCH;RELN;TRIM5;NEUROD2;SMAD3,0.06966199836633145,GO_BP
GOCC_PLASMA_MEMBRANE_PROTEIN_COMPLEX (GO_CC),7,493,3.993556356407029,0.002736114527998639,CACNG5;RAMP1;SGCD;EGFR;GNG7;UTRN;CDH7,0.06966199836633145,GO_CC
GOBP_RECEPTOR_METABOLIC_PROCESS (GO_BP),4,153,7.307558356296169,0.0027649495935840943,CACNG5;RAMP1;DRD3;LRRTM2,0.06966199836633145,GO_BP
GOBP_POSITIVE_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION (GO_BP),3,74,11.416119734070213,0.002813709019181045,RELN;DOCK1;IL1RAPL1,0.06966199836633145,GO_BP
GOBP_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION (GO_BP),4,154,7.258686575267503,0.0028305370445045968,CACNG5;RELN;SGCD;DRD3,0.06966199836633145,GO_BP
GOBP_GLIOGENESIS (GO_BP),5,254,5.502209274554317,0.002842834449672943,GLI3;PRKCH;RELN;DRD3;PENK,0.06966199836633145,GO_BP
GOBP_REGULATION_OF_TRANSPORTER_ACTIVITY (GO_BP),5,254,5.502209274554317,0.002842834449672943,CACNG5;RELN;DRD3;CNKSR3;UTRN,0.06966199836633145,GO_BP
GOBP_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION (GO_BP),2,21,28.204668952538697,0.002846104898817928,GUCY1B1;EGFR,0.06966199836633145,GO_BP
GOBP_EPITHELIAL_CELL_DIFFERENTIATION (GO_BP),7,497,3.960369760116047,0.002861178937543707,PRKCH;FAT1;RARB;THRB;CCDC88C;ONECUT2;SMAD3,0.06966199836633145,GO_BP
GOBP_CARTILAGE_DEVELOPMENT (GO_BP),4,155,7.210471399024416,0.002897182747629431,GLI3;RARB;TRPS1;SMAD3,0.06966199836633145,GO_BP
GOMF_HORMONE_BINDING (GO_MF),3,75,11.25721477425637,0.0029229567782653137,THRB;RAMP1;EGFR,0.06966199836633145,GO_MF
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES (GO_BP),4,156,7.162899671025134,0.0029648950893313656,PCDH11X;FAT1;DCHS2;CDH7,0.06966199836633145,GO_BP
GOBP_MESONEPHROS_DEVELOPMENT (GO_BP),3,76,11.102662069786273,0.0030347838701609725,GLI3;RARB;SMAD3,0.06966199836633145,GO_BP
GOBP_PROTEIN_MANNOSYLATION (GO_BP),2,22,26.799272126606432,0.0031230066888271097,DPY19L1;TMTC1,0.06966199836633145,GO_BP
GOBP_SUBPALLIUM_DEVELOPMENT (GO_BP),2,22,26.799272126606432,0.0031230066888271097,GLI3;RARB,0.06966199836633145,GO_BP
