gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection,cell_type,gs_short
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY (Reactome),74,100,1300.1211668416126,2.2196634501593722e-159,RPS28;RPL37A;RPS15;RPLP2;RPL7A;RPS25;RPL31;RPS18;RPL37;FAU;RPL41;RPL6;RPL13A;RPS10;RPS23;RPS11;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS6;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL28;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9,1.4427812426035919e-156,Reactome,EN-Non-IT-Immature,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_...
GOBP_NEURON_PROJECTION_GUIDANCE (GO_BP),13,213,17.296427642522605,6.284670272508998e-12,ALCAM;UNC5D;DCC;ROBO2;GAP43;ETV1;RELN;CHN1;CNTN5;NRP1;DSCAM;EPHA5;ROBO1,1.3116106858726279e-8,GO_BP,IN-CGE-Immature,GOBP_NEURON_PROJECTION_GUIDANCE
GOBP_AXON_DEVELOPMENT (GO_BP),16,440,10.266007413665815,5.1214443191892366e-11,ALCAM;UNC5D;DCC;ROBO2;GAP43;ETV1;ACTB;RELN;CHN1;LRRC4C;CNTN5;NRP1;DSCAM;EPHA5;CCK;ROBO1,5.3442271470739685e-8,GO_BP,IN-CGE-Immature,GOBP_AXON_DEVELOPMENT
GOBP_TAXIS (GO_BP),14,490,7.82469952961583,1.9206099468798344e-8,ALCAM;UNC5D;DCC;ROBO2;GAP43;ETV1;RELN;CHN1;CNTN5;NRP1;DSCAM;EPHA5;ROBO1;SMOC2,1.336104319712738e-5,GO_BP,IN-CGE-Immature,GOBP_TAXIS
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),10,92,93.10205831972063,3.7809341313338586e-16,RPS8;RPS15A;RPL37A;RPS29;RPS27;RPL10;RPS21;RPL41;EEF1A1;RPL35A,2.971814227228413e-13,Reactome,IN-MGE-Immature,REACTOME_EUKARYOTIC_TRANSLATION_ELONG...
KEGG_RIBOSOME (KEGG),9,86,86.94004713815127,1.81094383596811e-14,RPS8;RPS15A;RPL37A;RPS29;RPS27;RPL10;RPS21;RPL41;RPL35A,7.1170092753546724e-12,KEGG,IN-MGE-Immature,KEGG_RIBOSOME
REACTOME_SIGNALING_BY_ROBO_RECEPTORS (Reactome),11,211,43.10650656525404,4.223733424067684e-14,RPS8;RPS15A;ROBO1;DCC;RPL37A;RPS29;RPS27;RPL10;RPS21;RPL41;RPL35A,1.091335869835549e-11,Reactome,IN-MGE-Immature,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),51,92,291.73469310499587,3.565016637363671e-91,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPS14;RPL13;EEF1G;RPL15;RPL7;RPL41;RPS17;RPS18;RPS15;RPL18;RPS13;RPS27;RPL23A;RPL13A;RPS23;RPS12;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;EEF1A1;RPL30;RPL39;EEF1B2;RPL28,9.736060436640185e-88,Reactome,IN-MGE-SST,REACTOME_EUKARYOTIC_TRANSLATION_ELONG...
KEGG_RIBOSOME (KEGG),47,86,273.0798518736227,2.010439057672364e-83,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPL13;RPL15;RPL7;RPL41;RPS17;RPS18;RPS15;RPL18;RPS13;RPS27;RPL23A;RPL13A;RPS23;RPS12;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;RPL30;RPL39;RPL28,2.745254533251613e-80,KEGG,IN-MGE-SST,KEGG_RIBOSOME
GOCC_CYTOSOLIC_RIBOSOME (GO_CC),48,97,224.3643452129912,2.3292960302790902e-82,RPS19;RPL37A;RPS29;RPL10;RPL34;RPS3A;RPL27A;RPL9;RPL36;RPL21;RPL18A;RPL35A;RPL26;RPS14;RPL13;RPL15;RPL7;RPL41;RPS17;RPS18;RPS15;RPL18;RPS13;RPS27;RPL23A;RPL13A;RPS23;RPS12;RPL38;RPS21;RPLP1;RPL19;RPS11;RPS16;RPL36A;RPS28;RPS2;RPL27;RPS27A;RPS10;RPL10A;RPS9;RPL3;RPS4X;UBA52;RPL30;RPL39;RPL28,2.120435819564065e-79,GO_CC,IN-MGE-SST,GOCC_CYTOSOLIC_RIBOSOME
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),8,92,195.52995213845622,2.6648723938086435e-15,RPL11;RPS2;RPS4X;RPL34;EEF1A1;RPS23;RPL23;RPS8,2.6808616281714954e-12,Reactome,IPC-EN,REACTOME_EUKARYOTIC_TRANSLATION_ELONG...
REACTOME_INFLUENZA_INFECTION (Reactome),8,155,111.53102614503655,1.9160866609904983e-13,RPL11;RPS2;RPS4X;RPL34;RPS23;RPL23;SLC25A6;RPS8,9.637915904782207e-11,Reactome,IPC-EN,REACTOME_INFLUENZA_INFECTION
KEGG_RIBOSOME (KEGG),7,86,168.41586621729522,2.958765253384652e-13,RPL11;RPS2;RPS4X;RPL34;RPS23;RPL23;RPS8,9.9217261496832e-11,KEGG,IPC-EN,KEGG_RIBOSOME
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION (GO_BP),4,69,38.33725293535091,6.476091786827344e-6,MBP;IL1RAP;PLCG2;ZBTB20,0.006301430176302198,GO_BP,OPC,GOBP_POSITIVE_REGULATION_OF_INTERLEUK...
GOCC_LEADING_EDGE_MEMBRANE (GO_CC),5,168,19.504969006485467,1.104427899196692e-5,ITGA8;CNTNAP2;ADGRV1;PLCG2;FERMT1,0.006301430176302198,GO_CC,OPC,GOCC_LEADING_EDGE_MEMBRANE
GOCC_CELL_PROJECTION_MEMBRANE (GO_CC),6,315,12.581057660542221,1.751089625023343e-5,ITGA8;CNTNAP2;ADGRV1;PLCG2;SLC26A3;FERMT1,0.006301430176302198,GO_CC,OPC,GOCC_CELL_PROJECTION_MEMBRANE
