gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION (Reactome),80,92,370.18803270837026,1.1015518680592213e-123,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6;RPS28;RPL37A;RPS15;RPL31;RPS18;RPL37;FAU;RPL41;RPL13A;RPS10;RPS23;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;EEF1A1;RPL17;RPL4;RPS3;RPL24;RPS13;RPL14;RPS29;RPL26;RPS2;EEF1G;RPS12;RPL22;RPL3;UBA52;RPL29;EEF1B2;RPS3A;RPS17;RPS21;RPL9;EEF1A2;EEF2;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,5.073747904280773e-120,Reactome
KEGG_RIBOSOME (KEGG),74,86,338.5105049911711,1.447071704007196e-113,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6;RPS28;RPL37A;RPS15;RPL31;RPS18;RPL37;FAU;RPL41;RPL13A;RPS10;RPS23;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9,3.332606134328572e-110,KEGG
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY (Reactome),75,100,164.29740446910498,3.262525830091387e-106,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6;RPS28;RPL37A;RPS15;RPL31;RPS18;RPL37;FAU;RPL41;RPL13A;RPS10;RPS23;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,5.009064657800309e-103,Reactome
GOCC_CYTOSOLIC_RIBOSOME (GO_CC),74,97,175.16977201762035,8.748867716300434e-106,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6;RPS28;RPL37A;RPS15;RPL31;RPS18;RPL37;RPL41;RPL13A;RPS10;RPS23;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,1.007432117531995e-102,GO_CC
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE (Reactome),76,111,119.65724414171278,1.8228035573589497e-102,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6;RPS28;RPL37A;RPS15;RPL31;RPS18;RPL37;FAU;RPL41;RPL13A;RPS10;RPS23;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL3;UBA52;SRP14;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,1.6791666370390644e-99,Reactome
REACTOME_NONSENSE_MEDIATED_DECAY_NMD (Reactome),75,114,105.69474920361634,5.2691353834381144e-99,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6;RPS28;RPL37A;RPS15;RPL31;RPS18;RPL37;FAU;RPL41;RPL13A;RPS10;RPS23;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,4.044939596019326e-96,Reactome
REACTOME_SELENOAMINO_ACID_METABOLISM (Reactome),75,115,103.05492398447117,1.4881220789140528e-98,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6;RPS28;RPL37A;RPS15;RPL31;RPS18;RPL37;FAU;RPL41;RPL13A;RPS10;RPS23;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,9.791843279254467e-96,Reactome
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION (Reactome),75,118,95.33832274376024,3.051021743879904e-97,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6;RPS28;RPL37A;RPS15;RPL31;RPS18;RPL37;FAU;RPL41;RPL13A;RPS10;RPS23;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,1.7566257690388548e-94,Reactome
REACTOME_INFLUENZA_INFECTION (Reactome),76,155,52.76633677310641,2.6139152609088625e-86,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6;RPS28;RPL37A;RPS15;RPL31;RPS18;RPL37;FAU;RPL41;RPL13A;RPS10;RPS23;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14;SLC25A6,1.3377437435273579e-83,Reactome
GOBP_CYTOPLASMIC_TRANSLATION (GO_BP),74,145,56.850861293262675,9.442270889077677e-86,RPL28;RPS6;RPS25;RPS11;RPLP2;RPL7A;RPL6;RPS28;RPL37A;RPS15;RPL31;RPS18;RPL37;RPL41;RPL13A;RPS10;RPS23;RPS24;RPL32;RPS16;RPL10A;RPL35;RPL38;RPL7;RPL36A;RPS27A;RPL13;RPS8;RPS27;RPS4X;RPL11;RPL34;RPL18;RPL27A;RPS15A;RPL35A;RPLP1;RPL39;RPL17;RPL4;RPS3;RPL24;RPS13;RPL14;RPS29;RPL26;RPS2;RPS12;RPL22;RPL3;UBA52;RPL29;RPS3A;RPS17;RPS21;RPL9;RPS7;RPL18A;RPL27;RPL8;RPSA;RPL5;RPL36;RPS5;RPL30;RPL23;RPL10;RPL21;RPS19;RPL19;RPL15;RPL23A;RPS9;RPS14,4.3491099715091786e-83,GO_BP
