gene,loeuf,exp_lof,n_metabolites,is_hit,is_recurrent,mean_expr
ABCG1,0.57155,69.182,0,FALSE,FALSE,3.9329080704442783
ABCG2,1.31,73.55,0,FALSE,FALSE,4.690353955954349
ABCG4,0.71783,64.645,0,FALSE,FALSE,1.4205733087955192
ABCG5,1.2224,64.47,0,FALSE,FALSE,1.230691932462295
ABCG8,1.367,71.281,0,FALSE,FALSE,0.5722295065318481
ABHD1,1.4463,41.442,0,FALSE,FALSE,0.8504337378883753
ABHD10,0.94825,33.129,0,FALSE,FALSE,4.438021339482198
ABHD11,1.2449,28.979,0,FALSE,FALSE,1.5352846153124255
ABHD12,0.95111,58.299,0,FALSE,FALSE,5.611386794978207
ABHD12B,1.077,50.44,0,FALSE,FALSE,0.7988400558977672
ABHD13,0.52242,25.168,0,FALSE,FALSE,4.260842579621902
ABHD14A,1.0322,27.01,0,FALSE,FALSE,3.8831771647971887
ABHD14B,1.8067,15.431,0,FALSE,FALSE,2.545072283828449
ABHD15,1.3175,34.358,0,FALSE,FALSE,0.47219258063881414
ABHD15-AS1,NA,NA,0,FALSE,FALSE,4.9639536264784185
ABHD16A,0.66778,89.753,0,FALSE,FALSE,3.9221665627853914
ABHD17A,0.63255,26.815,0,FALSE,FALSE,3.712437646232464
ABHD17B,0.60029,26.163,0,FALSE,FALSE,5.629768332904939
ABHD17C,0.65188,27.931,0,FALSE,FALSE,4.765160633554779
ABHD18,1.0453,65.867,0,FALSE,FALSE,6.054283071620131
ABHD2,0.60377,48.135,0,FALSE,FALSE,6.157979924166715
ABHD3,1.2041,48.847,0,FALSE,FALSE,4.88298978464657
ABHD4,1.0982,42.253,0,FALSE,FALSE,1.38670512776741
ABHD5,0.90612,44.907,0,FALSE,FALSE,4.605004296109244
ABHD6,1.1372,38.801,0,FALSE,FALSE,5.029978542029117
ABHD8,0.57848,29.322,0,FALSE,FALSE,3.493131874063335
ABI1,0.40109,54.568,0,FALSE,FALSE,7.093075036004729
ABI2,0.58977,59.203,0,FALSE,FALSE,7.905104023903195
ABI3BP,0.9001,268.62,0,FALSE,FALSE,5.008114445947068
ABITRAM,1.2196,22.859,0,FALSE,FALSE,3.962908900620238
ABL1,0.1923,94.682,0,FALSE,FALSE,6.94560418499316
ABL2,0.57703,107.74,0,FALSE,FALSE,6.9835031466282524
ABLIM1,0.48684,106.95,0,FALSE,FALSE,7.549251532631394
ABLIM2,0.68226,97.658,0,FALSE,FALSE,5.000879314046829
ABLIM3,0.68945,109.5,1,TRUE,FALSE,5.392296683956743
ABO,NA,NA,0,FALSE,FALSE,1.1722461778694517
ABR,0.43266,107.25,0,FALSE,FALSE,6.1359751232868
ABR-AS1,NA,NA,0,FALSE,FALSE,0.28421570807263374
ABRACL,1.3023,7.0286,0,FALSE,FALSE,4.180376664038238
ABRAXAS1,0.93915,38.414,0,FALSE,FALSE,3.437390970366957
ABRAXAS2,0.66472,49.022,0,FALSE,FALSE,4.406930063714643
ABT1,1.4791,13.974,0,FALSE,FALSE,2.2312238979977326
