model,beta,se,or_per_unit,p
Unadjusted,-1.4840679564441246,0.14418364797384992,0.22671354913593894,7.585619315300403e-25
+ expression + gene size,-0.3623219940308722,0.15057158122955785,0.6960582051669828,0.01611455688774909
