Name,GW_corr_pval.correlation.cor,GW_corr_pval.p_value,GW_FDR
Glycine,-0.04152347543064033,0.8472363441808681,0.9948457971219034
Histamine,0.3885797743560822,0.06058179086453433,0.3935196286528839
N-Acetylglycine,0.279782472273763,0.18546804888211169,0.6109535727881326
Dl-Pyroglutamic Acid,-0.2956444983014538,0.16072927219692423,0.5625524526892348
L-Glutamine,-0.1542939735055909,0.554338051717888,0.8835853026596977
N-Acetyl-L-Aspartic Acid,0.16840535251821936,0.43150745113310307,0.8526054818796707
D-Tyrosine,0.24222020323658627,0.30351844126472766,0.8526054818796707
Adenosine Triphosphate (Atp),-0.4398101225142355,0.07729849848538792,0.3935196286528839
Choline,-0.47152769912923126,0.020015288790103718,0.2623376233829349
L-Pyroglutamic Acid,-0.32519953321843054,0.12099948037705303,0.5338717799596564
L-Glutamic Acid,-0.10650140873776742,0.7170739197319782,0.9469965674783444
Acetylcholine,0.4544558829766673,0.025680949048684204,0.2623376233829349
Dl-Glutamine,-0.12265528319813605,0.5680191231383771,0.8835853026596977
Acetyl-Β-Methylcholine,0.31139887003153094,0.1385493835391049,0.5338717799596564
5-Methyl D-Glutamate,0.17219789867251592,0.4210523845394284,0.8526054818796707
D-Phenylalanine,0.31938244736400906,0.12818802931353182,0.5338717799596564
Cysteinylglycine,-0.005409460736861223,0.9799862004700315,0.9948457971219034
Tryptophan,-0.17037685602294864,0.42605516742633476,0.8526054818796707
2'-Deoxyadenosine,-0.12681905880467148,0.5548488124059388,0.8835853026596977
Glycerophosphocholine,-0.3080998738930044,0.14300136963205082,0.5338717799596564
Adenosine,-0.2078207288827046,0.36601428542858416,0.8526054818796707
Υ-L-Glutamyl-L-Glutamic Acid,-0.16500507645246892,0.4409988025266546,0.8526054818796707
1-Methyladenosine,-0.46873136916120095,0.024065812368712906,0.2623376233829349
Adenosine 5'-Diphosphate,0.2681261248875614,0.20523696969485228,0.6385150168284294
1-Myristoyl-Sn-Glycero-3-Phosphocholine,0.007534724775606504,0.9721257529640718,0.9948457971219034
Cytidine 5'-Diphosphocholine,-0.01399055748598866,0.9482667629702249,0.9948457971219034
"1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine",-0.0736580448535682,0.7323125812034317,0.9469965674783444
N-(Octadecanoyl)Sphing-4-Enine-1-Phosphocholine,-0.18490717610657983,0.387042778731723,0.8526054818796707
1-Oleoyl-2-Myristoyl-Sn-Glycero-3-Phosphocholine,0.08869685140708772,0.6802356964039045,0.9469965674783444
2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine,0.0062503131212386116,0.9768759896479655,0.9948457971219034
"1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine",0.5939386577952557,0.0022131205261140836,0.06196737473119434
1-Octadecanoyl-2-Octadecenoyl-Sn-Glycero-3-Phosphocholine,0.12492684081208345,0.589505375062685,0.8922243514462259
L-Aspartic Acid,-0.1720849793932132,0.4213616615720207,0.8526054818796707
L-Phenylalanine,-0.2098261076853053,0.3250804551452954,0.8526054818796707
N-Acetylglutamic Acid,0.44806434934468037,0.028107602505314456,0.2623376233829349
L-Tyrosine,-0.142549140514976,0.5063886828536379,0.8835853026596977
D-(+)-Tryptophan,-0.022245996777914733,0.9197485139530217,0.9948457971219034
L-Kynurenine,-0.008909601696169426,0.9670419646237123,0.9948457971219034
Methyl L-Tryptophanate,0.07577929290423292,0.7440687315901278,0.9469965674783444
Phenylacetylglutamine,-0.17201424044953267,0.4325570990815909,0.8526054818796707
N-Acetyl-1-Aspartylglutamic Acid,-0.08881863811464066,0.7096171781789937,0.9469965674783444
Adenosine 3'5'-Cyclic Monophosphate,-0.0013929848258161458,0.9948457971219034,0.9948457971219034
2-(Alpha-D-Mannopyranosyl)-L-Tryptophan,0.1299627465355079,0.5449980895772284,0.8835853026596977
N6-Succinyladenosine; Lc-Tdda; Ce10,0.07052535074284344,0.7433153660886493,0.9469965674783444
1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine,0.6198785528723513,0.0012343494670862512,0.06196737473119434
1-Oleoyl-Sn-Glycero-3-Phosphocholine,-0.14640209028581433,0.49484359445696047,0.8835853026596977
5'-S-Methyl-5'-Thioadenosine,-0.37243717893526723,0.07308902895114196,0.3935196286528839
1-Palmitoyl-Sn-Glycero-3-Phosphocholine,-0.16481670621022632,0.4415278388305437,0.8526054818796707
2-(5-Oxovaleryl)Phosphatidylcholine,0.1590145695957814,0.4579875713808894,0.854910133244327
Dl-Dipalmitoylphosphatidylcholine,0.007215569862798639,0.9813355043747003,0.9948457971219034
1-Hexadecanoyl-2-Octadecadienoyl-Sn-Glycero-3-Phosphocholine,-0.515024397288933,0.041198641629413876,0.329589133035311
1-(1z-Octadecenyl)-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine,0.020959450327281273,0.9225605677368434,0.9948457971219034
"1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",0.0020323665552730444,0.9924800666294105,0.9948457971219034
1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,-0.371739427700725,0.07367076407402512,0.3935196286528839
N-Nervonoyl-D-Erythro-Sphingosylphosphorylcholine,-0.10950998320973412,0.6864149127618104,0.9469965674783444
"1,2-Dieicosenoyl-Sn-Glycero-3-Phosphocholine",-0.03131150523077978,0.8845207307140548,0.9948457971219034
