hormone,subset,compound_id,Name,Super.Class,Pathways,rho,p,fdr,n
E2,Sex-combined,Amide-Pos-001770,Cytidine 5'-Triphosphate,Organic oxygen compounds,R-HSA-1483148;R-HSA-1483191;R-HSA-1483213;R-HSA-1483226;R-HSA-4085001;R-HSA-446199;R-HSA-446219;R-HSA-4755583;R-HSA-499943;R-HSA-5609975;R-HSA-6784531;R-HSA-6785470;R-HSA-6807505;R-HSA-8850843;R-HSA-8956319;WP2533;WP4022;WP4225;WP4584;WP466;WP4906,0.5005159958720331,0.034383779176359076,0.7633037564665484,18
E2,Sex-combined,C8-Neg-002321,"(2s)-2-Hydroxy-3-[(Hydroxy{[(1s,2r,3r,4s,5s,6r)-2,3,4,5,6-Pentahydroxycyclohexyl]Oxy}Phosphoryl)Oxy]Propyl (12z)-12-Octadecenoate",Lipids and lipid-like molecules,NA,-0.48872180451127817,0.02877203005499609,0.7633037564665484,20
E2,Sex-combined,Amide-Pos-001360,"D-Myo-Inositol-1,2-Diphosphate",Organic oxygen compounds,NA,0.487218045112782,0.02934199190370818,0.7633037564665484,20
E2,Sex-combined,Amide-Neg-000344,L-Ornithine,Organic acids and derivatives,map00330;R-HSA-351202;R-HSA-352230;R-HSA-420499;R-HSA-70635;R-HSA-71288;R-HSA-8964539;WP2525;WP3580;WP3602;WP4225;WP4571;WP4583;WP4595;WP497;WP5026;WP5078;WP661,0.4859649122807018,0.03489835203095614,0.7633037564665484,19
E2,Sex-combined,Amide-Pos-001865,Guanosine-5'-Triphosphate,"Nucleosides, nucleotides, and analogues",map00020;map00051;map00250;map00620;map00790;R-HSA-114608;R-HSA-1445148;R-HSA-1483255;R-HSA-1660499;R-HSA-1660514;R-HSA-2132295;R-HSA-432040;R-HSA-445717;R-HSA-5620920;R-HSA-5620922;R-HSA-5620924;R-HSA-5624138;R-HSA-6811438;R-HSA-76005;R-HSA-8854214;R-HSA-9007101;R-HSA-983170;WP4236;WP4539;WP4928;WP4969;WP5366;WP585;WP78,0.48270676691729325,0.03110521686954333,0.7633037564665484,20
E2,Sex-combined,C8-Neg-003343,Pg(20:3_20:4),Lipids and lipid-like molecules,NA,0.48270676691729325,0.03110521686954333,0.7633037564665484,20
E2,Sex-combined,Amide-Pos-000372,Asparagine,Organic acids and derivatives,map00250;map00910;R-HSA-352230;R-HSA-379716;R-HSA-379724;R-HSA-379726;R-HSA-442660;R-HSA-5676934;R-HSA-8963693;WP106;WP3953;WP4290,0.48120300751879697,0.031711044624462434,0.7633037564665484,20
E2,Sex-combined,C8-Pos-000708,"N,N-Dimethylsphingosine",Organic nitrogen compounds,NA,-0.4796992481203008,0.032326069200214115,0.7633037564665484,20
E2,Sex-combined,Amide-Neg-001873,"D-Fructose-1,6-Bisphosphate",Organic oxygen compounds,map00051;R-HSA-70171;R-HSA-70263;R-HSA-70268;R-HSA-70326;R-HSA-73817;R-HSA-8956320;WP1946;WP2456;WP4290;WP4628;WP4629;WP4949;WP5178;WP5216;WP534,0.4789473684210526,0.038017137699796894,0.7633037564665484,19
E2,Sex-combined,C8-Pos-004631,Pc(15:1cho_22:2),Lipids and lipid-like molecules,NA,-0.4781954887218045,0.03295038321495763,0.7633037564665484,20
E2,Sex-combined,C8-Neg-003610,Pc(19:5cooh_25:8),Lipids and lipid-like molecules,NA,0.4757481940144479,0.04597857203121229,0.7633037564665484,18
E2,Sex-combined,Amide-Neg-001422,Adenosine Triphosphate (Atp),"Nucleosides, nucleotides, and analogues",map00020;map00051;map00052;map00071;map00100;map00120;map00190;map00250;map00270;map00280;map00330;map00340;map00360;map00380;map00450;map00480;map00520;map00561;map00562;map00620;map00640;map00650;map00670;map00730;map00740;map00760;map00770;map00780;map00910;map00920;map01040;WP111;WP1584;WP1602;WP176;WP2267;WP2333;WP2485;WP2533;WP2571;WP3580;WP3656;WP3869;WP4141;WP4191;WP4195;WP4206;WP4224;WP4236;WP4292;WP4317;WP4321;WP4518;WP4628;WP4629;WP4742;WP4900;WP4950;WP521;WP5283;WP531;WP5396;WP623;WP692;WP698;WP704;WP715;WP78,0.47368421052631576,0.03487999137949657,0.7633037564665484,20
E2,Sex-combined,Amide-Neg-001626,Uridine 5'-Diphosphoglucuronic Acid,"Nucleosides, nucleotides, and analogues",map00150;map00520;map00860;WP3871;WP4784;WP5312;WP698,0.46766917293233085,0.03758851020414889,0.7633037564665484,20
E2,Sex-combined,C18-Pos-000695,2-Aminocaprylate,Organic acids and derivatives,NA,0.46616541353383456,0.03829049887630502,0.7633037564665484,20
E2,Sex-combined,C8-Pos-003687,Dg(20:4_22:5),Lipids and lipid-like molecules,NA,0.46616541353383456,0.03829049887630502,0.7633037564665484,20
E2,Sex-combined,Amide-Neg-002149,Uridine 5'-Triphosphate Sodium Salt,"Nucleosides, nucleotides, and analogues",map00052;map00520;R-HSA-156588;R-HSA-173599;R-HSA-3322077;R-HSA-417957;R-HSA-418038;R-HSA-429914;R-HSA-429947;R-HSA-446210;R-HSA-446219;R-HSA-499943;R-HSA-5683826;R-HSA-6807505;R-HSA-8850843;R-HSA-8956319;R-HSA-8982491;R-HSA-9816359;R-HSA-9820865;WP4022;WP4225;WP4584;WP466;WP4900;WP698,0.4616541353383459,0.040457634341480996,0.7633037564665484,20
E2,Sex-combined,C8-Neg-000223,Dodecyl Sulfate,Organic acids and derivatives,NA,0.4616541353383459,0.040457634341480996,0.7633037564665484,20
E2,Sex-combined,C8-Neg-003274,Cl(12:0cooh_22:0_24:1_21:2),Lipids and lipid-like molecules,NA,0.4601503759398496,0.04120071780195451,0.7633037564665484,20
E2,Sex-combined,C18-Pos-000219,N-Methylcyclohexylamine,Organic nitrogen compounds,NA,0.45714285714285713,0.04271851062787707,0.7633037564665484,20
E2,Sex-combined,Amide-Pos-001621,Cytidine 5'-Diphosphate,"Nucleosides, nucleotides, and analogues",R-HSA-446199;R-HSA-446219;R-HSA-499943;R-HSA-8850843;R-HSA-8956319;R-HSA-9660826;R-HSA-9664424;WP4022;WP4225;WP4584,0.4556390977443609,0.043493409805465955,0.7633037564665484,20
E2,Sex-combined,Amide-Neg-000697,Dl-Arginine,Organic acids and derivatives,WP5029;WP5078;WP5192,0.45112781954887216,0.045883258800006384,0.7633037564665484,20
E2,Sex-combined,Amide-Pos-000411,Hypoxanthtine,Organoheterocyclic compounds,R-HSA-110331;R-HSA-425397;R-HSA-73884;R-HSA-73927;R-HSA-73929;R-HSA-74217;R-HSA-74259;R-HSA-83936;R-HSA-8956319;R-HSA-8956321;R-HSA-9734207;R-HSA-9734281;R-HSA-9735804;WP4224;WP4792;WP661,-0.4496240601503759,0.04670190938806293,0.7633037564665484,20
E2,Sex-combined,C8-Pos-001297,Bis(4-Ethylbenzylidene)Sorbitol,Organoheterocyclic compounds,NA,-0.4481203007518797,0.04753173575066418,0.7633037564665484,20
E2,Sex-combined,Amide-Pos-000448,Proline Betaine,Organic acids and derivatives,NA,0.443609022556391,0.050089221722956156,0.7729646683795649,20
E2,Sex-combined,C8-Neg-003063,Pi(O-5:0_21:0),Lipids and lipid-like molecules,NA,0.4421052631578947,0.05096470340964165,0.7729646683795649,20
E2,Sex-combined,C18-Pos-001951,Gln-Gly-Ile,Organic acids and derivatives,NA,-0.47303921568627455,0.05514448179993533,0.7923391332306498,17
E2,Sex-combined,Amide-Pos-000599,1-Methylhistidine,Organic acids and derivatives,map00340;map00410,0.4613003095975232,0.05399047637734738,0.7923391332306498,18
E2,Sex-combined,Amide-Pos-001079,Inosine,"Nucleosides, nucleotides, and analogues",R-HSA-2161522;R-HSA-2161541;R-HSA-425397;R-HSA-5619063;R-HSA-5683826;R-HSA-74217;R-HSA-74259;R-HSA-83936;R-HSA-8956319;R-HSA-8956321;R-HSA-9735763;R-HSA-9735786;R-HSA-9735804;R-HSA-9755088;WP4224;WP4485;WP4792,-0.4255639097744361,0.06138492007540428,0.8379041590292685,20
E2,Sex-combined,Amide-Pos-001585,S-Adenosylmethionine,"Nucleosides, nucleotides, and analogues",NA,-0.4255639097744361,0.06138492007540428,0.8379041590292685,20
